document_number,company_code,document_date,posting_date,document_type,reference,currency,exchange_rate
DOC00004224,1000,2023-04-19,2023-04-19,SA,BD00004224,USD,1.0
DOC00004225,1000,2023-04-14,2023-04-14,SA,BD00004225,USD,1.0
DOC00004226,1000,2023-04-24,2023-04-24,SA,BD00004226,USD,1.0
DOC00004227,1000,2023-04-17,2023-04-17,SA,BD00004227,USD,1.0
DOC00004228,1000,2023-04-18,2023-04-18,SA,BD00004228,USD,1.0
DOC00004229,1000,2023-04-17,2023-04-17,SA,BD00004229,USD,1.0
DOC00004230,1000,2023-04-17,2023-04-17,SA,BD00004230,USD,1.0
DOC00004231,1000,2023-04-17,2023-04-17,SA,BD00004231,USD,1.0
DOC00004232,1000,2023-04-14,2023-04-14,SA,BD00004232,USD,1.0
DOC00004233,1000,2023-04-20,2023-04-20,SA,BD00004233,USD,1.0
DOC00004234,1000,2023-04-12,2023-04-12,SA,BD00004234,USD,1.0
DOC00004235,1000,2023-04-21,2023-04-21,SA,BD00004235,USD,1.0
DOC00004236,1000,2023-04-13,2023-04-13,SA,BD00004236,USD,1.0
DOC00004237,1000,2023-04-19,2023-04-19,SA,BD00004237,USD,1.0
DOC00004238,1000,2023-04-20,2023-04-20,SA,BD00004238,USD,1.0
DOC00004239,1000,2023-04-18,2023-04-18,SA,BD00004239,USD,1.0
DOC00004240,1000,2023-04-19,2023-04-19,SA,BD00004240,USD,1.0
DOC00004241,1000,2023-04-20,2023-04-20,SA,BD00004241,USD,1.0
DOC00004242,1000,2023-04-17,2023-04-17,SA,BD00004242,USD,1.0
DOC00004243,1000,2023-04-14,2023-04-14,SA,BD00004243,USD,1.0
DOC00004244,1000,2023-04-12,2023-04-12,SA,BD00004244,USD,1.0
DOC00004245,1000,2023-04-18,2023-04-18,SA,BD00004245,USD,1.0
DOC00004246,1000,2023-04-21,2023-04-21,SA,BD00004246,USD,1.0
DOC00004247,1000,2023-04-12,2023-04-12,SA,BD00004247,USD,1.0
DOC00004248,1000,2023-04-18,2023-04-18,SA,BD00004248,USD,1.0
DOC00004249,1000,2023-04-19,2023-04-19,SA,BD00004249,USD,1.0
DOC00004250,1000,2023-04-24,2023-04-24,SA,BD00004250,USD,1.0
DOC00004251,1000,2023-04-14,2023-04-14,SA,BD00004251,USD,1.0
DOC00004252,1000,2023-04-19,2023-04-19,SA,BD00004252,USD,1.0
DOC00004253,1000,2023-04-24,2023-04-24,SA,BD00004253,USD,1.0
DOC00004254,1000,2023-04-17,2023-04-17,SA,BD00004254,USD,1.0
DOC00004255,1000,2023-04-24,2023-04-24,SA,BD00004255,USD,1.0
DOC00004256,1000,2023-04-17,2023-04-17,SA,BD00004256,USD,1.0
DOC00004257,1000,2023-04-18,2023-04-18,SA,BD00004257,USD,1.0
DOC00004258,1000,2023-04-20,2023-04-20,SA,BD00004258,USD,1.0
DOC00004259,1000,2023-04-25,2023-04-25,SA,BD00004259,USD,1.0
DOC00004260,1000,2023-04-21,2023-04-21,SA,BD00004260,USD,1.0
DOC00004261,1000,2023-04-17,2023-04-17,SA,BD00004261,USD,1.0
DOC00004262,1000,2023-04-24,2023-04-24,SA,BD00004262,USD,1.0
DOC00004263,1000,2023-04-20,2023-04-20,SA,BD00004263,USD,1.0
DOC00004264,1000,2023-04-24,2023-04-24,SA,BD00004264,USD,1.0
DOC00004265,1000,2023-04-20,2023-04-20,SA,BD00004265,USD,1.0
DOC00004266,1000,2023-04-24,2023-04-24,SA,BD00004266,USD,1.0
DOC00004267,1000,2023-04-17,2023-04-17,SA,BD00004267,USD,1.0
DOC00004268,1000,2023-04-18,2023-04-18,SA,BD00004268,USD,1.0
DOC00004269,1000,2023-04-24,2023-04-24,SA,BD00004269,USD,1.0
DOC00004270,1000,2023-04-17,2023-04-17,SA,BD00004270,USD,1.0
DOC00004271,1000,2023-04-17,2023-04-17,SA,BD00004271,USD,1.0
DOC00004272,1000,2023-04-20,2023-04-20,SA,BD00004272,USD,1.0
DOC00004273,1000,2023-04-24,2023-04-24,SA,BD00004273,USD,1.0
DOC00004274,1000,2023-04-20,2023-04-20,SA,BD00004274,USD,1.0
DOC00004275,1000,2023-04-20,2023-04-20,SA,BD00004275,USD,1.0
DOC00004276,1000,2023-04-17,2023-04-17,SA,BD00004276,USD,1.0
DOC00004277,1000,2023-04-24,2023-04-24,SA,BD00004277,USD,1.0
DOC00004278,1000,2023-04-25,2023-04-25,SA,BD00004278,USD,1.0
DOC00004279,1000,2023-04-19,2023-04-19,SA,BD00004279,USD,1.0
DOC00004280,1000,2023-04-17,2023-04-17,SA,BD00004280,USD,1.0
DOC00004281,1000,2023-04-17,2023-04-17,SA,BD00004281,USD,1.0
DOC00004282,1000,2023-04-24,2023-04-24,SA,BD00004282,USD,1.0
DOC00004283,1000,2023-04-17,2023-04-17,SA,BD00004283,USD,1.0
DOC00004284,1000,2023-04-24,2023-04-24,SA,BD00004284,USD,1.0
DOC00004285,1000,2023-04-17,2023-04-17,SA,BD00004285,USD,1.0
DOC00004286,1000,2023-04-20,2023-04-20,SA,BD00004286,USD,1.0
DOC00004287,1000,2023-04-24,2023-04-24,SA,BD00004287,USD,1.0
DOC00004288,1000,2023-04-17,2023-04-17,SA,BD00004288,USD,1.0
DOC00004289,1000,2023-04-21,2023-04-21,SA,BD00004289,USD,1.0
DOC00004290,1000,2023-04-17,2023-04-17,SA,BD00004290,USD,1.0
DOC00004291,1000,2023-04-19,2023-04-19,SA,BD00004291,USD,1.0
DOC00004292,1000,2023-04-24,2023-04-24,SA,BD00004292,USD,1.0
DOC00004293,1000,2023-04-20,2023-04-20,SA,BD00004293,USD,1.0
DOC00004294,1000,2023-04-24,2023-04-24,SA,BD00004294,USD,1.0
DOC00004295,1000,2023-04-24,2023-04-24,SA,BD00004295,USD,1.0
DOC00004296,1000,2023-04-24,2023-04-24,SA,BD00004296,USD,1.0
DOC00004297,1000,2023-04-25,2023-04-25,SA,BD00004297,USD,1.0
DOC00004298,1000,2023-04-19,2023-04-19,SA,BD00004298,USD,1.0
DOC00004299,1000,2023-04-24,2023-04-24,SA,BD00004299,USD,1.0
DOC00004300,1000,2023-04-24,2023-04-24,SA,BD00004300,USD,1.0
DOC00004301,1000,2023-04-24,2023-04-24,SA,BD00004301,USD,1.0
DOC00004302,1000,2023-04-19,2023-04-19,SA,BD00004302,USD,1.0
DOC00004303,1000,2023-04-19,2023-04-19,SA,BD00004303,USD,1.0
DOC00004304,1000,2023-04-21,2023-04-21,SA,BD00004304,USD,1.0
DOC00004305,1000,2023-04-25,2023-04-25,SA,BD00004305,USD,1.0
DOC00004306,1000,2023-04-26,2023-04-26,SA,BD00004306,USD,1.0
DOC00004307,1000,2023-04-20,2023-04-20,SA,BD00004307,USD,1.0
DOC00004308,1000,2023-04-25,2023-04-25,SA,BD00004308,USD,1.0
DOC00004309,1000,2023-04-24,2023-04-24,SA,BD00004309,USD,1.0
DOC00004310,1000,2023-04-24,2023-04-24,SA,BD00004310,USD,1.0
DOC00004311,1000,2023-04-19,2023-04-19,SA,BD00004311,USD,1.0
DOC00004312,1000,2023-04-25,2023-04-25,SA,BD00004312,USD,1.0
DOC00004313,1000,2023-04-24,2023-04-24,SA,BD00004313,USD,1.0
DOC00004314,1000,2023-04-26,2023-04-26,SA,BD00004314,USD,1.0
DOC00004315,1000,2023-04-20,2023-04-20,SA,BD00004315,USD,1.0
DOC00004316,1000,2023-04-19,2023-04-19,SA,BD00004316,USD,1.0
DOC00004317,1000,2023-04-26,2023-04-26,SA,BD00004317,USD,1.0
DOC00004318,1000,2023-04-18,2023-04-18,SA,BD00004318,USD,1.0
DOC00004319,1000,2023-04-17,2023-04-17,SA,BD00004319,USD,1.0
DOC00004320,1000,2023-04-21,2023-04-21,SA,BD00004320,USD,1.0
DOC00004321,1000,2023-04-17,2023-04-17,SA,BD00004321,USD,1.0
DOC00004322,1000,2023-04-26,2023-04-26,SA,BD00004322,USD,1.0
DOC00004323,1000,2023-04-17,2023-04-17,SA,BD00004323,USD,1.0
DOC00004324,1000,2023-04-26,2023-04-26,SA,BD00004324,USD,1.0
DOC00004325,1000,2023-04-17,2023-04-17,SA,BD00004325,USD,1.0
DOC00004326,1000,2023-04-24,2023-04-24,SA,BD00004326,USD,1.0
DOC00004327,1000,2023-04-17,2023-04-17,SA,BD00004327,USD,1.0
DOC00004328,1000,2023-04-26,2023-04-26,SA,BD00004328,USD,1.0
DOC00004329,1000,2023-04-18,2023-04-18,SA,BD00004329,USD,1.0
DOC00004330,1000,2023-04-19,2023-04-19,SA,BD00004330,USD,1.0
DOC00004331,1000,2023-04-25,2023-04-25,SA,BD00004331,USD,1.0
DOC00004332,1000,2023-04-17,2023-04-17,SA,BD00004332,USD,1.0
DOC00004333,1000,2023-04-24,2023-04-24,SA,BD00004333,USD,1.0
DOC00004334,1000,2023-04-19,2023-04-19,SA,BD00004334,USD,1.0
DOC00004335,1000,2023-04-26,2023-04-26,SA,BD00004335,USD,1.0
DOC00004336,1000,2023-04-19,2023-04-19,SA,BD00004336,USD,1.0
DOC00004337,1000,2023-04-24,2023-04-24,SA,BD00004337,USD,1.0
DOC00004338,1000,2023-04-24,2023-04-24,SA,BD00004338,USD,1.0
DOC00004339,1000,2023-04-21,2023-04-21,SA,BD00004339,USD,1.0
DOC00004340,1000,2023-04-21,2023-04-21,SA,BD00004340,USD,1.0
DOC00004341,1000,2023-04-18,2023-04-18,SA,BD00004341,USD,1.0
DOC00004342,1000,2023-04-19,2023-04-19,SA,BD00004342,USD,1.0
DOC00004343,1000,2023-04-20,2023-04-20,SA,BD00004343,USD,1.0
DOC00004344,1000,2023-04-25,2023-04-25,SA,BD00004344,USD,1.0
DOC00004345,1000,2023-04-21,2023-04-21,SA,BD00004345,USD,1.0
DOC00004346,1000,2023-04-20,2023-04-20,SA,BD00004346,USD,1.0
DOC00004347,1000,2023-04-25,2023-04-25,SA,BD00004347,USD,1.0
DOC00004348,1000,2023-04-24,2023-04-24,SA,BD00004348,USD,1.0
DOC00004349,1000,2023-04-24,2023-04-24,SA,BD00004349,USD,1.0
DOC00004350,1000,2023-04-21,2023-04-21,SA,BD00004350,USD,1.0
DOC00004351,1000,2023-04-26,2023-04-26,SA,BD00004351,USD,1.0
DOC00004352,1000,2023-04-24,2023-04-24,SA,BD00004352,USD,1.0
DOC00004353,1000,2023-04-17,2023-04-17,SA,BD00004353,USD,1.0
DOC00004354,1000,2023-04-24,2023-04-24,SA,BD00004354,USD,1.0
DOC00004355,1000,2023-04-19,2023-04-19,SA,BD00004355,USD,1.0
DOC00004356,1000,2023-04-24,2023-04-24,SA,BD00004356,USD,1.0
DOC00004357,1000,2023-04-24,2023-04-24,SA,BD00004357,USD,1.0
DOC00004358,1000,2023-04-26,2023-04-26,SA,BD00004358,USD,1.0
DOC00004359,1000,2023-04-19,2023-04-19,SA,BD00004359,USD,1.0
DOC00004360,1000,2023-04-17,2023-04-17,SA,BD00004360,USD,1.0
DOC00004361,1000,2023-04-24,2023-04-24,SA,BD00004361,USD,1.0
DOC00004362,1000,2023-04-17,2023-04-17,SA,BD00004362,USD,1.0
DOC00004363,1000,2023-04-26,2023-04-26,SA,BD00004363,USD,1.0
DOC00004364,1000,2023-04-24,2023-04-24,SA,BD00004364,USD,1.0
DOC00004365,1000,2023-04-19,2023-04-19,SA,BD00004365,USD,1.0
DOC00004366,1000,2023-04-26,2023-04-26,SA,BD00004366,USD,1.0
DOC00004367,1000,2023-04-21,2023-04-21,SA,BD00004367,USD,1.0
DOC00004368,1000,2023-04-17,2023-04-17,SA,BD00004368,USD,1.0
DOC00004369,1000,2023-04-19,2023-04-19,SA,BD00004369,USD,1.0
DOC00004370,1000,2023-04-18,2023-04-18,SA,BD00004370,USD,1.0
DOC00004371,1000,2023-04-19,2023-04-19,SA,BD00004371,USD,1.0
DOC00004372,1000,2023-04-27,2023-04-27,SA,BD00004372,USD,1.0
DOC00004373,1000,2023-04-21,2023-04-21,SA,BD00004373,USD,1.0
DOC00004374,1000,2023-04-24,2023-04-24,SA,BD00004374,USD,1.0
DOC00004375,1000,2023-04-17,2023-04-17,SA,BD00004375,USD,1.0
DOC00004376,1000,2023-04-26,2023-04-26,SA,BD00004376,USD,1.0
DOC00004377,1000,2023-04-24,2023-04-24,SA,BD00004377,USD,1.0
DOC00004378,1000,2023-04-26,2023-04-26,SA,BD00004378,USD,1.0
DOC00004379,1000,2023-04-19,2023-04-19,SA,BD00004379,USD,1.0
DOC00004380,1000,2023-04-24,2023-04-24,SA,BD00004380,USD,1.0
DOC00004381,1000,2023-04-21,2023-04-21,SA,BD00004381,USD,1.0
DOC00004382,1000,2023-04-17,2023-04-17,SA,BD00004382,USD,1.0
DOC00004383,1000,2023-04-21,2023-04-21,SA,BD00004383,USD,1.0
DOC00004384,1000,2023-04-17,2023-04-17,SA,BD00004384,USD,1.0
DOC00004385,1000,2023-04-20,2023-04-20,SA,BD00004385,USD,1.0
DOC00004386,1000,2023-04-24,2023-04-24,SA,BD00004386,USD,1.0
DOC00004387,1000,2023-04-27,2023-04-27,SA,BD00004387,USD,1.0
DOC00004388,1000,2023-04-24,2023-04-24,SA,BD00004388,USD,1.0
DOC00004389,1000,2023-04-26,2023-04-26,SA,BD00004389,USD,1.0
DOC00004390,1000,2023-04-19,2023-04-19,SA,BD00004390,USD,1.0
DOC00004391,1000,2023-04-21,2023-04-21,SA,BD00004391,USD,1.0
DOC00004392,1000,2023-04-24,2023-04-24,SA,BD00004392,USD,1.0
DOC00004393,1000,2023-04-24,2023-04-24,SA,BD00004393,USD,1.0
DOC00004394,1000,2023-04-25,2023-04-25,SA,BD00004394,USD,1.0
DOC00004395,1000,2023-04-18,2023-04-18,SA,BD00004395,USD,1.0
DOC00004396,1000,2023-04-27,2023-04-27,SA,BD00004396,USD,1.0
DOC00004397,1000,2023-04-21,2023-04-21,SA,BD00004397,USD,1.0
DOC00004398,1000,2023-04-24,2023-04-24,SA,BD00004398,USD,1.0
DOC00004399,1000,2023-04-19,2023-04-19,SA,BD00004399,USD,1.0
DOC00004400,1000,2023-04-25,2023-04-25,SA,BD00004400,USD,1.0
DOC00004401,1000,2023-04-24,2023-04-24,SA,BD00004401,USD,1.0
DOC00004402,1000,2023-04-25,2023-04-25,SA,BD00004402,USD,1.0
DOC00004403,1000,2023-04-18,2023-04-18,SA,BD00004403,USD,1.0
DOC00004404,1000,2023-04-24,2023-04-24,SA,BD00004404,USD,1.0
DOC00004405,1000,2023-04-18,2023-04-18,SA,BD00004405,USD,1.0
DOC00004406,1000,2023-04-24,2023-04-24,SA,BD00004406,USD,1.0
DOC00004407,1000,2023-04-18,2023-04-18,SA,BD00004407,USD,1.0
DOC00004408,1000,2023-04-18,2023-04-18,SA,BD00004408,USD,1.0
DOC00004409,1000,2023-04-21,2023-04-21,SA,BD00004409,USD,1.0
DOC00004410,1000,2023-04-19,2023-04-19,SA,BD00004410,USD,1.0
DOC00004411,1000,2023-04-24,2023-04-24,SA,BD00004411,USD,1.0
DOC00004412,1000,2023-04-20,2023-04-20,SA,BD00004412,USD,1.0
DOC00004413,1000,2023-04-24,2023-04-24,SA,BD00004413,USD,1.0
DOC00004414,1000,2023-04-18,2023-04-18,SA,BD00004414,USD,1.0
DOC00004415,1000,2023-04-24,2023-04-24,SA,BD00004415,USD,1.0
DOC00004416,1000,2023-04-20,2023-04-20,SA,BD00004416,USD,1.0
DOC00004417,1000,2023-04-18,2023-04-18,SA,BD00004417,USD,1.0
DOC00004418,1000,2023-04-18,2023-04-18,SA,BD00004418,USD,1.0
DOC00004419,1000,2023-04-20,2023-04-20,SA,BD00004419,USD,1.0
DOC00004420,1000,2023-04-18,2023-04-18,SA,BD00004420,USD,1.0
DOC00004421,1000,2023-04-27,2023-04-27,SA,BD00004421,USD,1.0
DOC00004422,1000,2023-04-27,2023-04-27,SA,BD00004422,USD,1.0
DOC00004423,1000,2023-04-24,2023-04-24,SA,BD00004423,USD,1.0
DOC00004424,1000,2023-04-24,2023-04-24,SA,BD00004424,USD,1.0
DOC00004425,1000,2023-04-27,2023-04-27,SA,BD00004425,USD,1.0
DOC00004426,1000,2023-04-18,2023-04-18,SA,BD00004426,USD,1.0
DOC00004427,1000,2023-04-27,2023-04-27,SA,BD00004427,USD,1.0
DOC00004428,1000,2023-04-17,2023-04-17,SA,BD00004428,USD,1.0
DOC00004429,1000,2023-04-19,2023-04-19,SA,BD00004429,USD,1.0
DOC00004430,1000,2023-04-24,2023-04-24,SA,BD00004430,USD,1.0
DOC00004431,1000,2023-04-21,2023-04-21,SA,BD00004431,USD,1.0
DOC00004432,1000,2023-04-18,2023-04-18,SA,BD00004432,USD,1.0
DOC00004433,1000,2023-04-20,2023-04-20,SA,BD00004433,USD,1.0
DOC00004434,1000,2023-04-21,2023-04-21,SA,BD00004434,USD,1.0
DOC00004435,1000,2023-04-21,2023-04-21,SA,BD00004435,USD,1.0
DOC00004436,1000,2023-04-19,2023-04-19,SA,BD00004436,USD,1.0
DOC00004437,1000,2023-04-24,2023-04-24,SA,BD00004437,USD,1.0
DOC00004438,1000,2023-04-28,2023-04-28,SA,BD00004438,USD,1.0
DOC00004439,1000,2023-04-25,2023-04-25,SA,BD00004439,USD,1.0
DOC00004440,1000,2023-04-24,2023-04-24,SA,BD00004440,USD,1.0
DOC00004441,1000,2023-04-20,2023-04-20,SA,BD00004441,USD,1.0
DOC00004442,1000,2023-04-24,2023-04-24,SA,BD00004442,USD,1.0
DOC00004443,1000,2023-04-24,2023-04-24,SA,BD00004443,USD,1.0
DOC00004444,1000,2023-04-24,2023-04-24,SA,BD00004444,USD,1.0
DOC00004445,1000,2023-04-26,2023-04-26,SA,BD00004445,USD,1.0
DOC00004446,1000,2023-04-18,2023-04-18,SA,BD00004446,USD,1.0
DOC00004447,1000,2023-04-24,2023-04-24,SA,BD00004447,USD,1.0
DOC00004448,1000,2023-04-25,2023-04-25,SA,BD00004448,USD,1.0
DOC00004449,1000,2023-04-19,2023-04-19,SA,BD00004449,USD,1.0
DOC00004450,1000,2023-04-19,2023-04-19,SA,BD00004450,USD,1.0
DOC00004451,1000,2023-04-20,2023-04-20,SA,BD00004451,USD,1.0
DOC00004452,1000,2023-04-26,2023-04-26,SA,BD00004452,USD,1.0
DOC00004453,1000,2023-04-24,2023-04-24,SA,BD00004453,USD,1.0
DOC00004454,1000,2023-04-24,2023-04-24,SA,BD00004454,USD,1.0
DOC00004455,1000,2023-04-19,2023-04-19,SA,BD00004455,USD,1.0
DOC00004456,1000,2023-04-19,2023-04-19,SA,BD00004456,USD,1.0
DOC00004457,1000,2023-04-26,2023-04-26,SA,BD00004457,USD,1.0
DOC00004458,1000,2023-04-25,2023-04-25,SA,BD00004458,USD,1.0
DOC00004459,1000,2023-04-24,2023-04-24,SA,BD00004459,USD,1.0
DOC00004460,1000,2023-04-27,2023-04-27,SA,BD00004460,USD,1.0
DOC00004461,1000,2023-04-19,2023-04-19,SA,BD00004461,USD,1.0
DOC00004462,1000,2023-04-20,2023-04-20,SA,BD00004462,USD,1.0
DOC00004463,1000,2023-04-24,2023-04-24,SA,BD00004463,USD,1.0
DOC00004464,1000,2023-04-24,2023-04-24,SA,BD00004464,USD,1.0
DOC00004465,1000,2023-04-21,2023-04-21,SA,BD00004465,USD,1.0
DOC00004466,1000,2023-04-24,2023-04-24,SA,BD00004466,USD,1.0
DOC00004467,1000,2023-04-25,2023-04-25,SA,BD00004467,USD,1.0
DOC00004468,1000,2023-04-24,2023-04-24,SA,BD00004468,USD,1.0
DOC00004469,1000,2023-04-24,2023-04-24,SA,BD00004469,USD,1.0
DOC00004470,1000,2023-04-24,2023-04-24,SA,BD00004470,USD,1.0
DOC00004471,1000,2023-04-21,2023-04-21,SA,BD00004471,USD,1.0
DOC00004472,1000,2023-04-19,2023-04-19,SA,BD00004472,USD,1.0
DOC00004473,1000,2023-04-18,2023-04-18,SA,BD00004473,USD,1.0
DOC00004474,1000,2023-04-27,2023-04-27,SA,BD00004474,USD,1.0
DOC00004475,1000,2023-04-26,2023-04-26,SA,BD00004475,USD,1.0
DOC00004476,1000,2023-04-20,2023-04-20,SA,BD00004476,USD,1.0
DOC00004477,1000,2023-04-24,2023-04-24,SA,BD00004477,USD,1.0
DOC00004478,1000,2023-04-21,2023-04-21,SA,BD00004478,USD,1.0
DOC00004479,1000,2023-04-21,2023-04-21,SA,BD00004479,USD,1.0
DOC00004480,1000,2023-04-25,2023-04-25,SA,BD00004480,USD,1.0
DOC00004481,1000,2023-04-21,2023-04-21,SA,BD00004481,USD,1.0
DOC00004482,1000,2023-04-18,2023-04-18,SA,BD00004482,USD,1.0
DOC00004483,1000,2023-04-24,2023-04-24,SA,BD00004483,USD,1.0
DOC00004484,1000,2023-04-18,2023-04-18,SA,BD00004484,USD,1.0
DOC00004485,1000,2023-04-19,2023-04-19,SA,BD00004485,USD,1.0
DOC00004486,1000,2023-04-28,2023-04-28,SA,BD00004486,USD,1.0
DOC00004487,1000,2023-04-25,2023-04-25,SA,BD00004487,USD,1.0
DOC00004488,1000,2023-04-19,2023-04-19,SA,BD00004488,USD,1.0
DOC00004489,1000,2023-04-26,2023-04-26,SA,BD00004489,USD,1.0
DOC00004490,1000,2023-04-24,2023-04-24,SA,BD00004490,USD,1.0
DOC00004491,1000,2023-04-26,2023-04-26,SA,BD00004491,USD,1.0
DOC00004492,1000,2023-04-25,2023-04-25,SA,BD00004492,USD,1.0
DOC00004493,1000,2023-04-19,2023-04-19,SA,BD00004493,USD,1.0
DOC00004494,1000,2023-04-19,2023-04-19,SA,BD00004494,USD,1.0
DOC00004495,1000,2023-04-28,2023-04-28,SA,BD00004495,USD,1.0
DOC00004496,1000,2023-04-19,2023-04-19,SA,BD00004496,USD,1.0
DOC00004497,1000,2023-04-25,2023-04-25,SA,BD00004497,USD,1.0
DOC00004498,1000,2023-04-21,2023-04-21,SA,BD00004498,USD,1.0
DOC00004499,1000,2023-04-26,2023-04-26,SA,BD00004499,USD,1.0
DOC00004500,1000,2023-04-25,2023-04-25,SA,BD00004500,USD,1.0
DOC00004501,1000,2023-04-19,2023-04-19,SA,BD00004501,USD,1.0
DOC00004502,1000,2023-04-25,2023-04-25,SA,BD00004502,USD,1.0
DOC00004503,1000,2023-04-24,2023-04-24,SA,BD00004503,USD,1.0
DOC00004504,1000,2023-04-26,2023-04-26,SA,BD00004504,USD,1.0
DOC00004505,1000,2023-04-21,2023-04-21,SA,BD00004505,USD,1.0
DOC00004506,1000,2023-04-24,2023-04-24,SA,BD00004506,USD,1.0
DOC00004507,1000,2023-04-26,2023-04-26,SA,BD00004507,USD,1.0
DOC00004508,1000,2023-04-26,2023-04-26,SA,BD00004508,USD,1.0
DOC00004509,1000,2023-04-24,2023-04-24,SA,BD00004509,USD,1.0
DOC00004510,1000,2023-05-01,2023-05-01,SA,BD00004510,USD,1.0
DOC00004511,1000,2023-04-27,2023-04-27,SA,BD00004511,USD,1.0
DOC00004512,1000,2023-04-25,2023-04-25,SA,BD00004512,USD,1.0
DOC00004513,1000,2023-04-27,2023-04-27,SA,BD00004513,USD,1.0
DOC00004514,1000,2023-04-24,2023-04-24,SA,BD00004514,USD,1.0
DOC00004515,1000,2023-04-24,2023-04-24,SA,BD00004515,USD,1.0
DOC00004516,1000,2023-04-27,2023-04-27,SA,BD00004516,USD,1.0
DOC00004517,1000,2023-04-24,2023-04-24,SA,BD00004517,USD,1.0
DOC00004518,1000,2023-04-24,2023-04-24,SA,BD00004518,USD,1.0
DOC00004519,1000,2023-04-27,2023-04-27,SA,BD00004519,USD,1.0
DOC00004520,1000,2023-04-21,2023-04-21,SA,BD00004520,USD,1.0
DOC00004521,1000,2023-04-28,2023-04-28,SA,BD00004521,USD,1.0
DOC00004522,1000,2023-04-26,2023-04-26,SA,BD00004522,USD,1.0
DOC00004523,1000,2023-04-25,2023-04-25,SA,BD00004523,USD,1.0
DOC00004524,1000,2023-04-24,2023-04-24,SA,BD00004524,USD,1.0
DOC00004525,1000,2023-04-26,2023-04-26,SA,BD00004525,USD,1.0
DOC00004526,1000,2023-04-26,2023-04-26,SA,BD00004526,USD,1.0
DOC00004527,1000,2023-04-20,2023-04-20,SA,BD00004527,USD,1.0
DOC00004528,1000,2023-04-27,2023-04-27,SA,BD00004528,USD,1.0
DOC00004529,1000,2023-04-21,2023-04-21,SA,BD00004529,USD,1.0
DOC00004530,1000,2023-05-01,2023-05-01,SA,BD00004530,USD,1.0
DOC00004531,1000,2023-04-20,2023-04-20,SA,BD00004531,USD,1.0
DOC00004532,1000,2023-04-19,2023-04-19,SA,BD00004532,USD,1.0
DOC00004533,1000,2023-04-24,2023-04-24,SA,BD00004533,USD,1.0
DOC00004534,1000,2023-04-27,2023-04-27,SA,BD00004534,USD,1.0
DOC00004535,1000,2023-04-24,2023-04-24,SA,BD00004535,USD,1.0
DOC00004536,1000,2023-04-19,2023-04-19,SA,BD00004536,USD,1.0
DOC00004537,1000,2023-04-27,2023-04-27,SA,BD00004537,USD,1.0
DOC00004538,1000,2023-04-26,2023-04-26,SA,BD00004538,USD,1.0
DOC00004539,1000,2023-04-26,2023-04-26,SA,BD00004539,USD,1.0
DOC00004540,1000,2023-04-24,2023-04-24,SA,BD00004540,USD,1.0
DOC00004541,1000,2023-04-24,2023-04-24,SA,BD00004541,USD,1.0
DOC00004542,1000,2023-04-27,2023-04-27,SA,BD00004542,USD,1.0
DOC00004543,1000,2023-04-19,2023-04-19,SA,BD00004543,USD,1.0
DOC00004544,1000,2023-04-24,2023-04-24,SA,BD00004544,USD,1.0
DOC00004545,1000,2023-04-26,2023-04-26,SA,BD00004545,USD,1.0
DOC00004546,1000,2023-04-24,2023-04-24,SA,BD00004546,USD,1.0
DOC00004547,1000,2023-04-25,2023-04-25,SA,BD00004547,USD,1.0
DOC00004548,1000,2023-04-24,2023-04-24,SA,BD00004548,USD,1.0
DOC00004549,1000,2023-05-01,2023-05-01,SA,BD00004549,USD,1.0
DOC00004550,1000,2023-04-26,2023-04-26,SA,BD00004550,USD,1.0
DOC00004551,1000,2023-04-21,2023-04-21,SA,BD00004551,USD,1.0
DOC00004552,1000,2023-04-25,2023-04-25,SA,BD00004552,USD,1.0
DOC00004553,1000,2023-04-24,2023-04-24,SA,BD00004553,USD,1.0
DOC00004554,1000,2023-04-20,2023-04-20,SA,BD00004554,USD,1.0
DOC00004555,1000,2023-04-25,2023-04-25,SA,BD00004555,USD,1.0
DOC00004556,1000,2023-04-28,2023-04-28,SA,BD00004556,USD,1.0
DOC00004557,1000,2023-04-21,2023-04-21,SA,BD00004557,USD,1.0
DOC00004558,1000,2023-05-01,2023-05-01,SA,BD00004558,USD,1.0
DOC00004559,1000,2023-04-28,2023-04-28,SA,BD00004559,USD,1.0
DOC00004560,1000,2023-04-27,2023-04-27,SA,BD00004560,USD,1.0
DOC00004561,1000,2023-04-24,2023-04-24,SA,BD00004561,USD,1.0
DOC00004562,1000,2023-04-24,2023-04-24,SA,BD00004562,USD,1.0
DOC00004563,1000,2023-04-21,2023-04-21,SA,BD00004563,USD,1.0
DOC00004564,1000,2023-05-01,2023-05-01,SA,BD00004564,USD,1.0
DOC00004565,1000,2023-04-20,2023-04-20,SA,BD00004565,USD,1.0
DOC00004566,1000,2023-04-25,2023-04-25,SA,BD00004566,USD,1.0
DOC00004567,1000,2023-04-25,2023-04-25,SA,BD00004567,USD,1.0
DOC00004568,1000,2023-05-01,2023-05-01,SA,BD00004568,USD,1.0
DOC00004569,1000,2023-04-26,2023-04-26,SA,BD00004569,USD,1.0
DOC00004570,1000,2023-04-24,2023-04-24,SA,BD00004570,USD,1.0
DOC00004571,1000,2023-05-01,2023-05-01,SA,BD00004571,USD,1.0
DOC00004572,1000,2023-05-02,2023-05-02,SA,BD00004572,USD,1.0
