billing_document,item_number,sales_order_id,customer_id,material_id,billing_date,billing_quantity,net_value,tax_amount,gross_value,currency,cost_of_goods
BD00009514,000010,SO00011185,C001022,MAT010147,2023-09-25,97,95301.01,7624.08,102925.09,USD,50806.7
BD00009515,000010,SO00011186,C001032,MAT010090,2023-09-21,72,87341.29,6987.3,94328.59,USD,60332.05
BD00009516,000010,SO00011187,C001041,MAT010109,2023-09-18,67,47958.45,3836.68,51795.13,USD,27892.16
BD00009517,000010,SO00011188,C001024,MAT010036,2023-09-22,33,16904.28,1352.34,18256.62,USD,7138.09
BD00009518,000010,SO00011189,C001039,MAT010198,2023-09-18,33,16463.49,1317.08,17780.57,USD,10368.96
BD00009519,000010,SO00011191,C001043,MAT010170,2023-09-13,8,9126.71,730.14,9856.85,USD,4520.78
BD00009520,000010,SO00011193,C001012,MAT010186,2023-09-18,5,4782.17,382.57,5164.74,USD,2267.39
BD00009521,000010,SO00011194,C001011,MAT010113,2023-09-15,39,39347.23,3147.78,42495.01,USD,26856.05
BD00009522,000010,SO00011195,C001015,MAT010035,2023-09-13,18,25278.49,2022.28,27300.77,USD,13563.96
BD00009523,000010,SO00011196,C001012,MAT010050,2023-09-25,2,1633.39,130.67,1764.06,USD,733.1
BD00009524,000010,SO00011197,C001019,MAT010007,2023-09-20,42,24782.37,1982.59,26764.96,USD,10667.76
BD00009525,000010,SO00011198,C001038,MAT010188,2023-09-25,74,83985.56,6718.84,90704.4,USD,49562.06
BD00009526,000010,SO00011199,C001005,MAT010009,2023-09-22,11,6980.28,558.42,7538.7,USD,3539.86
BD00009527,000010,SO00011200,C001039,MAT010106,2023-09-18,92,145438.68,11635.09,157073.77,USD,65800.54
BD00009528,000010,SO00011202,C001001,MAT010157,2023-09-20,85,67777.8,5422.22,73200.02,USD,34006.77
BD00009529,000010,SO00011205,C001047,MAT010084,2023-09-18,21,16811.25,1344.9,18156.15,USD,8325.28
BD00009530,000010,SO00011206,C001025,MAT010110,2023-09-18,52,108358.73,8668.7,117027.43,USD,71865.27
BD00009531,000010,SO00011207,C001025,MAT010115,2023-09-20,10,11201.02,896.08,12097.1,USD,7831.76
BD00009532,000010,SO00011208,C001044,MAT010166,2023-09-18,73,98669.42,7893.55,106562.97,USD,48336.94
BD00009533,000010,SO00011210,C001035,MAT010033,2023-09-20,27,3655.12,292.41,3947.53,USD,1524.28
BD00009534,000010,SO00011211,C001042,MAT010069,2023-09-25,54,84483.5,6758.68,91242.18,USD,38825.98
BD00009535,000010,SO00011212,C001033,MAT010138,2023-09-18,81,197286.13,15782.89,213069.02,USD,133067.18
BD00009536,000010,SO00011213,C001049,MAT010140,2023-09-21,24,23794.48,1903.56,25698.04,USD,13033.85
BD00009537,000010,SO00011214,C001039,MAT010079,2023-09-25,50,10889.78,871.18,11760.96,USD,5931.49
BD00009538,000010,SO00011215,C001020,MAT010112,2023-09-21,40,8152.68,652.21,8804.89,USD,4706.03
BD00009539,000010,SO00011217,C001003,MAT010196,2023-09-26,83,76820.9,6145.67,82966.57,USD,45641.62
BD00009540,000010,SO00011218,C001034,MAT010153,2023-09-26,94,22508.56,1800.68,24309.24,USD,9350.28
BD00009541,000010,SO00011219,C001028,MAT010021,2023-09-25,94,174135.79,13930.86,188066.65,USD,86432.79
BD00009542,000010,SO00011220,C001037,MAT010154,2023-09-21,35,34675.6,2774.05,37449.65,USD,22990.75
BD00009543,000010,SO00011221,C001035,MAT010122,2023-09-20,70,29311.86,2344.95,31656.81,USD,17597.98
BD00009544,000010,SO00011222,C001011,MAT010040,2023-09-19,63,7450.03,596.0,8046.03,USD,4744.28
BD00009545,000010,SO00011223,C001035,MAT010124,2023-09-22,63,35321.28,2825.7,38146.98,USD,15760.65
BD00009546,000010,SO00011224,C001017,MAT010159,2023-09-19,48,88534.46,7082.76,95617.22,USD,40657.52
BD00009547,000010,SO00011225,C001015,MAT010100,2023-09-18,74,87699.09,7015.93,94715.02,USD,40764.27
BD00009548,000010,SO00011226,C001036,MAT010186,2023-09-18,44,57262.16,4580.97,61843.13,USD,36343.91
BD00009549,000010,SO00011227,C001012,MAT010019,2023-09-26,46,39948.91,3195.91,43144.82,USD,23482.18
BD00009550,000010,SO00011228,C001021,MAT010053,2023-09-25,55,1138.93,91.11,1230.04,USD,595.91
BD00009551,000010,SO00011230,C001027,MAT010070,2023-09-26,40,11491.76,919.34,12411.1,USD,5669.05
BD00009552,000010,SO00011231,C001025,MAT010185,2023-09-19,86,58905.92,4712.47,63618.39,USD,32263.49
BD00009553,000010,SO00011232,C001043,MAT010192,2023-09-25,21,8094.27,647.54,8741.81,USD,4609.42
BD00009554,000010,SO00011233,C001034,MAT010134,2023-09-19,83,45413.82,3633.11,49046.93,USD,31757.18
BD00009555,000010,SO00011234,C001005,MAT010196,2023-09-26,100,97338.33,7787.07,105125.4,USD,65550.73
BD00009556,000010,SO00011235,C001033,MAT010163,2023-09-18,34,46480.63,3718.45,50199.08,USD,27129.99
BD00009557,000010,SO00011237,C001012,MAT010194,2023-09-18,38,47356.31,3788.5,51144.81,USD,31680.97
BD00009558,000010,SO00011238,C001046,MAT010129,2023-09-18,48,2105.83,168.47,2274.3,USD,1447.01
BD00009559,000010,SO00011239,C001002,MAT010174,2023-09-18,36,70792.89,5663.43,76456.32,USD,35484.16
BD00009560,000010,SO00011241,C001005,MAT010103,2023-09-25,39,3042.87,243.43,3286.3,USD,1774.47
BD00009561,000010,SO00011245,C001008,MAT010140,2023-09-25,4,6464.2,517.14,6981.34,USD,4197.4
BD00009562,000010,SO00011246,C001023,MAT010148,2023-09-25,95,35206.05,2816.48,38022.53,USD,15023.24
BD00009563,000010,SO00011247,C001012,MAT010016,2023-09-20,84,3751.92,300.15,4052.07,USD,2363.6
BD00009564,000010,SO00011248,C001044,MAT010129,2023-09-26,58,3581.41,286.51,3867.92,USD,2066.87
BD00009565,000010,SO00011249,C001007,MAT010042,2023-09-21,76,118231.1,9458.49,127689.59,USD,73047.48
BD00009566,000010,SO00011251,C001041,MAT010169,2023-09-20,38,12292.84,983.43,13276.27,USD,5541.61
BD00009567,000010,SO00011252,C001043,MAT010086,2023-09-19,91,68544.9,5483.59,74028.49,USD,37083.99
BD00009568,000010,SO00011253,C001015,MAT010185,2023-09-18,65,38612.98,3089.04,41702.02,USD,26504.71
BD00009569,000010,SO00011254,C001001,MAT010112,2023-09-27,14,3645.55,291.64,3937.19,USD,1796.86
BD00009570,000010,SO00011255,C001037,MAT010054,2023-09-19,7,14101.49,1128.12,15229.61,USD,7834.39
BD00009571,000010,SO00011256,C001008,MAT010162,2023-09-21,17,14714.3,1177.14,15891.44,USD,9304.94
BD00009572,000010,SO00011257,C001016,MAT010020,2023-09-27,2,1657.73,132.62,1790.35,USD,1129.71
BD00009573,000010,SO00011258,C001032,MAT010076,2023-09-20,48,108789.09,8703.13,117492.22,USD,57195.3
BD00009574,000010,SO00011259,C001047,MAT010018,2023-09-26,84,87936.36,7034.91,94971.27,USD,35328.67
BD00009575,000010,SO00011260,C001039,MAT010090,2023-09-18,11,17335.99,1386.88,18722.87,USD,7151.9
BD00009576,000010,SO00011261,C001040,MAT010165,2023-09-22,53,63997.78,5119.82,69117.6,USD,38060.39
BD00009577,000010,SO00011262,C001015,MAT010046,2023-09-26,95,205629.98,16450.4,222080.38,USD,114539.96
BD00009578,000010,SO00011263,C001029,MAT010086,2023-09-19,87,60812.97,4865.04,65678.01,USD,38130.28
BD00009579,000010,SO00011264,C001030,MAT010120,2023-09-25,6,6938.03,555.04,7493.07,USD,4533.92
BD00009580,000010,SO00011265,C001006,MAT010199,2023-09-22,92,33734.38,2698.75,36433.13,USD,19420.7
BD00009581,000010,SO00011266,C001031,MAT010177,2023-09-25,48,34063.65,2725.09,36788.74,USD,18793.88
BD00009582,000010,SO00011267,C001024,MAT010032,2023-09-25,75,55894.65,4471.57,60366.22,USD,24518.62
BD00009583,000010,SO00011268,C001006,MAT010139,2023-09-22,42,77836.44,6226.92,84063.36,USD,36711.79
BD00009584,000010,SO00011269,C001041,MAT010165,2023-09-21,24,21127.31,1690.18,22817.49,USD,14371.94
BD00009585,000010,SO00011270,C001019,MAT010000,2023-09-25,23,3778.54,302.28,4080.82,USD,1952.38
BD00009586,000010,SO00011271,C001041,MAT010026,2023-09-25,69,47269.85,3781.59,51051.44,USD,23114.62
BD00009587,000010,SO00011272,C001026,MAT010172,2023-09-27,95,90755.73,7260.46,98016.19,USD,51301.29
BD00009588,000010,SO00011273,C001048,MAT010187,2023-09-18,36,14865.41,1189.23,16054.64,USD,10137.98
BD00009589,000010,SO00011274,C001030,MAT010035,2023-09-25,4,5047.48,403.8,5451.28,USD,3303.1
BD00009590,000010,SO00011275,C001001,MAT010048,2023-09-25,89,119173.53,9533.88,128707.41,USD,71848.17
BD00009591,000010,SO00011276,C001016,MAT010182,2023-09-19,68,54451.98,4356.16,58808.14,USD,28113.08
BD00009592,000010,SO00011277,C001030,MAT010049,2023-09-25,8,3243.05,259.44,3502.49,USD,1395.49
BD00009593,000010,SO00011279,C001032,MAT010077,2023-09-25,57,110087.78,8807.02,118894.8,USD,76060.97
BD00009594,000010,SO00011281,C001038,MAT010173,2023-09-22,97,122158.5,9772.68,131931.18,USD,77954.56
BD00009595,000010,SO00011282,C001003,MAT010179,2023-09-21,16,6688.48,535.08,7223.56,USD,2722.19
BD00009596,000010,SO00011283,C001017,MAT010041,2023-09-20,68,26306.95,2104.56,28411.51,USD,11794.31
BD00009597,000010,SO00011284,C001031,MAT010110,2023-09-19,83,118232.8,9458.62,127691.42,USD,48229.86
BD00009598,000010,SO00011286,C001009,MAT010157,2023-09-25,48,59045.61,4723.65,63769.26,USD,27670.6
BD00009599,000010,SO00011287,C001029,MAT010070,2023-09-22,32,13516.84,1081.35,14598.19,USD,6534.72
BD00009600,000010,SO00011288,C001014,MAT010096,2023-09-25,67,100469.52,8037.56,108507.08,USD,53370.23
BD00009601,000010,SO00011289,C001012,MAT010022,2023-09-21,54,42699.9,3415.99,46115.89,USD,20963.02
BD00009602,000010,SO00011290,C001021,MAT010196,2023-09-25,43,48804.71,3904.38,52709.09,USD,24792.07
BD00009603,000010,SO00011291,C001011,MAT010066,2023-09-25,85,5195.49,415.64,5611.13,USD,3148.13
BD00009604,000010,SO00011292,C001033,MAT010002,2023-09-22,93,47781.11,3822.49,51603.6,USD,30942.86
BD00009605,000010,SO00011293,C001049,MAT010071,2023-09-27,57,36198.07,2895.85,39093.92,USD,24110.4
BD00009606,000010,SO00011294,C001005,MAT010047,2023-09-25,48,11243.47,899.48,12142.95,USD,5278.19
BD00009607,000010,SO00011295,C001044,MAT010140,2023-09-25,10,12197.33,975.79,13173.12,USD,6123.83
BD00009608,000010,SO00011296,C001031,MAT010034,2023-09-25,20,19118.23,1529.46,20647.69,USD,8984.48
BD00009609,000010,SO00011297,C001044,MAT010129,2023-09-26,14,833.76,66.7,900.46,USD,393.79
BD00009610,000010,SO00011298,C001015,MAT010013,2023-09-22,46,20079.82,1606.39,21686.21,USD,8776.65
BD00009611,000010,SO00011299,C001017,MAT010076,2023-09-25,7,11031.12,882.49,11913.61,USD,4560.95
BD00009612,000010,SO00011300,C001021,MAT010120,2023-09-20,21,21508.12,1720.65,23228.77,USD,14241.99
BD00009613,000010,SO00011302,C001048,MAT010145,2023-09-18,20,36216.0,2897.28,39113.28,USD,16425.18
BD00009614,000010,SO00011303,C001047,MAT010169,2023-09-20,98,37072.19,2965.78,40037.97,USD,17722.77
BD00009615,000010,SO00011304,C001011,MAT010191,2023-09-25,40,20075.56,1606.04,21681.6,USD,11300.2
BD00009616,000010,SO00011305,C001032,MAT010103,2023-09-26,4,196.92,15.75,212.67,USD,122.08
BD00009617,000010,SO00011306,C001037,MAT010040,2023-09-21,1,143.92,11.51,155.43,USD,82.85
BD00009618,000010,SO00011307,C001025,MAT010190,2023-09-26,59,82943.09,6635.45,89578.54,USD,56436.74
BD00009619,000010,SO00011310,C001007,MAT010151,2023-09-18,53,79629.7,6370.38,86000.08,USD,38740.7
BD00009620,000010,SO00011311,C001043,MAT010128,2023-09-18,48,54069.76,4325.58,58395.34,USD,26154.53
BD00009621,000010,SO00011312,C001026,MAT010047,2023-09-26,16,4929.35,394.35,5323.7,USD,3408.85
BD00009622,000010,SO00011313,C001026,MAT010006,2023-09-25,80,77031.5,6162.52,83194.02,USD,40300.22
BD00009623,000010,SO00011315,C001044,MAT010047,2023-09-20,51,17217.58,1377.41,18594.99,USD,10404.52
BD00009624,000010,SO00011316,C001025,MAT010110,2023-09-25,87,178187.68,14255.01,192442.69,USD,90090.7
BD00009625,000010,SO00011317,C001042,MAT010039,2023-09-22,33,23783.89,1902.71,25686.6,USD,10303.76
BD00009626,000010,SO00011318,C001028,MAT010157,2023-09-18,51,45336.79,3626.94,48963.73,USD,24160.02
BD00009627,000010,SO00011319,C001010,MAT010087,2023-09-18,96,38044.88,3043.59,41088.47,USD,16435.8
BD00009628,000010,SO00011320,C001049,MAT010155,2023-09-18,5,5790.64,463.25,6253.89,USD,4015.39
BD00009629,000010,SO00011321,C001026,MAT010181,2023-09-25,96,105276.51,8422.12,113698.63,USD,53417.92
BD00009630,000010,SO00011322,C001049,MAT010141,2023-09-26,32,33763.18,2701.05,36464.23,USD,14939.54
BD00009631,000010,SO00011324,C001001,MAT010178,2023-09-26,78,112315.45,8985.24,121300.69,USD,52769.61
BD00009632,000010,SO00011325,C001031,MAT010143,2023-09-21,53,14378.15,1150.25,15528.4,USD,9533.62
BD00009633,000010,SO00011328,C001042,MAT010173,2023-09-22,6,10445.42,835.63,11281.05,USD,4669.74
BD00009634,000010,SO00011329,C001020,MAT010141,2023-09-26,6,6283.8,502.7,6786.5,USD,3992.39
BD00009635,000010,SO00011331,C001047,MAT010063,2023-09-26,65,51894.06,4151.52,56045.58,USD,25518.56
BD00009636,000010,SO00011333,C001013,MAT010123,2023-09-26,11,1809.03,144.72,1953.75,USD,998.13
BD00009637,000010,SO00011334,C001039,MAT010088,2023-09-25,61,113664.74,9093.18,122757.92,USD,54237.34
BD00009638,000010,SO00011335,C001008,MAT010022,2023-09-19,65,61089.06,4887.12,65976.18,USD,25251.77
BD00009639,000010,SO00011336,C001009,MAT010104,2023-09-18,14,11048.32,883.87,11932.19,USD,7568.87
BD00009640,000010,SO00011337,C001034,MAT010074,2023-09-18,45,18344.95,1467.6,19812.55,USD,10023.32
BD00009641,000010,SO00011338,C001010,MAT010050,2023-09-26,68,35389.11,2831.13,38220.24,USD,23011.81
BD00009642,000010,SO00011339,C001042,MAT010040,2023-09-28,60,9120.9,729.67,9850.57,USD,5138.75
BD00009643,000010,SO00011340,C001024,MAT010062,2023-09-25,68,17043.46,1363.48,18406.94,USD,11792.17
BD00009644,000010,SO00011341,C001032,MAT010054,2023-09-20,81,114565.21,9165.22,123730.43,USD,66576.97
BD00009645,000010,SO00011342,C001007,MAT010169,2023-09-20,79,21924.63,1753.97,23678.6,USD,10049.16
BD00009646,000010,SO00011343,C001022,MAT010169,2023-09-18,36,13354.41,1068.35,14422.76,USD,9242.83
BD00009647,000010,SO00011344,C001014,MAT010198,2023-09-25,14,4853.84,388.31,5242.15,USD,2612.64
BD00009648,000010,SO00011345,C001002,MAT010191,2023-09-28,81,46558.92,3724.71,50283.63,USD,31955.21
BD00009649,000010,SO00011346,C001015,MAT010166,2023-09-19,26,45501.87,3640.15,49142.02,USD,20615.74
BD00009650,000010,SO00011349,C001046,MAT010105,2023-09-22,40,30524.8,2441.98,32966.78,USD,12833.1
BD00009651,000010,SO00011350,C001021,MAT010005,2023-09-27,20,20275.35,1622.03,21897.38,USD,13553.1
BD00009652,000010,SO00011352,C001047,MAT010072,2023-09-19,76,5520.14,441.61,5961.75,USD,3785.51
BD00009653,000010,SO00011353,C001012,MAT010132,2023-09-19,60,104717.64,8377.41,113095.05,USD,51754.15
BD00009654,000010,SO00011354,C001000,MAT010077,2023-09-18,54,94138.31,7531.06,101669.37,USD,43546.38
BD00009655,000010,SO00011356,C001043,MAT010082,2023-09-19,24,23240.62,1859.25,25099.87,USD,11868.42
BD00009656,000010,SO00011357,C001030,MAT010041,2023-09-22,35,21016.0,1681.28,22697.28,USD,13608.96
BD00009657,000010,SO00011358,C001011,MAT010174,2023-09-25,69,128811.72,10304.94,139116.66,USD,59211.7
BD00009658,000010,SO00011359,C001017,MAT010146,2023-09-27,75,123671.51,9893.72,133565.23,USD,66732.03
BD00009659,000010,SO00011360,C001012,MAT010165,2023-09-25,94,72320.98,5785.68,78106.66,USD,44052.3
BD00009660,000010,SO00011361,C001017,MAT010186,2023-09-25,63,99507.01,7960.56,107467.57,USD,64915.1
BD00009661,000010,SO00011363,C001040,MAT010115,2023-09-28,92,106923.12,8553.85,115476.97,USD,69314.34
BD00009662,000010,SO00011364,C001017,MAT010060,2023-09-20,10,5443.31,435.46,5878.77,USD,3032.89
BD00009663,000010,SO00011365,C001006,MAT010098,2023-09-26,17,19068.85,1525.51,20594.36,USD,10406.71
BD00009664,000010,SO00011366,C001040,MAT010062,2023-09-20,32,6831.97,546.56,7378.53,USD,3560.86
BD00009665,000010,SO00011367,C001016,MAT010042,2023-09-28,43,84347.3,6747.78,91095.08,USD,45514.3
BD00009666,000010,SO00011369,C001039,MAT010012,2023-09-22,21,18598.06,1487.84,20085.9,USD,9517.67
BD00009667,000010,SO00011370,C001003,MAT010162,2023-09-25,31,37650.47,3012.04,40662.51,USD,20215.93
BD00009668,000010,SO00011371,C001015,MAT010002,2023-09-28,72,30467.29,2437.38,32904.67,USD,19999.3
BD00009669,000010,SO00011373,C001049,MAT010162,2023-09-26,28,32915.11,2633.21,35548.32,USD,16960.15
BD00009670,000010,SO00011374,C001025,MAT010173,2023-09-19,82,117273.33,9381.87,126655.2,USD,53210.65
BD00009671,000010,SO00011375,C001026,MAT010160,2023-09-28,52,52618.8,4209.5,56828.3,USD,21536.77
BD00009672,000010,SO00011376,C001037,MAT010181,2023-09-26,3,4827.1,386.17,5213.27,USD,2893.5
BD00009673,000010,SO00011377,C001012,MAT010052,2023-09-25,31,25038.7,2003.1,27041.8,USD,13991.02
BD00009674,000010,SO00011378,C001014,MAT010042,2023-09-26,63,138586.78,11086.94,149673.72,USD,71127.31
BD00009675,000010,SO00011379,C001009,MAT010020,2023-09-25,89,59371.82,4749.75,64121.57,USD,35171.1
BD00009676,000010,SO00011380,C001014,MAT010134,2023-09-25,1,455.47,36.44,491.91,USD,236.53
BD00009677,000010,SO00011381,C001040,MAT010070,2023-09-18,29,10765.76,861.26,11627.02,USD,7155.15
BD00009678,000010,SO00011382,C001038,MAT010055,2023-09-20,88,52952.67,4236.21,57188.88,USD,33952.72
BD00009679,000010,SO00011384,C001030,MAT010161,2023-09-26,23,32534.11,2602.73,35136.84,USD,19156.73
BD00009680,000010,SO00011385,C001021,MAT010119,2023-09-25,91,108210.1,8656.81,116866.91,USD,69586.35
BD00009681,000010,SO00011386,C001026,MAT010018,2023-09-19,34,23446.96,1875.76,25322.72,USD,11815.6
BD00009682,000010,SO00011387,C001049,MAT010089,2023-09-25,79,80495.43,6439.63,86935.06,USD,33024.79
BD00009683,000010,SO00011388,C001038,MAT010033,2023-09-25,94,16678.27,1334.26,18012.53,USD,7457.19
BD00009684,000010,SO00011389,C001037,MAT010052,2023-09-25,4,5314.7,425.18,5739.88,USD,3123.05
BD00009685,000010,SO00011390,C001013,MAT010141,2023-09-19,79,78153.05,6252.24,84405.29,USD,51014.2
BD00009686,000010,SO00011391,C001027,MAT010190,2023-09-25,81,192377.96,15390.24,207768.2,USD,87364.63
BD00009687,000010,SO00011392,C001032,MAT010005,2023-09-29,65,33101.55,2648.12,35749.67,USD,20223.33
BD00009688,000010,SO00011394,C001010,MAT010106,2023-09-25,80,84820.68,6785.65,91606.33,USD,41658.7
BD00009689,000010,SO00011395,C001012,MAT010172,2023-09-19,57,38732.4,3098.59,41830.99,USD,26615.22
BD00009690,000010,SO00011396,C001049,MAT010003,2023-09-19,17,13325.98,1066.08,14392.06,USD,6795.53
BD00009691,000010,SO00011397,C001002,MAT010138,2023-09-25,18,30132.75,2410.62,32543.37,USD,19444.88
BD00009692,000010,SO00011398,C001008,MAT010141,2023-09-20,91,83954.46,6716.36,90670.82,USD,49074.78
BD00009693,000010,SO00011399,C001044,MAT010195,2023-09-19,19,5676.61,454.13,6130.74,USD,3463.29
BD00009694,000010,SO00011400,C001046,MAT010138,2023-09-25,19,30119.94,2409.6,32529.54,USD,12546.39
BD00009695,000010,SO00011401,C001029,MAT010111,2023-09-26,75,6467.12,517.37,6984.49,USD,4404.77
BD00009696,000010,SO00011402,C001026,MAT010108,2023-09-19,33,38065.84,3045.27,41111.11,USD,15628.98
BD00009697,000010,SO00011403,C001024,MAT010087,2023-09-22,51,26825.57,2146.05,28971.62,USD,15058.34
BD00009698,000010,SO00011404,C001017,MAT010020,2023-09-19,1,735.94,58.88,794.82,USD,371.07
BD00009699,000010,SO00011405,C001030,MAT010115,2023-09-28,42,80362.31,6428.98,86791.29,USD,39665.8
BD00009700,000010,SO00011406,C001036,MAT010056,2023-09-25,55,1887.84,151.03,2038.87,USD,1188.74
BD00009701,000010,SO00011407,C001018,MAT010088,2023-09-25,44,90247.57,7219.81,97467.38,USD,55311.06
BD00009702,000010,SO00011409,C001042,MAT010021,2023-09-25,9,20604.56,1648.36,22252.92,USD,10511.44
BD00009703,000010,SO00011410,C001005,MAT010021,2023-09-25,28,61956.47,4956.52,66912.99,USD,25689.96
BD00009704,000010,SO00011412,C001028,MAT010133,2023-09-27,75,96674.09,7733.93,104408.02,USD,59353.24
BD00009705,000010,SO00011413,C001038,MAT010053,2023-09-22,43,1396.76,111.74,1508.5,USD,722.53
BD00009706,000010,SO00011414,C001048,MAT010038,2023-09-27,56,101754.98,8140.4,109895.38,USD,51455.08
BD00009707,000010,SO00011415,C001000,MAT010066,2023-09-28,9,765.0,61.2,826.2,USD,311.89
BD00009708,000010,SO00011416,C001012,MAT010175,2023-09-25,84,173244.04,13859.52,187103.56,USD,104671.73
BD00009709,000010,SO00011417,C001010,MAT010010,2023-09-22,97,163632.91,13090.63,176723.54,USD,84159.87
BD00009710,000010,SO00011418,C001038,MAT010092,2023-09-29,75,99967.72,7997.42,107965.14,USD,66671.21
BD00009711,000010,SO00011419,C001022,MAT010193,2023-09-25,18,18983.01,1518.64,20501.65,USD,10785.72
BD00009712,000010,SO00011420,C001041,MAT010122,2023-09-27,91,49390.66,3951.25,53341.91,USD,26612.93
BD00009713,000010,SO00011421,C001015,MAT010153,2023-09-26,38,7047.94,563.84,7611.78,USD,4426.77
BD00009714,000010,SO00011422,C001048,MAT010025,2023-09-21,35,37633.86,3010.71,40644.57,USD,20415.0
BD00009715,000010,SO00011423,C001026,MAT010139,2023-09-26,38,68625.71,5490.06,74115.77,USD,41665.45
BD00009716,000010,SO00011424,C001032,MAT010033,2023-09-21,26,3212.83,257.03,3469.86,USD,1647.99
BD00009717,000010,SO00011425,C001047,MAT010100,2023-09-26,91,137349.06,10987.92,148336.98,USD,90438.88
BD00009718,000010,SO00011426,C001011,MAT010001,2023-09-25,13,10146.5,811.72,10958.22,USD,6058.25
BD00009719,000010,SO00011427,C001013,MAT010071,2023-09-21,83,34716.96,2777.36,37494.32,USD,14476.14
BD00009720,000010,SO00011428,C001019,MAT010150,2023-09-25,25,2509.65,200.77,2710.42,USD,1282.06
BD00009721,000010,SO00011429,C001015,MAT010082,2023-09-27,88,67127.82,5370.23,72498.05,USD,33829.83
BD00009722,000010,SO00011430,C001029,MAT010195,2023-09-25,27,8082.88,646.63,8729.51,USD,4277.18
BD00009723,000010,SO00011431,C001022,MAT010111,2023-09-25,85,7257.21,580.58,7837.79,USD,3222.01
BD00009724,000010,SO00011432,C001033,MAT010085,2023-09-20,94,130850.51,10468.04,141318.55,USD,79359.31
BD00009725,000010,SO00011433,C001028,MAT010167,2023-09-25,27,17854.73,1428.38,19283.11,USD,8074.62
BD00009726,000010,SO00011434,C001007,MAT010125,2023-09-28,39,13912.7,1113.02,15025.72,USD,5959.97
BD00009727,000010,SO00011435,C001028,MAT010120,2023-09-20,28,28478.09,2278.25,30756.34,USD,19163.01
BD00009728,000010,SO00011436,C001021,MAT010000,2023-09-25,87,14163.14,1133.05,15296.19,USD,7916.05
BD00009729,000010,SO00011437,C001005,MAT010060,2023-09-25,57,44049.9,3523.99,47573.89,USD,24966.44
BD00009730,000010,SO00011438,C001000,MAT010120,2023-09-26,9,13402.59,1072.21,14474.8,USD,6830.09
BD00009731,000010,SO00011439,C001004,MAT010079,2023-09-26,98,19001.78,1520.14,20521.92,USD,10739.48
BD00009732,000010,SO00011440,C001044,MAT010173,2023-09-19,90,110019.04,8801.52,118820.56,USD,66307.04
BD00009733,000010,SO00011441,C001002,MAT010123,2023-09-25,82,14898.12,1191.85,16089.97,USD,6298.17
BD00009734,000010,SO00011442,C001011,MAT010069,2023-09-19,14,22380.16,1790.41,24170.57,USD,10633.3
BD00009735,000010,SO00011448,C001035,MAT010036,2023-09-27,13,7748.06,619.84,8367.9,USD,3829.52
BD00009736,000010,SO00011449,C001022,MAT010170,2023-09-25,11,10166.9,813.35,10980.25,USD,4376.9
BD00009737,000010,SO00011450,C001014,MAT010082,2023-09-25,77,59861.4,4788.91,64650.31,USD,40199.57
BD00009738,000010,SO00011451,C001022,MAT010104,2023-09-21,32,42294.39,3383.55,45677.94,USD,26630.44
BD00009739,000010,SO00011452,C001036,MAT010035,2023-09-25,28,45168.05,3613.44,48781.49,USD,30296.99
BD00009740,000010,SO00011453,C001042,MAT010124,2023-09-27,54,37950.66,3036.05,40986.71,USD,18275.1
BD00009741,000010,SO00011454,C001025,MAT010042,2023-09-27,56,65608.09,5248.65,70856.74,USD,35153.15
BD00009742,000010,SO00011456,C001007,MAT010019,2023-09-25,97,81674.19,6533.94,88208.13,USD,49926.65
BD00009743,000010,SO00011458,C001048,MAT010002,2023-09-29,1,497.92,39.83,537.75,USD,346.35
BD00009744,000010,SO00011459,C001034,MAT010033,2023-09-26,23,2810.44,224.84,3035.28,USD,1391.67
BD00009745,000010,SO00011460,C001046,MAT010021,2023-10-02,1,1911.95,152.96,2064.91,USD,1087.54
BD00009746,000010,SO00011461,C001025,MAT010115,2023-09-29,18,36515.49,2921.24,39436.73,USD,22703.04
BD00009747,000010,SO00011462,C001028,MAT010190,2023-10-02,7,10846.71,867.74,11714.45,USD,5122.69
BD00009748,000010,SO00011463,C001012,MAT010038,2023-09-25,79,106793.66,8543.49,115337.15,USD,64725.69
BD00009749,000010,SO00011464,C001015,MAT010168,2023-09-21,49,103031.67,8242.53,111274.2,USD,67791.23
BD00009750,000010,SO00011465,C001024,MAT010048,2023-09-27,41,66171.96,5293.76,71465.72,USD,27008.47
BD00009751,000010,SO00011466,C001026,MAT010035,2023-09-22,34,42077.73,3366.22,45443.95,USD,25334.36
BD00009752,000010,SO00011467,C001016,MAT010100,2023-10-02,78,112562.58,9005.01,121567.59,USD,73612.96
BD00009753,000010,SO00011468,C001018,MAT010084,2023-09-25,32,39293.2,3143.46,42436.66,USD,25525.04
BD00009754,000010,SO00011469,C001036,MAT010160,2023-09-25,1,917.31,73.38,990.69,USD,515.21
BD00009755,000010,SO00011470,C001009,MAT010128,2023-09-27,38,72894.82,5831.59,78726.41,USD,50596.85
BD00009756,000010,SO00011471,C001012,MAT010177,2023-09-25,7,4030.32,322.43,4352.75,USD,2452.79
BD00009757,000010,SO00011472,C001046,MAT010183,2023-09-25,62,25268.84,2021.51,27290.35,USD,15691.84
BD00009758,000010,SO00011473,C001007,MAT010055,2023-09-25,76,68753.63,5500.29,74253.92,USD,34437.96
BD00009759,000010,SO00011474,C001049,MAT010157,2023-09-28,34,27119.52,2169.56,29289.08,USD,18919.89
