material_number,plant,valuation_type,valuation_area,standard_price,moving_average_price,total_stock,total_value_stock,last_update_date
MAT0000348,PL03,,PL03,10.0,10.28,467.0,4800.76,2024-03-02
MAT0000349,PL02,,PL02,10.0,9.99,381.0,3806.19,2024-03-08
MAT0000350,PL02,,PL02,10.0,9.92,414.0,4106.88,2024-03-15
MAT0000351,PL01,,PL01,42.49,40.59,465.0,18874.35,2024-03-12
MAT0000352,PL01,,PL01,10.0,10.5,654.0,6867.0,2024-03-10
MAT0000353,PL03,,PL03,13.12,13.39,660.0,8837.4,2024-03-30
MAT0000354,PL03,,PL03,10.0,10.37,605.0,6273.85,2024-03-25
MAT0000355,PL03,,PL03,10.0,10.3,415.0,4274.5,2024-03-04
MAT0000356,PL02,,PL02,15.72,15.97,658.0,10508.26,2024-03-04
MAT0000357,PL03,,PL03,24.57,25.45,468.0,11910.6,2024-03-21
MAT0000358,PL02,,PL02,10.0,10.2,419.0,4273.8,2024-03-11
MAT0000359,PL02,,PL02,10.0,9.83,463.0,4551.29,2024-03-16
MAT0000360,PL03,,PL03,59.14,61.5,435.0,26752.5,2024-03-29
MAT0000361,PL01,,PL01,49.98,49.27,463.0,22812.01,2024-03-18
MAT0000362,PL03,,PL03,10.0,9.58,391.0,3745.78,2024-03-15
MAT0000363,PL02,,PL02,12.63,12.87,560.0,7207.2,2024-03-08
MAT0000364,PL03,,PL03,10.0,10.33,741.0,7654.53,2024-03-27
MAT0000365,PL01,,PL01,12.31,11.86,265.0,3142.9,2024-03-12
MAT0000366,PL03,,PL03,10.0,9.83,771.0,7578.93,2024-03-09
MAT0000367,PL01,,PL01,12.85,13.47,771.0,10385.37,2024-03-29
MAT0000368,PL01,,PL01,10.0,9.57,495.0,4737.15,2024-03-03
MAT0000369,PL02,,PL02,17.59,16.72,455.0,7607.6,2024-03-18
MAT0000370,PL01,,PL01,10.0,9.63,681.0,6558.03,2024-03-31
MAT0000371,PL01,,PL01,13.8,13.84,578.0,7999.52,2024-03-11
MAT0000372,PL01,,PL01,13.15,13.38,413.0,5525.94,2024-03-17
MAT0000373,PL02,,PL02,10.04,9.94,302.0,3001.88,2024-03-25
MAT0000374,PL02,,PL02,34.48,34.6,516.0,17853.6,2024-03-25
MAT0000375,PL01,,PL01,18.52,18.19,228.0,4147.32,2024-03-29
MAT0000376,PL02,,PL02,10.0,10.25,247.0,2531.75,2024-03-05
MAT0000377,PL02,,PL02,10.1,9.71,447.0,4340.37,2024-03-02
MAT0000378,PL02,,PL02,14.4,15.09,191.0,2882.19,2024-03-06
MAT0000379,PL03,,PL03,17.06,16.27,523.0,8509.21,2024-03-30
MAT0000380,PL02,,PL02,23.52,23.29,507.0,11808.03,2024-03-06
MAT0000381,PL02,,PL02,16.97,17.15,384.0,6585.6,2024-03-20
MAT0000382,PL03,,PL03,24.39,24.36,425.0,10353.0,2024-03-08
MAT0000383,PL01,,PL01,42.44,41.25,454.0,18727.5,2024-03-19
MAT0000384,PL03,,PL03,10.0,10.09,556.0,5610.04,2024-03-09
MAT0000385,PL02,,PL02,10.0,10.23,636.0,6506.28,2024-03-29
MAT0000386,PL02,,PL02,10.0,9.82,648.0,6363.36,2024-03-08
MAT0000387,PL02,,PL02,10.0,10.15,428.0,4344.2,2024-03-20
MAT0000388,PL01,,PL01,11.64,11.54,392.0,4523.68,2024-03-10
MAT0000389,PL03,,PL03,50.95,52.7,206.0,10856.2,2024-03-07
MAT0000390,PL02,,PL02,13.07,13.41,768.0,10298.88,2024-03-15
MAT0000391,PL02,,PL02,10.0,10.23,850.0,8695.5,2024-03-21
MAT0000392,PL02,,PL02,22.72,22.21,246.0,5463.66,2024-03-23
MAT0000393,PL02,,PL02,26.04,25.88,580.0,15010.4,2024-03-27
MAT0000394,PL02,,PL02,10.04,10.39,557.0,5787.23,2024-03-09
MAT0000395,PL01,,PL01,10.0,9.83,784.0,7706.72,2024-03-05
MAT0000396,PL03,,PL03,10.0,10.07,496.0,4994.72,2024-03-17
MAT0000397,PL03,,PL03,10.0,9.5,219.0,2080.5,2024-03-04
MAT0000398,PL03,,PL03,18.13,18.96,910.0,17253.6,2024-03-27
MAT0000399,PL03,,PL03,10.0,9.84,419.0,4122.96,2024-03-07
MAT0000400,PL03,,PL03,47.06,49.05,149.0,7308.45,2024-03-20
MAT0000401,PL02,,PL02,10.0,9.95,603.0,5999.85,2024-03-23
MAT0000402,PL03,,PL03,12.57,12.11,324.0,3923.64,2024-03-17
MAT0000403,PL02,,PL02,22.86,21.98,691.0,15188.18,2024-03-21
MAT0000404,PL03,,PL03,10.0,9.75,916.0,8931.0,2024-03-23
MAT0000405,PL02,,PL02,23.13,22.64,685.0,15508.4,2024-03-14
MAT0000406,PL02,,PL02,10.97,11.28,482.0,5436.96,2024-03-03
MAT0000407,PL01,,PL01,10.0,10.07,494.0,4974.58,2024-03-07
MAT0000408,PL01,,PL01,50.82,53.0,263.0,13939.0,2024-03-06
MAT0000409,PL01,,PL01,10.0,9.99,400.0,3996.0,2024-03-01
MAT0000410,PL03,,PL03,11.41,11.35,385.0,4369.75,2024-03-30
MAT0000411,PL02,,PL02,10.0,10.4,488.0,5075.2,2024-03-03
MAT0000412,PL02,,PL02,10.0,10.41,624.0,6495.84,2024-03-09
MAT0000413,PL01,,PL01,10.0,9.86,726.0,7158.36,2024-03-08
MAT0000414,PL03,,PL03,10.0,9.99,608.0,6073.92,2024-03-19
MAT0000415,PL03,,PL03,11.5,11.58,650.0,7527.0,2024-03-31
MAT0000416,PL02,,PL02,10.04,10.18,538.0,5476.84,2024-03-14
MAT0000417,PL03,,PL03,10.0,10.16,230.0,2336.8,2024-03-06
MAT0000418,PL03,,PL03,18.04,17.57,569.0,9997.33,2024-03-28
MAT0000419,PL01,,PL01,32.02,31.45,225.0,7076.25,2024-03-25
MAT0000420,PL01,,PL01,14.02,13.82,356.0,4919.92,2024-03-01
MAT0000421,PL03,,PL03,26.99,27.28,1004.0,27389.12,2024-03-02
MAT0000422,PL02,,PL02,10.41,10.67,377.0,4022.59,2024-03-10
MAT0000423,PL03,,PL03,25.24,24.89,321.0,7989.69,2024-03-01
MAT0000424,PL01,,PL01,27.41,26.22,747.0,19586.34,2024-03-10
MAT0000425,PL03,,PL03,18.44,18.56,522.0,9688.32,2024-03-18
MAT0000426,PL03,,PL03,10.0,10.43,220.0,2294.6,2024-03-16
MAT0000427,PL01,,PL01,10.0,9.56,26.0,248.56,2024-03-15
MAT0000428,PL02,,PL02,32.31,32.59,646.0,21053.14,2024-03-30
MAT0000429,PL01,,PL01,20.99,21.21,764.0,16204.44,2024-03-10
MAT0000430,PL02,,PL02,33.32,31.9,250.0,7975.0,2024-03-29
MAT0000431,PL03,,PL03,31.83,33.28,585.0,19468.8,2024-03-01
MAT0000432,PL01,,PL01,10.0,10.42,276.0,2875.92,2024-03-31
MAT0000433,PL02,,PL02,28.92,29.67,764.0,22667.88,2024-03-20
MAT0000434,PL01,,PL01,28.41,28.74,524.0,15059.76,2024-03-23
MAT0000435,PL02,,PL02,10.0,10.32,676.0,6976.32,2024-03-20
MAT0000436,PL01,,PL01,11.74,11.93,385.0,4593.05,2024-03-11
MAT0000437,PL01,,PL01,14.58,14.31,392.0,5609.52,2024-03-11
MAT0000438,PL03,,PL03,10.0,10.14,569.0,5769.66,2024-03-16
MAT0000439,PL02,,PL02,38.63,39.74,238.0,9458.12,2024-03-02
MAT0000440,PL02,,PL02,10.0,9.97,266.0,2652.02,2024-03-24
MAT0000441,PL03,,PL03,15.36,15.69,690.0,10826.1,2024-03-27
MAT0000442,PL02,,PL02,10.97,11.4,482.0,5494.8,2024-03-28
MAT0000443,PL01,,PL01,10.0,9.67,292.0,2823.64,2024-03-25
MAT0000444,PL02,,PL02,39.0,40.91,550.0,22500.5,2024-03-20
MAT0000445,PL03,,PL03,10.0,10.24,555.0,5683.2,2024-03-26
MAT0000446,PL02,,PL02,10.0,10.44,713.0,7443.72,2024-03-12
MAT0000447,PL01,,PL01,15.15,14.47,803.0,11619.41,2024-03-20
MAT0000448,PL01,,PL01,35.13,35.4,611.0,21629.4,2024-03-09
MAT0000449,PL02,,PL02,11.49,11.84,883.0,10454.72,2024-03-12
MAT0000450,PL03,,PL03,32.23,31.18,494.0,15402.92,2024-03-15
MAT0000451,PL02,,PL02,19.07,18.82,654.0,12308.28,2024-03-13
MAT0000452,PL01,,PL01,37.05,37.13,594.0,22055.22,2024-03-03
MAT0000453,PL01,,PL01,10.59,10.67,172.0,1835.24,2024-03-31
MAT0000454,PL01,,PL01,10.0,10.39,486.0,5049.54,2024-03-18
MAT0000455,PL01,,PL01,16.29,16.25,673.0,10936.25,2024-03-17
MAT0000456,PL01,,PL01,10.0,9.54,509.0,4855.86,2024-03-13
MAT0000457,PL03,,PL03,10.0,10.22,506.0,5171.32,2024-03-17
MAT0000458,PL02,,PL02,11.41,11.31,145.0,1639.95,2024-03-17
MAT0000459,PL03,,PL03,10.0,9.99,342.0,3416.58,2024-03-06
MAT0000460,PL02,,PL02,43.73,42.05,649.0,27290.45,2024-03-24
MAT0000461,PL01,,PL01,10.8,10.4,554.0,5761.6,2024-03-05
MAT0000462,PL01,,PL01,17.1,17.91,428.0,7665.48,2024-03-27
MAT0000463,PL03,,PL03,20.93,21.73,0.0,0.0,2024-03-05
MAT0000464,PL03,,PL03,17.03,17.35,620.0,10757.0,2024-03-13
MAT0000465,PL01,,PL01,25.89,24.81,303.0,7517.43,2024-03-05
MAT0000466,PL02,,PL02,11.14,11.66,63.0,734.58,2024-03-31
MAT0000467,PL02,,PL02,10.0,10.34,302.0,3122.68,2024-03-07
MAT0000468,PL02,,PL02,10.0,10.31,568.0,5856.08,2024-03-12
MAT0000469,PL03,,PL03,53.56,51.55,633.0,32631.15,2024-03-28
MAT0000470,PL03,,PL03,16.46,17.19,338.0,5810.22,2024-03-20
MAT0000471,PL02,,PL02,30.85,31.38,359.0,11265.42,2024-03-07
MAT0000472,PL02,,PL02,11.77,11.96,363.0,4341.48,2024-03-07
MAT0000473,PL02,,PL02,16.03,15.37,267.0,4103.79,2024-03-13
MAT0000474,PL01,,PL01,21.49,21.85,609.0,13306.65,2024-03-03
MAT0000475,PL01,,PL01,18.57,18.39,756.0,13902.84,2024-03-15
MAT0000476,PL01,,PL01,10.0,10.07,722.0,7270.54,2024-03-16
MAT0000477,PL01,,PL01,16.01,15.24,249.0,3794.76,2024-03-20
MAT0000478,PL03,,PL03,17.13,17.66,443.0,7823.38,2024-03-10
MAT0000479,PL02,,PL02,10.0,10.09,492.0,4964.28,2024-03-17
MAT0000480,PL03,,PL03,10.0,10.05,617.0,6200.85,2024-03-29
MAT0000481,PL02,,PL02,10.0,9.61,412.0,3959.32,2024-03-04
MAT0000482,PL03,,PL03,10.0,9.77,554.0,5412.58,2024-03-13
MAT0000483,PL01,,PL01,15.49,15.82,422.0,6676.04,2024-03-10
MAT0000484,PL01,,PL01,43.0,43.48,579.0,25174.92,2024-03-21
MAT0000485,PL02,,PL02,33.73,33.84,306.0,10355.04,2024-03-31
MAT0000486,PL03,,PL03,10.0,9.78,623.0,6092.94,2024-03-11
MAT0000487,PL02,,PL02,10.0,10.07,456.0,4591.92,2024-03-22
MAT0000488,PL01,,PL01,10.78,11.1,713.0,7914.3,2024-03-11
MAT0000489,PL01,,PL01,10.0,9.67,539.0,5212.13,2024-03-19
MAT0000490,PL03,,PL03,12.51,12.18,401.0,4884.18,2024-03-08
MAT0000491,PL01,,PL01,10.0,9.83,181.0,1779.23,2024-03-24
MAT0000492,PL02,,PL02,10.0,10.38,509.0,5283.42,2024-03-11
MAT0000493,PL01,,PL01,15.9,16.25,494.0,8027.5,2024-03-18
MAT0000494,PL02,,PL02,10.0,9.65,808.0,7797.2,2024-03-31
MAT0000495,PL01,,PL01,16.21,16.87,591.0,9970.17,2024-03-03
MAT0000496,PL01,,PL01,10.0,9.66,341.0,3294.06,2024-03-26
MAT0000497,PL02,,PL02,15.31,15.17,476.0,7220.92,2024-03-03
MAT0000498,PL02,,PL02,16.67,16.16,464.0,7498.24,2024-03-27
MAT0000499,PL03,,PL03,29.54,28.35,841.0,23842.35,2024-03-27
MAT0000500,PL03,,PL03,14.96,14.3,528.0,7550.4,2024-03-14
MAT0000501,PL02,,PL02,10.0,10.09,419.0,4227.71,2024-03-20
MAT0000502,PL01,,PL01,23.92,24.15,939.0,22676.85,2024-03-10
MAT0000503,PL02,,PL02,12.4,12.76,815.0,10399.4,2024-03-29
MAT0000504,PL02,,PL02,11.39,11.27,808.0,9106.16,2024-03-28
MAT0000505,PL01,,PL01,10.0,9.7,91.0,882.7,2024-03-20
MAT0000506,PL02,,PL02,26.94,27.12,483.0,13098.96,2024-03-14
MAT0000507,PL01,,PL01,16.71,17.4,542.0,9430.8,2024-03-06
MAT0000508,PL03,,PL03,11.6,11.15,596.0,6645.4,2024-03-03
MAT0000509,PL03,,PL03,13.78,13.32,158.0,2104.56,2024-03-24
MAT0000510,PL01,,PL01,160.12,166.36,456.0,75860.16,2024-03-17
MAT0000511,PL03,,PL03,11.84,11.52,566.0,6520.32,2024-03-15
MAT0000512,PL02,,PL02,13.63,14.09,744.0,10482.96,2024-03-04
MAT0000513,PL03,,PL03,10.0,10.46,452.0,4727.92,2024-03-20
MAT0000514,PL01,,PL01,10.0,9.62,684.0,6580.08,2024-03-10
MAT0000515,PL01,,PL01,28.6,28.3,330.0,9339.0,2024-03-17
MAT0000516,PL02,,PL02,10.0,10.14,306.0,3102.84,2024-03-28
MAT0000517,PL01,,PL01,10.0,9.98,863.0,8612.74,2024-03-15
MAT0000518,PL01,,PL01,10.89,10.79,516.0,5567.64,2024-03-22
MAT0000519,PL03,,PL03,24.47,24.4,605.0,14762.0,2024-03-27
MAT0000520,PL02,,PL02,10.0,9.78,439.0,4293.42,2024-03-12
MAT0000521,PL01,,PL01,10.0,10.24,435.0,4454.4,2024-03-06
MAT0000522,PL01,,PL01,19.57,19.76,263.0,5196.88,2024-03-31
MAT0000523,PL03,,PL03,10.72,11.22,538.0,6036.36,2024-03-20
MAT0000524,PL01,,PL01,24.42,23.43,494.0,11574.42,2024-03-28
MAT0000525,PL01,,PL01,10.0,10.35,474.0,4905.9,2024-03-28
MAT0000526,PL02,,PL02,27.58,27.64,628.0,17357.92,2024-03-28
MAT0000527,PL02,,PL02,10.99,10.72,438.0,4695.36,2024-03-10
MAT0000528,PL03,,PL03,30.9,31.26,643.0,20100.18,2024-03-31
MAT0000529,PL02,,PL02,14.29,13.88,635.0,8813.8,2024-03-08
MAT0000530,PL02,,PL02,10.0,9.93,614.0,6097.02,2024-03-29
MAT0000531,PL02,,PL02,25.88,25.1,279.0,7002.9,2024-03-31
MAT0000532,PL01,,PL01,37.69,38.46,574.0,22076.04,2024-03-25
MAT0000533,PL02,,PL02,36.38,34.99,447.0,15640.53,2024-03-05
MAT0000534,PL03,,PL03,10.0,9.9,638.0,6316.2,2024-03-31
MAT0000535,PL02,,PL02,13.57,14.14,427.0,6037.78,2024-03-05
MAT0000536,PL03,,PL03,10.0,10.48,145.0,1519.6,2024-03-20
MAT0000537,PL02,,PL02,19.31,19.52,359.0,7007.68,2024-03-16
MAT0000538,PL03,,PL03,10.0,10.44,408.0,4259.52,2024-03-10
MAT0000539,PL03,,PL03,10.0,10.27,538.0,5525.26,2024-03-11
MAT0000540,PL02,,PL02,10.0,10.03,76.0,762.28,2024-03-06
MAT0000541,PL02,,PL02,10.0,9.65,469.0,4525.85,2024-03-07
MAT0000542,PL03,,PL03,34.45,32.79,198.0,6492.42,2024-03-14
MAT0000543,PL03,,PL03,10.0,9.6,185.0,1776.0,2024-03-14
MAT0000544,PL01,,PL01,10.0,10.31,746.0,7691.26,2024-03-16
MAT0000545,PL03,,PL03,10.0,10.41,317.0,3299.97,2024-03-23
MAT0000546,PL02,,PL02,10.0,9.73,467.0,4543.91,2024-03-14
MAT0000547,PL03,,PL03,11.29,11.53,670.0,7725.1,2024-03-14
MAT0000548,PL03,,PL03,10.0,10.33,815.0,8418.95,2024-03-25
MAT0000549,PL01,,PL01,34.98,36.66,526.0,19283.16,2024-03-24
MAT0000550,PL01,,PL01,10.15,10.24,475.0,4864.0,2024-03-16
MAT0000551,PL03,,PL03,11.62,11.79,429.0,5057.91,2024-03-02
MAT0000552,PL03,,PL03,10.0,9.85,610.0,6008.5,2024-03-07
MAT0000553,PL02,,PL02,10.0,9.5,393.0,3733.5,2024-03-10
MAT0000554,PL02,,PL02,10.0,10.11,324.0,3275.64,2024-03-17
MAT0000555,PL02,,PL02,27.4,26.31,144.0,3788.64,2024-03-23
MAT0000556,PL03,,PL03,10.15,10.49,477.0,5003.73,2024-03-04
MAT0000557,PL02,,PL02,24.12,24.03,532.0,12783.96,2024-03-28
MAT0000558,PL01,,PL01,10.0,10.08,809.0,8154.72,2024-03-13
MAT0000559,PL03,,PL03,10.0,10.3,693.0,7137.9,2024-03-13
MAT0000560,PL03,,PL03,11.44,11.3,795.0,8983.5,2024-03-01
MAT0000561,PL03,,PL03,10.0,9.84,346.0,3404.64,2024-03-15
MAT0000562,PL02,,PL02,41.12,39.28,414.0,16261.92,2024-03-15
MAT0000563,PL03,,PL03,11.44,11.9,425.0,5057.5,2024-03-04
MAT0000564,PL01,,PL01,12.55,12.07,623.0,7519.61,2024-03-22
MAT0000565,PL01,,PL01,16.3,16.1,712.0,11463.2,2024-03-17
MAT0000566,PL02,,PL02,10.0,9.59,446.0,4277.14,2024-03-26
MAT0000567,PL01,,PL01,10.0,9.58,648.0,6207.84,2024-03-31
MAT0000568,PL03,,PL03,10.0,9.68,824.0,7976.32,2024-03-03
MAT0000569,PL03,,PL03,10.0,10.41,272.0,2831.52,2024-03-31
MAT0000570,PL03,,PL03,10.0,9.58,747.0,7156.26,2024-03-22
MAT0000571,PL03,,PL03,30.52,31.05,434.0,13475.7,2024-03-27
MAT0000572,PL01,,PL01,17.47,17.0,701.0,11917.0,2024-03-01
MAT0000573,PL02,,PL02,10.0,10.1,546.0,5514.6,2024-03-31
MAT0000574,PL02,,PL02,12.06,11.73,350.0,4105.5,2024-03-23
MAT0000575,PL01,,PL01,12.37,12.41,316.0,3921.56,2024-03-03
MAT0000576,PL02,,PL02,18.65,18.29,694.0,12693.26,2024-03-27
MAT0000577,PL03,,PL03,10.0,10.14,528.0,5353.92,2024-03-03
MAT0000578,PL01,,PL01,10.0,10.17,798.0,8115.66,2024-03-15
MAT0000579,PL03,,PL03,23.48,23.37,507.0,11848.59,2024-03-05
MAT0000580,PL02,,PL02,21.67,22.34,586.0,13091.24,2024-03-28
MAT0000581,PL01,,PL01,10.0,10.05,1082.0,10874.1,2024-03-09
MAT0000582,PL02,,PL02,19.81,19.93,384.0,7653.12,2024-03-12
MAT0000583,PL01,,PL01,17.55,17.04,356.0,6066.24,2024-03-23
MAT0000584,PL02,,PL02,15.95,16.7,448.0,7481.6,2024-03-18
MAT0000585,PL03,,PL03,18.21,18.31,477.0,8733.87,2024-03-23
MAT0000586,PL03,,PL03,69.15,67.3,479.0,32236.7,2024-03-30
MAT0000587,PL03,,PL03,10.0,10.32,432.0,4458.24,2024-03-06
MAT0000588,PL03,,PL03,37.81,35.96,644.0,23158.24,2024-03-19
MAT0000589,PL03,,PL03,10.0,10.34,698.0,7217.32,2024-03-06
MAT0000590,PL03,,PL03,10.0,10.42,407.0,4240.94,2024-03-12
MAT0000591,PL01,,PL01,10.0,10.39,398.0,4135.22,2024-03-01
MAT0000592,PL02,,PL02,23.85,24.58,529.0,13002.82,2024-03-04
MAT0000593,PL01,,PL01,16.63,16.57,400.0,6628.0,2024-03-31
MAT0000594,PL02,,PL02,10.0,10.42,326.0,3396.92,2024-03-24
MAT0000595,PL03,,PL03,10.0,10.48,892.0,9348.16,2024-03-26
MAT0000596,PL02,,PL02,10.81,10.35,315.0,3260.25,2024-03-07
MAT0000597,PL01,,PL01,10.12,10.3,755.0,7776.5,2024-03-28
MAT0000598,PL03,,PL03,20.47,21.32,346.0,7376.72,2024-03-23
MAT0000599,PL03,,PL03,11.8,11.32,290.0,3282.8,2024-03-11
MAT0000600,PL03,,PL03,31.24,31.45,866.0,27235.7,2024-03-07
MAT0000601,PL02,,PL02,10.05,10.17,984.0,10007.28,2024-03-19
MAT0000602,PL03,,PL03,10.0,10.4,329.0,3421.6,2024-03-17
MAT0000603,PL02,,PL02,37.98,38.77,96.0,3721.92,2024-03-26
MAT0000604,PL01,,PL01,10.51,10.95,214.0,2343.3,2024-03-30
MAT0000605,PL02,,PL02,10.0,9.76,573.0,5592.48,2024-03-23
MAT0000606,PL02,,PL02,31.04,31.19,448.0,13973.12,2024-03-22
MAT0000607,PL01,,PL01,10.0,9.7,791.0,7672.7,2024-03-11
MAT0000608,PL03,,PL03,14.66,15.08,425.0,6409.0,2024-03-07
MAT0000609,PL02,,PL02,10.0,9.56,429.0,4101.24,2024-03-17
MAT0000610,PL01,,PL01,10.0,10.46,172.0,1799.12,2024-03-03
MAT0000611,PL03,,PL03,10.24,10.0,576.0,5760.0,2024-03-31
MAT0000612,PL03,,PL03,13.75,13.18,702.0,9252.36,2024-03-12
MAT0000613,PL01,,PL01,10.0,9.79,672.0,6578.88,2024-03-09
MAT0000614,PL03,,PL03,10.0,9.92,578.0,5733.76,2024-03-12
MAT0000615,PL03,,PL03,12.41,12.94,669.0,8656.86,2024-03-29
MAT0000616,PL02,,PL02,119.97,123.27,584.0,71989.68,2024-03-25
MAT0000617,PL02,,PL02,10.0,10.1,603.0,6090.3,2024-03-10
MAT0000618,PL01,,PL01,10.0,9.59,499.0,4785.41,2024-03-02
MAT0000619,PL01,,PL01,31.74,33.15,571.0,18928.65,2024-03-15
MAT0000620,PL02,,PL02,16.3,15.9,351.0,5580.9,2024-03-18
MAT0000621,PL02,,PL02,24.51,24.21,506.0,12250.26,2024-03-16
MAT0000622,PL03,,PL03,11.82,11.93,471.0,5619.03,2024-03-09
MAT0000623,PL03,,PL03,37.05,36.15,530.0,19159.5,2024-03-14
MAT0000624,PL02,,PL02,27.66,27.85,375.0,10443.75,2024-03-28
MAT0000625,PL01,,PL01,18.57,18.17,399.0,7249.83,2024-03-04
MAT0000626,PL01,,PL01,20.88,20.87,314.0,6553.18,2024-03-10
MAT0000627,PL03,,PL03,10.0,10.43,570.0,5945.1,2024-03-16
MAT0000628,PL01,,PL01,10.0,10.35,515.0,5330.25,2024-03-24
MAT0000629,PL01,,PL01,22.5,22.2,547.0,12143.4,2024-03-16
MAT0000630,PL03,,PL03,15.07,14.84,585.0,8681.4,2024-03-16
MAT0000631,PL02,,PL02,15.34,15.71,642.0,10085.82,2024-03-15
MAT0000632,PL01,,PL01,13.23,13.5,290.0,3915.0,2024-03-06
MAT0000633,PL01,,PL01,21.8,21.99,242.0,5321.58,2024-03-10
MAT0000634,PL03,,PL03,16.48,16.34,466.0,7614.44,2024-03-23
MAT0000635,PL02,,PL02,21.49,21.44,219.0,4695.36,2024-03-12
MAT0000636,PL02,,PL02,13.85,13.81,662.0,9142.22,2024-03-19
MAT0000637,PL01,,PL01,20.89,21.79,543.0,11831.97,2024-03-24
MAT0000638,PL02,,PL02,10.0,9.99,323.0,3226.77,2024-03-11
MAT0000639,PL03,,PL03,16.92,16.61,526.0,8736.86,2024-03-06
MAT0000640,PL02,,PL02,18.42,18.12,613.0,11107.56,2024-03-19
MAT0000641,PL03,,PL03,28.2,29.22,507.0,14814.54,2024-03-19
MAT0000642,PL01,,PL01,26.89,26.08,494.0,12883.52,2024-03-19
MAT0000643,PL01,,PL01,17.55,17.47,669.0,11687.43,2024-03-31
MAT0000644,PL01,,PL01,19.04,19.14,934.0,17876.76,2024-03-20
MAT0000645,PL01,,PL01,47.06,47.17,421.0,19858.57,2024-03-01
MAT0000646,PL01,,PL01,10.0,9.84,390.0,3837.6,2024-03-14
MAT0000647,PL03,,PL03,26.48,27.23,460.0,12525.8,2024-03-08
MAT0000648,PL01,,PL01,10.0,9.62,232.0,2231.84,2024-03-14
MAT0000649,PL03,,PL03,20.8,20.92,511.0,10690.12,2024-03-28
MAT0000650,PL02,,PL02,10.0,10.22,857.0,8758.54,2024-03-15
MAT0000651,PL03,,PL03,12.71,12.28,352.0,4322.56,2024-03-11
MAT0000652,PL03,,PL03,20.23,20.14,737.0,14843.18,2024-03-09
MAT0000653,PL02,,PL02,10.0,9.86,250.0,2465.0,2024-03-15
MAT0000654,PL03,,PL03,10.0,9.52,134.0,1275.68,2024-03-31
MAT0000655,PL01,,PL01,11.72,11.44,385.0,4404.4,2024-03-08
MAT0000656,PL01,,PL01,25.47,25.13,333.0,8368.29,2024-03-06
MAT0000657,PL03,,PL03,10.0,9.63,161.0,1550.43,2024-03-16
MAT0000658,PL02,,PL02,24.32,23.71,786.0,18636.06,2024-03-13
MAT0000659,PL01,,PL01,10.0,9.92,730.0,7241.6,2024-03-08
MAT0000660,PL03,,PL03,42.83,40.9,504.0,20613.6,2024-03-02
MAT0000661,PL03,,PL03,25.3,25.62,660.0,16909.2,2024-03-26
MAT0000662,PL02,,PL02,10.0,10.48,570.0,5973.6,2024-03-23
MAT0000663,PL01,,PL01,10.0,10.39,555.0,5766.45,2024-03-28
MAT0000664,PL01,,PL01,11.69,12.2,712.0,8686.4,2024-03-26
MAT0000665,PL03,,PL03,10.0,10.48,678.0,7105.44,2024-03-16
MAT0000666,PL01,,PL01,22.35,23.1,522.0,12058.2,2024-03-02
MAT0000667,PL02,,PL02,10.0,10.16,330.0,3352.8,2024-03-03
MAT0000668,PL02,,PL02,10.88,10.83,904.0,9790.32,2024-03-28
MAT0000669,PL01,,PL01,10.0,9.54,900.0,8586.0,2024-03-20
MAT0000670,PL01,,PL01,15.11,15.56,293.0,4559.08,2024-03-06
MAT0000671,PL02,,PL02,10.0,9.92,341.0,3382.72,2024-03-04
MAT0000672,PL01,,PL01,10.0,10.06,383.0,3852.98,2024-03-12
MAT0000673,PL01,,PL01,11.14,11.01,626.0,6892.26,2024-03-24
MAT0000674,PL02,,PL02,15.69,15.14,201.0,3043.14,2024-03-21
MAT0000675,PL02,,PL02,61.13,58.9,499.0,29391.1,2024-03-04
MAT0000676,PL02,,PL02,15.04,15.78,0.0,0.0,2024-03-11
MAT0000677,PL03,,PL03,37.58,38.39,632.0,24262.48,2024-03-08
MAT0000678,PL02,,PL02,51.3,50.47,618.0,31190.46,2024-03-29
MAT0000679,PL03,,PL03,13.39,12.74,789.0,10051.86,2024-03-28
MAT0000680,PL02,,PL02,14.67,15.14,423.0,6404.22,2024-03-10
MAT0000681,PL02,,PL02,10.0,10.14,402.0,4076.28,2024-03-28
MAT0000682,PL01,,PL01,10.0,10.22,544.0,5559.68,2024-03-13
MAT0000683,PL03,,PL03,21.48,21.79,510.0,11112.9,2024-03-03
MAT0000684,PL01,,PL01,13.23,12.98,681.0,8839.38,2024-03-05
MAT0000685,PL03,,PL03,10.43,10.11,440.0,4448.4,2024-03-29
MAT0000686,PL03,,PL03,10.39,10.24,461.0,4720.64,2024-03-07
MAT0000687,PL03,,PL03,17.21,17.57,704.0,12369.28,2024-03-03
MAT0000688,PL01,,PL01,12.75,12.37,209.0,2585.33,2024-03-13
MAT0000689,PL01,,PL01,10.0,10.13,427.0,4325.51,2024-03-17
MAT0000690,PL01,,PL01,10.0,9.59,581.0,5571.79,2024-03-10
MAT0000691,PL03,,PL03,10.0,9.94,694.0,6898.36,2024-03-25
MAT0000692,PL01,,PL01,34.3,33.96,960.0,32601.6,2024-03-12
MAT0000693,PL02,,PL02,11.6,11.18,586.0,6551.48,2024-03-29
MAT0000694,PL03,,PL03,10.0,9.74,732.0,7129.68,2024-03-07
MAT0000695,PL01,,PL01,27.08,25.76,721.0,18572.96,2024-03-06
