asset_number,sub_number,company_code,asset_class,asset_description,capitalization_date,deactivation_date
A00748,0,CO03,COMPUTER,Pay mind large wind.,20-04-2021,
A00749,0,CO03,VEHICLE,Share least trade director often.,12-07-2021,
A00750,0,CO01,VEHICLE,Might any music city.,12-06-2024,
A00751,0,CO01,MACHINERY,Stage car either skin.,31-08-2023,
A00752,0,CO03,COMPUTER,Yard western color expect game.,16-05-2022,
A00753,0,CO02,MACHINERY,After quality sometimes.,01-07-2024,
A00754,0,CO03,COMPUTER,Stage between seven.,06-04-2023,
A00755,0,CO02,COMPUTER,Condition create best happy wear.,11-04-2023,
A00756,0,CO03,MACHINERY,Civil well argue kid.,18-12-2022,
A00757,0,CO03,COMPUTER,Tend vote.,18-11-2022,
A00758,0,CO01,VEHICLE,Feel official.,25-11-2022,
A00759,0,CO01,VEHICLE,We from door amount true.,25-09-2024,
A00760,0,CO01,MACHINERY,Whatever street.,10-09-2024,
A00761,0,CO02,BUILDING,Model start.,27-07-2024,
A00762,0,CO01,FURNITURE,Base hour court require on.,23-05-2021,
A00763,0,CO01,MACHINERY,Outside include light note get.,26-04-2023,
A00764,0,CO02,MACHINERY,Skill end.,16-01-2024,
A00765,0,CO02,VEHICLE,Make reveal.,01-07-2022,
A00766,0,CO03,FURNITURE,Special create.,19-11-2023,
A00767,0,CO03,FURNITURE,Long those war.,19-12-2022,
A00768,0,CO02,BUILDING,Wear base stuff party.,10-07-2021,
A00769,0,CO02,MACHINERY,Here executive expect.,27-03-2024,
A00770,0,CO01,MACHINERY,Reveal allow course this under.,27-07-2022,
A00771,0,CO02,VEHICLE,Skin camera cover.,26-12-2021,
A00772,0,CO01,VEHICLE,Eight successful bar.,24-07-2023,
A00773,0,CO03,COMPUTER,Executive safe major.,18-03-2022,
A00774,0,CO01,COMPUTER,Relationship mission middle apply.,01-01-2024,
A00775,0,CO03,COMPUTER,Think either.,25-01-2022,
A00776,0,CO02,BUILDING,Wear thousand study which weight.,12-06-2021,
A00777,0,CO03,FURNITURE,Six dinner deep more.,02-12-2021,
A00778,0,CO02,VEHICLE,Thought view else.,03-09-2023,
A00779,0,CO01,COMPUTER,Bit science board how.,05-07-2024,
A00780,0,CO02,COMPUTER,Bit clearly.,03-02-2025,
A00781,0,CO01,BUILDING,Themselves down high cultural.,07-05-2021,
A00782,0,CO03,MACHINERY,Live us success.,18-02-2024,
A00783,0,CO01,FURNITURE,Imagine glass media.,28-07-2024,
A00784,0,CO01,FURNITURE,Community well eye.,03-10-2021,
A00785,0,CO01,FURNITURE,Gun sell.,30-04-2024,
A00786,0,CO03,COMPUTER,Catch across author middle.,18-10-2022,
A00787,0,CO03,FURNITURE,Study option anyone industry.,07-01-2023,
A00788,0,CO02,COMPUTER,Own almost affect.,10-10-2023,
A00789,0,CO01,COMPUTER,Next just.,14-05-2021,
A00790,0,CO01,MACHINERY,Situation career investment.,18-01-2025,
A00791,0,CO03,BUILDING,Stage section table son.,18-04-2022,
A00792,0,CO03,FURNITURE,Same garden behavior figure.,09-09-2021,
A00793,0,CO02,COMPUTER,Quickly very.,05-05-2022,
A00794,0,CO02,COMPUTER,Reflect room candidate.,26-10-2021,
A00795,0,CO01,MACHINERY,Talk painting imagine line.,21-11-2023,
A00796,0,CO03,VEHICLE,Forward question.,15-02-2024,
A00797,0,CO02,COMPUTER,Section might believe type buy.,20-01-2025,
A00798,0,CO03,BUILDING,More yes western.,09-04-2024,
A00799,0,CO01,VEHICLE,Far loss.,02-05-2022,
A00800,0,CO01,VEHICLE,Drop Democrat environmental.,16-08-2024,
A00801,0,CO03,MACHINERY,Speech employee class eat.,15-03-2023,
A00802,0,CO03,BUILDING,Yourself difference lead as believe.,21-11-2022,
A00803,0,CO03,MACHINERY,Official again during.,23-08-2024,
A00804,0,CO01,BUILDING,Fall popular work exist.,18-01-2022,
A00805,0,CO02,FURNITURE,Off live.,01-01-2024,
A00806,0,CO03,FURNITURE,Standard medical join.,09-09-2023,
A00807,0,CO02,COMPUTER,Their white reflect defense.,05-11-2024,
A00808,0,CO03,MACHINERY,Statement think.,08-02-2024,
A00809,0,CO02,VEHICLE,Move nothing the.,16-08-2022,
A00810,0,CO01,BUILDING,Tax budget goal.,06-03-2023,
A00811,0,CO01,COMPUTER,Just source few war.,08-06-2022,
A00812,0,CO03,MACHINERY,Blood night member.,24-12-2023,
A00813,0,CO03,COMPUTER,Employee value go election.,18-11-2023,
A00814,0,CO02,BUILDING,Report find look central.,05-11-2022,
A00815,0,CO03,FURNITURE,Fear treat carry.,23-04-2023,
A00816,0,CO03,BUILDING,Ball increase hospital.,22-01-2024,
A00817,0,CO01,VEHICLE,Increase describe.,10-06-2022,
A00818,0,CO02,FURNITURE,No meet experience.,20-11-2024,
A00819,0,CO03,MACHINERY,Next act try affect.,06-09-2022,
A00820,0,CO02,FURNITURE,Large single sell maybe.,31-12-2024,
A00821,0,CO02,BUILDING,Stay cell.,23-09-2022,
A00822,0,CO01,VEHICLE,Enough mean guy program deal.,10-01-2023,
A00823,0,CO02,FURNITURE,Move direction citizen man.,08-01-2022,
A00824,0,CO03,COMPUTER,Impact produce until treat.,11-05-2022,
A00825,0,CO01,COMPUTER,Exist difference.,01-06-2021,
A00826,0,CO03,MACHINERY,Recent throughout spring.,13-01-2025,
A00827,0,CO02,MACHINERY,People bad business movement term.,06-08-2021,
A00828,0,CO02,COMPUTER,Player majority truth.,12-10-2021,
A00829,0,CO01,FURNITURE,Approach those job record.,17-08-2023,
A00830,0,CO01,FURNITURE,Reason resource within society include.,30-09-2022,
A00831,0,CO01,BUILDING,Letter final threat physical see.,11-09-2024,
A00832,0,CO01,VEHICLE,Seek campaign.,08-06-2021,
A00833,0,CO03,COMPUTER,Term claim place majority.,03-10-2024,
A00834,0,CO03,COMPUTER,Ok son soon trip.,20-08-2023,
A00835,0,CO01,BUILDING,Police relate recent concern.,23-04-2024,
A00836,0,CO01,FURNITURE,Story rise act difficult wrong.,03-12-2022,
A00837,0,CO01,VEHICLE,Who mother.,27-12-2023,
A00838,0,CO02,COMPUTER,Local them too professional.,18-03-2023,
A00839,0,CO01,BUILDING,Discuss us through.,14-03-2023,
A00840,0,CO01,COMPUTER,Lead put have.,05-06-2022,
A00841,0,CO01,COMPUTER,Work close special.,02-12-2022,
A00842,0,CO01,FURNITURE,Control both challenge.,12-07-2024,
A00843,0,CO02,MACHINERY,Knowledge reveal style.,14-07-2023,
A00844,0,CO01,COMPUTER,Scene use everyone always despite.,04-03-2022,
A00845,0,CO02,FURNITURE,Big than nor town.,06-12-2023,
A00846,0,CO02,BUILDING,Party admit data dream.,27-03-2023,
A00847,0,CO03,FURNITURE,Product success.,05-04-2023,
A00848,0,CO02,BUILDING,Create year.,14-05-2024,
A00849,0,CO02,FURNITURE,Person town garden college.,18-08-2021,
A00850,0,CO02,COMPUTER,Head list change.,22-01-2022,
A00851,0,CO03,FURNITURE,Class seem.,19-01-2024,
A00852,0,CO01,FURNITURE,Sort prove attack.,30-10-2023,
A00853,0,CO01,FURNITURE,Paper very bag realize.,11-05-2023,
A00854,0,CO03,BUILDING,Green paper pretty.,01-03-2023,
A00855,0,CO01,COMPUTER,Finish expert wind.,11-02-2022,
A00856,0,CO01,BUILDING,Despite international.,13-03-2022,
A00857,0,CO01,MACHINERY,Side area form.,31-01-2025,
A00858,0,CO03,COMPUTER,Those administration process truth.,24-04-2022,
A00859,0,CO03,COMPUTER,Particularly full there heavy.,19-11-2023,
A00860,0,CO03,COMPUTER,Economy similar easy perform quality.,19-11-2021,
A00861,0,CO01,MACHINERY,Month once least.,31-07-2021,
A00862,0,CO03,COMPUTER,Response will until tree.,09-01-2025,
A00863,0,CO02,COMPUTER,Common partner.,28-12-2024,
A00864,0,CO01,VEHICLE,Decision might.,21-01-2025,
A00865,0,CO03,COMPUTER,Box shoulder bring yeah.,09-02-2022,
A00866,0,CO02,VEHICLE,Season new study.,21-11-2024,
A00867,0,CO01,BUILDING,Bed environmental.,09-09-2021,
A00868,0,CO02,BUILDING,In add huge.,03-07-2022,
A00869,0,CO03,FURNITURE,Toward spring among stage.,16-07-2024,
A00870,0,CO03,COMPUTER,Collection heart agency.,12-10-2023,
A00871,0,CO01,VEHICLE,On shoulder dark whose religious.,07-05-2023,
A00872,0,CO02,MACHINERY,Offer since.,08-07-2021,
A00873,0,CO01,VEHICLE,Against friend tonight.,08-03-2022,
A00874,0,CO01,COMPUTER,Home her detail.,28-08-2021,
A00875,0,CO01,BUILDING,Know party fly.,14-11-2022,
A00876,0,CO01,COMPUTER,Event change treat study.,04-12-2024,
A00877,0,CO03,VEHICLE,During nor wife physical heavy.,29-07-2024,
A00878,0,CO02,BUILDING,Billion believe there race.,29-12-2024,
A00879,0,CO02,MACHINERY,Always yard conference travel.,30-03-2022,
A00880,0,CO03,MACHINERY,Strategy not rich answer.,10-10-2022,
A00881,0,CO01,BUILDING,Nearly wife charge.,02-07-2021,
A00882,0,CO02,COMPUTER,Phone offer carry.,10-02-2025,
A00883,0,CO03,FURNITURE,Think stay.,22-05-2022,
A00884,0,CO03,BUILDING,Style as far.,02-07-2021,
A00885,0,CO01,VEHICLE,Clear trade enter door yes.,07-09-2024,
A00886,0,CO01,COMPUTER,Audience decade.,25-03-2023,
A00887,0,CO01,FURNITURE,Heavy relate yes article.,09-06-2021,
A00888,0,CO03,COMPUTER,Me positive reduce few.,28-01-2022,
A00889,0,CO01,FURNITURE,Oil your trial one.,04-02-2025,
A00890,0,CO02,COMPUTER,Miss business month religious.,26-07-2024,
A00891,0,CO02,VEHICLE,Available will standard enough beat.,07-06-2023,
A00892,0,CO01,VEHICLE,Begin huge follow worker.,26-07-2024,
A00893,0,CO02,BUILDING,Medical once.,27-03-2024,
A00894,0,CO03,COMPUTER,Check office.,16-08-2022,
A00895,0,CO01,BUILDING,Provide among work black.,28-06-2021,
A00896,0,CO01,MACHINERY,Mind hot bad provide series.,17-03-2023,
A00897,0,CO03,FURNITURE,American for house guy.,01-09-2023,
A00898,0,CO01,FURNITURE,Hair stand that yet.,26-07-2021,
A00899,0,CO01,VEHICLE,Why together party expert above.,06-11-2022,
A00900,0,CO02,BUILDING,Finish above collection point.,18-01-2023,
A00901,0,CO03,BUILDING,Even health enter.,29-05-2024,
A00902,0,CO01,BUILDING,Woman knowledge tax.,04-09-2021,
A00903,0,CO02,FURNITURE,Class nor may.,06-08-2022,
A00904,0,CO03,VEHICLE,Arrive professional team quickly.,14-10-2021,
A00905,0,CO03,BUILDING,Some area eye peace.,26-06-2022,
A00906,0,CO03,BUILDING,Factor blood happy effect law.,11-02-2025,
A00907,0,CO03,BUILDING,Through tax health bit true.,06-12-2022,
A00908,0,CO03,FURNITURE,Make that federal have.,19-10-2023,
A00909,0,CO02,COMPUTER,Military follow believe.,14-05-2024,
A00910,0,CO01,COMPUTER,Always charge west wind.,27-10-2023,
A00911,0,CO02,MACHINERY,Scene section mind kind.,22-01-2024,
A00912,0,CO03,COMPUTER,Fill TV a strategy.,13-02-2024,
A00913,0,CO02,BUILDING,Know alone strong health station.,23-10-2023,
A00914,0,CO01,COMPUTER,Discover husband area.,09-01-2024,
A00915,0,CO01,BUILDING,College after clear arm meet.,24-05-2024,
A00916,0,CO02,VEHICLE,Building front between.,20-10-2024,
A00917,0,CO02,MACHINERY,Wear arrive crime team off.,31-03-2024,
A00918,0,CO02,MACHINERY,Seat reveal loss.,04-01-2025,
A00919,0,CO03,COMPUTER,Hospital church.,27-02-2025,
A00920,0,CO01,MACHINERY,Others speak rich Congress.,09-02-2025,
A00921,0,CO02,BUILDING,Process prove break.,06-09-2022,
A00922,0,CO03,VEHICLE,City actually spring dinner.,25-03-2022,
A00923,0,CO01,COMPUTER,Million simple find your ready.,09-11-2022,
A00924,0,CO01,MACHINERY,Since together.,05-09-2021,
A00925,0,CO01,BUILDING,We from.,18-02-2024,
A00926,0,CO02,COMPUTER,Wall voice.,30-09-2023,
A00927,0,CO02,FURNITURE,Media agency return not who.,17-03-2022,
A00928,0,CO03,FURNITURE,Society size price.,07-05-2021,
A00929,0,CO02,BUILDING,Pull decision.,12-07-2023,
A00930,0,CO01,FURNITURE,Various speak crime much over.,21-09-2022,
A00931,0,CO02,BUILDING,Pm manager view.,26-07-2021,
A00932,0,CO03,VEHICLE,Family them.,26-05-2023,
A00933,0,CO02,BUILDING,Ahead oil.,26-05-2023,
A00934,0,CO02,VEHICLE,Authority water approach list.,10-12-2024,
A00935,0,CO02,COMPUTER,History drug attention.,16-05-2023,
A00936,0,CO01,MACHINERY,West worry.,03-04-2024,
A00937,0,CO01,COMPUTER,Yes involve return fast sort.,25-02-2023,
A00938,0,CO02,COMPUTER,Worker buy section magazine.,12-02-2023,
A00939,0,CO02,FURNITURE,Able mind generation.,20-10-2023,
A00940,0,CO01,VEHICLE,Speech reduce.,25-06-2022,
A00941,0,CO03,BUILDING,Court model.,29-11-2021,
A00942,0,CO03,VEHICLE,Compare against woman assume.,09-02-2022,
A00943,0,CO03,BUILDING,Win toward significant population Republican.,24-10-2021,
A00944,0,CO01,BUILDING,Customer free.,17-12-2023,
A00945,0,CO02,VEHICLE,Peace successful place.,18-03-2022,
A00946,0,CO02,FURNITURE,His personal spring.,10-04-2022,
A00947,0,CO03,COMPUTER,Ability member miss.,27-08-2022,
A00948,0,CO03,FURNITURE,Leader statement fine.,22-10-2023,
A00949,0,CO02,VEHICLE,Car teacher.,05-01-2022,
A00950,0,CO01,FURNITURE,Sea morning state.,07-04-2024,
A00951,0,CO02,VEHICLE,Pick series.,02-08-2024,
A00952,0,CO03,COMPUTER,Democratic fight opportunity fill paper.,07-04-2022,
A00953,0,CO02,FURNITURE,Apply smile.,25-10-2023,
A00954,0,CO03,BUILDING,Three turn among show strategy.,07-06-2022,
A00955,0,CO03,BUILDING,Grow site home walk.,02-04-2022,
A00956,0,CO02,BUILDING,Chair story discover reality.,07-07-2024,
A00957,0,CO03,VEHICLE,Size city push right.,10-08-2023,
A00958,0,CO03,MACHINERY,Total owner.,28-01-2024,
A00959,0,CO01,BUILDING,Goal cold.,15-04-2023,
A00960,0,CO01,COMPUTER,Bring protect.,12-04-2023,
A00961,0,CO03,VEHICLE,Ball many purpose.,03-05-2022,
A00962,0,CO02,COMPUTER,Better baby management field.,20-12-2021,
A00963,0,CO03,FURNITURE,Everything color somebody never.,30-07-2021,
A00964,0,CO01,COMPUTER,Down loss need drop.,13-09-2021,
A00965,0,CO01,FURNITURE,Camera only single nor.,29-04-2024,
A00966,0,CO02,MACHINERY,Think reduce.,19-03-2023,
A00967,0,CO03,FURNITURE,Term watch.,19-02-2025,
A00968,0,CO03,MACHINERY,Write surface thought.,03-04-2024,
A00969,0,CO01,MACHINERY,Laugh my hundred officer.,24-11-2021,
A00970,0,CO02,COMPUTER,Suggest after this song three.,10-03-2023,
A00971,0,CO03,COMPUTER,Radio ago security feeling.,14-05-2024,
A00972,0,CO02,FURNITURE,Create history hope.,13-12-2021,
A00973,0,CO02,FURNITURE,Cold to.,07-12-2022,
A00974,0,CO01,COMPUTER,Set break remain.,11-04-2021,
A00975,0,CO03,BUILDING,News any put difference.,27-10-2021,
A00976,0,CO01,MACHINERY,Again eight worry view.,12-05-2022,
A00977,0,CO02,MACHINERY,Career thus onto yourself.,13-10-2024,
A00978,0,CO03,FURNITURE,Ten positive century scene teacher.,26-01-2023,
A00979,0,CO03,BUILDING,Beat standard field.,13-01-2022,
A00980,0,CO01,COMPUTER,Finally commercial.,30-01-2025,
A00981,0,CO03,VEHICLE,During entire.,02-10-2022,
A00982,0,CO01,MACHINERY,Near generation again.,12-09-2024,
A00983,0,CO03,COMPUTER,Include lay middle.,28-09-2022,
A00984,0,CO03,FURNITURE,Travel artist more sit we.,20-12-2022,
A00985,0,CO02,COMPUTER,Election actually enter question.,06-01-2024,
A00986,0,CO01,MACHINERY,Those energy anything not.,13-02-2025,
A00987,0,CO03,COMPUTER,Easy single always.,27-07-2023,
A00988,0,CO01,FURNITURE,Town record young.,24-05-2021,
A00989,0,CO02,FURNITURE,Chance help too yard.,21-07-2024,
A00990,0,CO03,BUILDING,Conference point lead yard.,21-07-2023,
A00991,0,CO02,FURNITURE,Next certain.,16-07-2022,
A00992,0,CO03,FURNITURE,Pick pattern little pull.,04-02-2024,
A00993,0,CO03,VEHICLE,Let program later.,14-07-2024,
A00994,0,CO02,BUILDING,Throw nation.,10-09-2021,
A00995,0,CO03,VEHICLE,Sing watch seven same.,26-07-2021,
A00996,0,CO01,VEHICLE,Staff reflect water beautiful hair.,23-10-2024,
A00997,0,CO02,BUILDING,Writer bank sound college past.,29-06-2021,
A00998,0,CO03,FURNITURE,Doctor provide go.,16-10-2024,
A00999,0,CO02,BUILDING,Training ago.,02-10-2024,
A01000,0,CO03,FURNITURE,Network system life fly.,05-05-2024,
A01001,0,CO03,BUILDING,Five better artist after.,13-01-2022,
A01002,0,CO01,COMPUTER,Big investment others cover feeling.,11-05-2024,
A01003,0,CO01,MACHINERY,Material big nature.,20-02-2023,
A01004,0,CO02,MACHINERY,Situation training film.,27-12-2022,
A01005,0,CO01,FURNITURE,Skin plan box fish.,15-10-2022,
A01006,0,CO03,BUILDING,Work sign she former.,14-09-2022,
A01007,0,CO01,VEHICLE,Meet music series everybody experience.,15-09-2021,
A01008,0,CO03,BUILDING,Show lead near beautiful a.,19-04-2024,
A01009,0,CO01,BUILDING,Investment party trouble.,10-06-2023,
A01010,0,CO03,COMPUTER,Save eat.,16-04-2024,
A01011,0,CO03,VEHICLE,Exactly maintain benefit writer.,02-11-2022,
A01012,0,CO03,MACHINERY,Cause simply charge individual.,12-10-2021,
A01013,0,CO02,MACHINERY,Office trial contain.,10-05-2021,
A01014,0,CO01,FURNITURE,Market writer accept against.,24-07-2024,
A01015,0,CO03,FURNITURE,Modern fast knowledge.,15-03-2024,
A01016,0,CO02,VEHICLE,Three executive.,30-07-2024,
A01017,0,CO02,COMPUTER,Describe add debate technology.,13-02-2025,
A01018,0,CO01,VEHICLE,Economy if future big.,22-05-2024,
A01019,0,CO02,VEHICLE,Box allow business.,17-05-2024,
A01020,0,CO03,FURNITURE,Wall human down.,12-08-2022,
A01021,0,CO03,BUILDING,Future story similar.,20-04-2022,
A01022,0,CO01,MACHINERY,Nothing son whom yard.,30-03-2023,
A01023,0,CO01,FURNITURE,Trip whom push.,09-04-2024,
A01024,0,CO02,COMPUTER,Field woman whether theory.,25-12-2024,
A01025,0,CO01,VEHICLE,Class finish commercial.,18-02-2025,
A01026,0,CO01,VEHICLE,Record especially music region begin.,17-07-2022,
A01027,0,CO03,COMPUTER,Both according write surface.,22-07-2021,
A01028,0,CO03,MACHINERY,Subject news old.,04-10-2024,
A01029,0,CO03,FURNITURE,Standard early.,30-11-2024,
A01030,0,CO03,VEHICLE,Either dream.,05-09-2021,
A01031,0,CO03,VEHICLE,Begin ground already little.,27-12-2023,
A01032,0,CO01,VEHICLE,Order ask produce person.,20-05-2023,
A01033,0,CO01,MACHINERY,Game election according and man.,01-12-2021,
A01034,0,CO03,VEHICLE,Company why exist loss again.,11-08-2021,
A01035,0,CO02,VEHICLE,War place court.,25-01-2022,
A01036,0,CO02,FURNITURE,Production second quite team.,27-08-2023,
A01037,0,CO02,COMPUTER,Home news trouble.,14-01-2022,
A01038,0,CO02,FURNITURE,Side thousand discuss structure majority.,12-05-2024,
A01039,0,CO02,COMPUTER,Value pressure after detail.,27-09-2024,
A01040,0,CO03,COMPUTER,Leader head than.,04-02-2025,
A01041,0,CO02,VEHICLE,Language type.,25-05-2024,
A01042,0,CO02,BUILDING,Involve ask million.,26-10-2022,
A01043,0,CO02,MACHINERY,Late issue significant soon.,14-01-2022,
A01044,0,CO01,MACHINERY,Factor might mean accept condition.,17-11-2023,
A01045,0,CO02,COMPUTER,View agree five.,02-01-2024,
A01046,0,CO03,VEHICLE,Rock indicate shake.,02-02-2022,
A01047,0,CO03,COMPUTER,Project firm none crime.,29-03-2023,
A01048,0,CO01,MACHINERY,Apply sense everybody.,21-02-2025,
A01049,0,CO02,COMPUTER,Cold door.,12-07-2024,
A01050,0,CO01,BUILDING,Mission sound see husband.,28-05-2024,
A01051,0,CO02,FURNITURE,Shoulder she.,08-08-2023,
A01052,0,CO01,MACHINERY,Sit all material.,25-05-2021,
A01053,0,CO03,FURNITURE,Teacher and life.,25-04-2024,
A01054,0,CO01,FURNITURE,Quite despite short notice.,23-01-2024,
A01055,0,CO03,MACHINERY,Reveal site matter agreement.,23-05-2024,
A01056,0,CO01,MACHINERY,Him decade lay.,17-06-2021,
A01057,0,CO03,VEHICLE,Sense development player factor.,20-11-2024,
A01058,0,CO01,COMPUTER,Dinner glass single.,18-10-2023,
A01059,0,CO01,COMPUTER,Kitchen reality.,11-08-2021,
A01060,0,CO01,BUILDING,Car economic challenge mouth.,01-09-2023,
A01061,0,CO01,BUILDING,Bed into before throughout.,06-06-2024,
A01062,0,CO01,VEHICLE,Seat PM far.,04-01-2025,
A01063,0,CO02,FURNITURE,Best total development.,15-02-2024,
A01064,0,CO03,COMPUTER,Never campaign clearly information strategy.,17-08-2024,
A01065,0,CO02,COMPUTER,Green I able.,03-04-2021,
A01066,0,CO02,FURNITURE,Capital hot seek group.,05-09-2024,
A01067,0,CO03,BUILDING,Rock without something.,27-06-2024,
A01068,0,CO01,VEHICLE,Manager himself big wonder.,24-10-2022,
A01069,0,CO01,FURNITURE,Trip could something.,04-11-2023,
A01070,0,CO03,BUILDING,Visit minute goal.,20-02-2023,
A01071,0,CO03,VEHICLE,Senior environment college should.,03-08-2024,
A01072,0,CO02,MACHINERY,Blue best nature animal.,28-01-2022,
A01073,0,CO03,VEHICLE,Sometimes some.,06-11-2022,
A01074,0,CO02,VEHICLE,Race pull animal interview arrive.,15-11-2024,
A01075,0,CO01,MACHINERY,Investment write hotel ground.,07-11-2023,
A01076,0,CO02,FURNITURE,Mind citizen color.,12-12-2023,
A01077,0,CO03,BUILDING,Time nearly respond.,06-01-2025,
A01078,0,CO02,VEHICLE,Matter treat throw.,19-07-2024,
A01079,0,CO02,FURNITURE,Something raise computer accept dream.,13-11-2022,
A01080,0,CO03,COMPUTER,Entire of set send then.,02-02-2024,
A01081,0,CO01,MACHINERY,Film water describe.,25-02-2023,
A01082,0,CO03,MACHINERY,Action me fly collection.,06-05-2021,
A01083,0,CO03,VEHICLE,Quality today.,25-05-2021,
A01084,0,CO01,BUILDING,Wish guy low dark.,03-02-2023,
A01085,0,CO01,MACHINERY,Ready democratic road want.,14-02-2024,
A01086,0,CO01,MACHINERY,Plan common fast road.,08-04-2023,
A01087,0,CO02,FURNITURE,Shoulder measure stand peace field.,09-01-2025,
A01088,0,CO01,FURNITURE,Good site.,07-10-2022,
A01089,0,CO01,VEHICLE,Authority treatment night alone gas.,13-01-2024,
A01090,0,CO03,BUILDING,Allow treatment room.,26-08-2022,
A01091,0,CO01,VEHICLE,Model any somebody decision stock.,16-05-2022,
A01092,0,CO03,FURNITURE,Seek identify way.,09-09-2023,
A01093,0,CO01,FURNITURE,Hope specific student.,02-11-2022,
A01094,0,CO01,VEHICLE,Surface both try television.,04-01-2022,
A01095,0,CO02,COMPUTER,Develop federal example.,02-03-2023,
A01096,0,CO01,VEHICLE,Talk meet such.,22-06-2021,
A01097,0,CO03,BUILDING,Everything evidence voice.,31-07-2021,
A01098,0,CO01,VEHICLE,Past newspaper.,03-06-2021,
A01099,0,CO03,MACHINERY,Moment great treat.,20-07-2023,
A01100,0,CO03,FURNITURE,Scene choose cultural defense.,31-01-2022,
A01101,0,CO02,FURNITURE,Something than five.,03-03-2023,
A01102,0,CO01,BUILDING,Six big.,10-07-2023,
A01103,0,CO02,BUILDING,Cover or early society.,15-11-2022,
A01104,0,CO03,MACHINERY,Clearly win candidate truth.,07-05-2022,
A01105,0,CO01,COMPUTER,Resource allow system.,07-04-2022,
A01106,0,CO02,BUILDING,Change herself energy significant.,08-07-2024,
A01107,0,CO01,VEHICLE,Which visit current he must.,26-05-2022,
A01108,0,CO02,BUILDING,Discuss character.,15-08-2024,
A01109,0,CO01,COMPUTER,Off attack.,13-12-2021,
A01110,0,CO01,BUILDING,Guy build human far whole.,02-12-2021,
A01111,0,CO01,BUILDING,Score perhaps.,27-02-2022,
A01112,0,CO01,COMPUTER,Sure assume all half.,15-07-2022,
A01113,0,CO01,FURNITURE,Product southern run.,10-09-2022,
A01114,0,CO01,BUILDING,Executive physical dog one brother.,13-08-2024,
A01115,0,CO02,VEHICLE,Only five.,04-01-2025,
A01116,0,CO03,VEHICLE,Nor forward accept condition.,11-06-2023,
A01117,0,CO03,BUILDING,Control local become door short.,27-12-2023,
A01118,0,CO01,FURNITURE,Continue red music boy.,16-05-2024,
A01119,0,CO02,VEHICLE,Itself we bad.,26-01-2025,
A01120,0,CO02,COMPUTER,Ready describe bring.,29-04-2024,
A01121,0,CO03,COMPUTER,Employee account eye past.,30-03-2023,
A01122,0,CO01,FURNITURE,Dark view whom second statement.,13-12-2021,
A01123,0,CO03,COMPUTER,Doctor spend major training wonder.,26-10-2023,
A01124,0,CO02,MACHINERY,Side baby degree learn.,21-08-2022,
A01125,0,CO03,COMPUTER,Race health seat concern.,06-05-2024,
A01126,0,CO01,COMPUTER,Far each position.,05-11-2023,
A01127,0,CO03,VEHICLE,Evidence measure control respond.,29-03-2024,
A01128,0,CO02,MACHINERY,Right else.,03-02-2022,
A01129,0,CO03,MACHINERY,Option describe him.,16-07-2021,
A01130,0,CO02,FURNITURE,Exactly paper want out.,24-11-2023,
A01131,0,CO03,FURNITURE,Election out artist so various.,01-11-2021,
A01132,0,CO02,FURNITURE,Mission choose.,27-10-2023,
A01133,0,CO03,BUILDING,While surface beautiful process voice.,23-03-2023,
A01134,0,CO02,FURNITURE,Easy popular newspaper director budget.,01-03-2024,
A01135,0,CO01,VEHICLE,Pull no mother scene.,14-03-2022,
A01136,0,CO03,COMPUTER,Would risk player city skin.,05-09-2023,
A01137,0,CO01,VEHICLE,Against alone happy speak may.,21-08-2022,
A01138,0,CO01,BUILDING,Table my tax light.,28-10-2021,
A01139,0,CO03,COMPUTER,Job view thing discuss.,14-02-2022,
A01140,0,CO03,BUILDING,Election show subject each.,10-12-2022,
A01141,0,CO02,COMPUTER,Maintain among answer.,12-07-2022,
A01142,0,CO01,MACHINERY,Country sell control Democrat.,15-12-2024,
A01143,0,CO01,MACHINERY,Fly win relationship.,10-10-2022,
A01144,0,CO02,COMPUTER,Data nice kitchen something society.,11-09-2022,
A01145,0,CO03,MACHINERY,Rule situation possible.,23-12-2023,
A01146,0,CO02,VEHICLE,West sure.,28-02-2022,
A01147,0,CO03,FURNITURE,Deal use remain be.,10-09-2023,
A01148,0,CO01,FURNITURE,Authority part he.,01-06-2022,
A01149,0,CO03,COMPUTER,On particular.,19-05-2023,
A01150,0,CO02,FURNITURE,Work beat summer.,02-06-2021,
A01151,0,CO01,VEHICLE,Study increase.,22-10-2021,
A01152,0,CO03,MACHINERY,People people not support natural.,16-04-2023,
A01153,0,CO02,BUILDING,Either run.,03-05-2021,
A01154,0,CO01,COMPUTER,Story myself military himself.,13-03-2022,
A01155,0,CO03,VEHICLE,Worker energy build usually.,23-09-2022,
A01156,0,CO01,FURNITURE,Yeah he.,29-11-2021,
A01157,0,CO03,FURNITURE,Part table movie however.,14-10-2021,
A01158,0,CO03,MACHINERY,Seven everybody.,15-09-2022,
A01159,0,CO02,MACHINERY,Keep threat.,04-02-2023,
A01160,0,CO03,MACHINERY,Clear natural message.,07-02-2022,
A01161,0,CO01,VEHICLE,Responsibility time college nearly center.,27-05-2022,
A01162,0,CO02,COMPUTER,Six well guy natural.,05-10-2023,
A01163,0,CO01,BUILDING,Future subject effect above.,20-07-2021,
A01164,0,CO03,COMPUTER,Laugh history might.,26-07-2024,
