delivery_id,delivery_item,material_id,plant_id,delivery_quantity,delivery_status,delivery_date,sales_order,sales_order_item,fiscal_period
DL202308150000003255,1,MAT-01175,1,39,A,18-08-2023,OR202308150000005830,1,8
DL202308150000001675,1,MAT-00788,3,24,B,16-08-2023,OR202308150000006762,1,8
DL202308150000006422,2,MAT-00558,2,0,C,16-08-2023,OR202308150000006762,2,8
DL202308150000001579,3,MAT-00679,1,21,A,18-08-2023,OR202308150000006762,3,8
DL202308150000009355,4,MAT-00276,2,38,A,17-08-2023,OR202308150000006762,4,8
DL202308150000005386,5,MAT-00857,4,47,A,17-08-2023,OR202308150000006762,5,8
DL202308160000004579,1,MAT-00466,5,0,A,17-08-2023,OR202308160000001777,1,8
DL202308160000005824,1,MAT-00166,4,34,A,17-08-2023,OR202308160000003988,1,8
DL202308160000007451,2,MAT-00846,3,45,A,17-08-2023,OR202308160000003988,2,8
DL202308160000002720,3,MAT-00558,2,40,A,19-08-2023,OR202308160000003988,3,8
DL202308160000008297,1,MAT-00018,1,40,A,19-08-2023,OR202308160000003246,1,8
DL202308160000009390,2,MAT-00870,4,14,A,18-08-2023,OR202308160000003246,2,8
DL202308160000004926,3,MAT-00537,3,15,A,18-08-2023,OR202308160000003246,3,8
DL202308160000005614,1,MAT-01421,2,5,A,19-08-2023,OR202308160000006026,1,8
DL202308160000002888,1,MAT-00164,5,11,A,17-08-2023,OR202308160000002599,1,8
DL202308160000009568,2,MAT-00139,1,48,A,18-08-2023,OR202308160000002599,2,8
DL202308160000004493,3,MAT-00130,4,26,A,18-08-2023,OR202308160000002599,3,8
DL202308160000006698,4,MAT-00169,5,23,B,17-08-2023,OR202308160000002599,4,8
DL202308160000002821,5,MAT-01181,5,28,A,17-08-2023,OR202308160000002599,5,8
DL202308160000001756,1,MAT-00971,1,37,A,18-08-2023,OR202308160000006038,1,8
DL202308160000003184,2,MAT-00012,4,28,A,17-08-2023,OR202308160000006038,2,8
DL202308160000001202,3,MAT-00900,4,20,A,17-08-2023,OR202308160000006038,3,8
DL202308160000001740,4,MAT-01365,5,18,A,17-08-2023,OR202308160000006038,4,8
DL202308160000009828,5,MAT-00188,5,29,A,18-08-2023,OR202308160000006038,5,8
DL202308160000003808,1,MAT-00865,5,18,A,19-08-2023,OR202308160000004023,1,8
DL202308160000001484,2,MAT-01087,1,21,B,19-08-2023,OR202308160000004023,2,8
DL202308160000005962,3,MAT-00952,2,49,A,19-08-2023,OR202308160000004023,3,8
DL202308160000005023,1,MAT-00556,5,30,A,17-08-2023,OR202308160000008111,1,8
DL202308160000001908,2,MAT-00432,4,44,A,18-08-2023,OR202308160000008111,2,8
DL202308160000009012,1,MAT-00446,4,41,A,18-08-2023,OR202308160000004479,1,8
DL202308160000006709,2,MAT-00451,2,6,A,18-08-2023,OR202308160000004479,2,8
DL202308160000001416,3,MAT-01346,5,44,A,19-08-2023,OR202308160000004479,3,8
DL202308160000007606,4,MAT-01366,5,2,B,19-08-2023,OR202308160000004479,4,8
DL202308160000002856,1,MAT-00219,5,39,A,17-08-2023,OR202308160000008445,1,8
DL202308160000001331,2,MAT-01168,5,48,A,18-08-2023,OR202308160000008445,2,8
DL202308160000007700,3,MAT-00340,2,1,B,19-08-2023,OR202308160000008445,3,8
DL202308160000008176,4,MAT-00488,4,5,A,19-08-2023,OR202308160000008445,4,8
DL202308160000003170,5,MAT-00798,2,6,A,18-08-2023,OR202308160000008445,5,8
DL202308160000006203,1,MAT-00766,2,0,A,18-08-2023,OR202308160000008747,1,8
DL202308160000008805,2,MAT-00421,3,14,B,19-08-2023,OR202308160000008747,2,8
DL202308160000009113,1,MAT-00936,3,3,B,19-08-2023,OR202308160000004915,1,8
DL202308160000006353,2,MAT-01395,5,2,B,18-08-2023,OR202308160000004915,2,8
DL202308160000004533,3,MAT-00331,4,37,A,19-08-2023,OR202308160000004915,3,8
DL202308160000005752,1,MAT-00086,5,49,A,18-08-2023,OR202308160000005069,1,8
DL202308160000007610,2,MAT-01465,5,14,A,18-08-2023,OR202308160000005069,2,8
DL202308160000008894,3,MAT-00797,1,17,A,18-08-2023,OR202308160000005069,3,8
DL202308160000006379,1,MAT-00515,4,0,C,17-08-2023,OR202308160000003416,1,8
DL202308160000005091,2,MAT-00420,1,11,A,17-08-2023,OR202308160000003416,2,8
DL202308160000007296,1,MAT-01382,1,0,A,19-08-2023,OR202308160000007261,1,8
DL202308160000006633,2,MAT-00313,3,6,B,18-08-2023,OR202308160000007261,2,8
DL202308160000002950,3,MAT-00965,2,41,A,17-08-2023,OR202308160000007261,3,8
DL202308160000003517,1,MAT-00847,2,10,A,17-08-2023,OR202308160000005032,1,8
DL202308160000006993,2,MAT-01415,1,18,A,18-08-2023,OR202308160000005032,2,8
DL202308160000008644,3,MAT-00640,2,9,A,19-08-2023,OR202308160000005032,3,8
DL202308160000008224,4,MAT-01023,2,19,B,18-08-2023,OR202308160000005032,4,8
DL202308160000009511,1,MAT-01421,4,4,A,17-08-2023,OR202308160000006773,1,8
DL202308160000001667,2,MAT-00403,3,15,A,17-08-2023,OR202308160000006773,2,8
DL202308160000005396,3,MAT-01159,3,10,B,17-08-2023,OR202308160000006773,3,8
DL202308160000005499,4,MAT-00016,2,42,A,18-08-2023,OR202308160000006773,4,8
DL202308160000009391,5,MAT-00192,1,23,A,18-08-2023,OR202308160000006773,5,8
DL202308160000006017,1,MAT-00924,1,19,A,17-08-2023,OR202308160000001798,1,8
DL202308160000003860,2,MAT-00564,3,0,C,17-08-2023,OR202308160000001798,2,8
DL202308160000004110,3,MAT-00447,5,31,B,19-08-2023,OR202308160000001798,3,8
DL202308160000004192,1,MAT-00693,5,20,A,18-08-2023,OR202308160000003441,1,8
DL202308160000002882,2,MAT-00246,5,36,A,17-08-2023,OR202308160000003441,2,8
DL202308160000009913,3,MAT-00314,2,46,A,18-08-2023,OR202308160000003441,3,8
DL202308160000005765,1,MAT-00704,2,32,A,17-08-2023,OR202308160000003433,1,8
DL202308160000008155,2,MAT-00082,4,0,C,19-08-2023,OR202308160000003433,2,8
DL202308160000008362,3,MAT-00652,5,32,A,18-08-2023,OR202308160000003433,3,8
DL202308160000003933,1,MAT-01070,1,27,A,18-08-2023,OR202308160000005351,1,8
DL202308160000008514,2,MAT-00755,5,9,A,17-08-2023,OR202308160000005351,2,8
DL202308160000002561,3,MAT-00602,1,3,B,19-08-2023,OR202308160000005351,3,8
DL202308160000003684,4,MAT-00735,5,49,A,18-08-2023,OR202308160000005351,4,8
DL202308160000008479,5,MAT-00494,3,22,A,18-08-2023,OR202308160000005351,5,8
DL202308170000007009,1,MAT-01457,5,14,A,20-08-2023,OR202308170000005265,1,8
DL202308170000003658,2,MAT-00607,5,4,A,18-08-2023,OR202308170000005265,2,8
DL202308170000005489,3,MAT-00376,4,45,A,20-08-2023,OR202308170000005265,3,8
DL202308170000008647,4,MAT-00840,4,26,B,20-08-2023,OR202308170000005265,4,8
DL202308170000007317,5,MAT-00073,3,2,A,18-08-2023,OR202308170000005265,5,8
DL202308170000006714,1,MAT-00522,2,50,A,19-08-2023,OR202308170000008593,1,8
DL202308170000009730,1,MAT-01040,4,36,A,20-08-2023,OR202308170000006786,1,8
DL202308170000007359,2,MAT-01275,2,46,A,19-08-2023,OR202308170000006786,2,8
DL202308170000001101,3,MAT-01495,3,12,A,19-08-2023,OR202308170000006786,3,8
DL202308170000006383,1,MAT-01005,4,32,A,20-08-2023,OR202308170000003839,1,8
DL202308170000001549,2,MAT-01251,5,0,C,20-08-2023,OR202308170000003839,2,8
DL202308170000008028,3,MAT-00982,3,15,A,18-08-2023,OR202308170000003839,3,8
DL202308170000008974,1,MAT-00322,3,42,A,18-08-2023,OR202308170000008446,1,8
DL202308170000004505,1,MAT-00457,1,27,A,20-08-2023,OR202308170000004474,1,8
DL202308170000006844,2,MAT-00322,3,13,A,20-08-2023,OR202308170000004474,2,8
DL202308170000008610,3,MAT-00755,2,11,A,19-08-2023,OR202308170000004474,3,8
DL202308170000004810,1,MAT-01334,1,50,A,18-08-2023,OR202308170000003025,1,8
DL202308170000009555,2,MAT-00946,2,22,A,19-08-2023,OR202308170000003025,2,8
DL202308170000009580,1,MAT-00773,4,32,A,20-08-2023,OR202308170000005306,1,8
DL202308170000001227,2,MAT-01225,3,30,A,19-08-2023,OR202308170000005306,2,8
DL202308170000006354,3,MAT-00040,2,3,B,19-08-2023,OR202308170000005306,3,8
DL202308170000002422,4,MAT-00818,1,13,A,19-08-2023,OR202308170000005306,4,8
DL202308170000005431,5,MAT-00291,3,49,A,20-08-2023,OR202308170000005306,5,8
DL202308170000002282,1,MAT-00100,4,29,B,18-08-2023,OR202308170000006449,1,8
DL202308170000003688,2,MAT-00872,3,15,A,20-08-2023,OR202308170000006449,2,8
DL202308170000004217,3,MAT-01163,4,34,A,19-08-2023,OR202308170000006449,3,8
DL202308170000006601,1,MAT-00712,1,16,A,18-08-2023,OR202308170000003632,1,8
DL202308170000005284,2,MAT-00751,3,18,A,19-08-2023,OR202308170000003632,2,8
DL202308170000006750,1,MAT-00761,5,12,A,18-08-2023,OR202308170000004217,1,8
DL202308170000006902,1,MAT-00536,2,30,A,20-08-2023,OR202308170000009505,1,8
DL202308170000006926,1,MAT-01092,2,22,B,20-08-2023,OR202308170000008499,1,8
DL202308170000009826,2,MAT-00132,3,4,B,20-08-2023,OR202308170000008499,2,8
DL202308170000005887,3,MAT-01101,4,10,A,20-08-2023,OR202308170000008499,3,8
DL202308170000008299,4,MAT-00592,2,32,A,18-08-2023,OR202308170000008499,4,8
DL202308170000005654,5,MAT-00873,4,2,A,18-08-2023,OR202308170000008499,5,8
DL202308170000004171,1,MAT-00253,4,8,A,20-08-2023,OR202308170000003895,1,8
DL202308170000008904,2,MAT-01168,3,32,A,20-08-2023,OR202308170000003895,2,8
DL202308170000003197,3,MAT-00837,3,47,A,19-08-2023,OR202308170000003895,3,8
DL202308170000009494,4,MAT-00653,1,23,A,18-08-2023,OR202308170000003895,4,8
DL202308170000003614,1,MAT-00502,1,27,A,18-08-2023,OR202308170000006790,1,8
DL202308170000004309,2,MAT-01255,5,43,A,20-08-2023,OR202308170000006790,2,8
DL202308170000007192,3,MAT-01027,2,35,A,18-08-2023,OR202308170000006790,3,8
DL202308170000003785,4,MAT-01175,4,20,A,18-08-2023,OR202308170000006790,4,8
DL202308170000001534,5,MAT-00740,3,32,A,19-08-2023,OR202308170000006790,5,8
DL202308180000002312,1,MAT-01305,1,48,A,21-08-2023,OR202308180000008070,1,8
DL202308180000006301,2,MAT-00659,5,26,A,21-08-2023,OR202308180000008070,2,8
DL202308180000006914,3,MAT-00808,1,9,A,21-08-2023,OR202308180000008070,3,8
DL202308180000007213,4,MAT-01267,4,49,A,19-08-2023,OR202308180000008070,4,8
DL202308180000009536,5,MAT-01269,1,24,A,21-08-2023,OR202308180000008070,5,8
DL202308180000006155,1,MAT-00933,3,28,A,21-08-2023,OR202308180000003070,1,8
DL202308180000005485,2,MAT-00372,4,47,A,20-08-2023,OR202308180000003070,2,8
DL202308180000009810,1,MAT-01285,1,25,A,21-08-2023,OR202308180000004947,1,8
DL202308180000003266,2,MAT-00503,4,33,A,19-08-2023,OR202308180000004947,2,8
DL202308180000005458,3,MAT-00535,1,27,A,21-08-2023,OR202308180000004947,3,8
DL202308180000001782,4,MAT-00974,5,26,A,20-08-2023,OR202308180000004947,4,8
DL202308180000003538,5,MAT-00944,3,42,A,21-08-2023,OR202308180000004947,5,8
DL202308180000003905,1,MAT-00011,1,38,A,21-08-2023,OR202308180000002831,1,8
DL202308180000004416,2,MAT-01024,1,15,A,19-08-2023,OR202308180000002831,2,8
DL202308180000005064,1,MAT-00949,5,12,A,19-08-2023,OR202308180000005952,1,8
DL202308180000006528,2,MAT-00724,2,32,A,19-08-2023,OR202308180000005952,2,8
DL202308180000005202,3,MAT-00900,5,20,A,21-08-2023,OR202308180000005952,3,8
DL202308180000007917,4,MAT-00339,5,3,B,20-08-2023,OR202308180000005952,4,8
DL202308180000006634,5,MAT-00711,2,0,B,19-08-2023,OR202308180000005952,5,8
DL202308180000005162,1,MAT-00467,4,25,A,20-08-2023,OR202308180000009499,1,8
DL202308180000005968,2,MAT-00139,3,35,A,19-08-2023,OR202308180000009499,2,8
DL202308180000002460,3,MAT-00153,5,43,A,20-08-2023,OR202308180000009499,3,8
DL202308180000002467,4,MAT-00124,5,16,A,20-08-2023,OR202308180000009499,4,8
DL202308180000005662,5,MAT-01310,2,30,A,19-08-2023,OR202308180000009499,5,8
DL202308180000008422,1,MAT-00206,1,18,A,21-08-2023,OR202308180000002665,1,8
DL202308180000006458,1,MAT-00621,2,47,A,21-08-2023,OR202308180000007351,1,8
DL202308180000009145,2,MAT-00224,5,3,A,19-08-2023,OR202308180000007351,2,8
DL202308180000003260,3,MAT-00474,2,3,A,19-08-2023,OR202308180000007351,3,8
DL202308180000009988,4,MAT-00824,1,14,A,20-08-2023,OR202308180000007351,4,8
DL202308180000001653,5,MAT-01158,3,13,A,19-08-2023,OR202308180000007351,5,8
DL202308180000005267,1,MAT-00650,2,22,B,19-08-2023,OR202308180000009205,1,8
DL202308180000009932,1,MAT-00193,2,18,A,21-08-2023,OR202308180000001997,1,8
DL202308180000007181,1,MAT-01024,3,15,A,21-08-2023,OR202308180000008640,1,8
DL202308180000006651,2,MAT-01437,5,5,A,21-08-2023,OR202308180000008640,2,8
DL202308180000003328,3,MAT-01497,3,42,A,19-08-2023,OR202308180000008640,3,8
DL202308180000007137,4,MAT-01248,1,11,A,19-08-2023,OR202308180000008640,4,8
DL202308180000008933,1,MAT-00743,1,2,A,20-08-2023,OR202308180000005730,1,8
DL202308180000009479,2,MAT-00900,3,1,B,19-08-2023,OR202308180000005730,2,8
DL202308180000002040,1,MAT-00999,3,13,A,19-08-2023,OR202308180000003104,1,8
DL202308180000001351,2,MAT-00532,3,47,A,20-08-2023,OR202308180000003104,2,8
DL202308180000004663,3,MAT-00469,5,9,A,19-08-2023,OR202308180000003104,3,8
DL202308180000005498,4,MAT-00342,1,20,A,21-08-2023,OR202308180000003104,4,8
DL202308180000001494,1,MAT-00595,3,36,A,21-08-2023,OR202308180000009986,1,8
DL202308180000008654,1,MAT-01278,4,36,A,21-08-2023,OR202308180000001648,1,8
DL202308180000004324,2,MAT-00106,4,20,A,19-08-2023,OR202308180000001648,2,8
DL202308180000002217,3,MAT-01043,1,42,A,20-08-2023,OR202308180000001648,3,8
DL202308180000007001,4,MAT-01186,2,0,C,20-08-2023,OR202308180000001648,4,8
DL202308180000005383,1,MAT-00590,1,22,A,21-08-2023,OR202308180000001995,1,8
DL202308180000008288,2,MAT-00183,5,44,A,19-08-2023,OR202308180000001995,2,8
DL202308180000008737,3,MAT-00545,4,4,A,19-08-2023,OR202308180000001995,3,8
DL202308180000001127,4,MAT-01078,1,17,B,21-08-2023,OR202308180000001995,4,8
DL202308180000002258,5,MAT-00315,1,34,A,19-08-2023,OR202308180000001995,5,8
DL202308210000008379,1,MAT-00162,1,40,A,23-08-2023,OR202308210000003560,1,8
DL202308210000003906,2,MAT-00671,3,26,A,24-08-2023,OR202308210000003560,2,8
DL202308210000007940,3,MAT-00329,2,0,B,22-08-2023,OR202308210000003560,3,8
DL202308210000004357,1,MAT-01068,4,0,C,23-08-2023,OR202308210000007641,1,8
DL202308210000008509,1,MAT-00005,4,10,A,24-08-2023,OR202308210000004411,1,8
DL202308210000003493,2,MAT-01185,5,0,C,24-08-2023,OR202308210000004411,2,8
DL202308210000008555,3,MAT-00512,2,41,A,23-08-2023,OR202308210000004411,3,8
DL202308210000009116,1,MAT-00883,4,46,A,22-08-2023,OR202308210000002803,1,8
DL202308210000004629,2,MAT-01090,3,10,A,23-08-2023,OR202308210000002803,2,8
DL202308210000006594,3,MAT-00801,2,19,A,23-08-2023,OR202308210000002803,3,8
DL202308210000003434,4,MAT-00640,3,30,A,22-08-2023,OR202308210000002803,4,8
DL202308210000003876,5,MAT-01190,4,22,A,24-08-2023,OR202308210000002803,5,8
DL202308210000009290,1,MAT-00516,3,13,A,24-08-2023,OR202308210000001094,1,8
DL202308210000009895,1,MAT-00592,2,26,A,23-08-2023,OR202308210000005108,1,8
DL202308210000003231,2,MAT-00157,2,15,A,23-08-2023,OR202308210000005108,2,8
DL202308210000001429,3,MAT-00871,2,36,A,23-08-2023,OR202308210000005108,3,8
DL202308210000005995,4,MAT-01425,5,38,A,22-08-2023,OR202308210000005108,4,8
DL202308210000005671,1,MAT-00026,3,49,A,22-08-2023,OR202308210000002156,1,8
DL202308210000009281,2,MAT-00087,3,22,A,22-08-2023,OR202308210000002156,2,8
DL202308210000002911,1,MAT-00241,5,25,A,22-08-2023,OR202308210000007597,1,8
DL202308210000001515,1,MAT-00303,5,0,A,22-08-2023,OR202308210000008645,1,8
DL202308210000006642,2,MAT-00087,4,23,A,23-08-2023,OR202308210000008645,2,8
DL202308210000005890,3,MAT-01323,2,3,A,22-08-2023,OR202308210000008645,3,8
DL202308210000009666,4,MAT-00427,5,13,A,23-08-2023,OR202308210000008645,4,8
DL202308210000007531,5,MAT-00385,4,33,A,22-08-2023,OR202308210000008645,5,8
DL202308210000009867,1,MAT-01287,3,1,B,22-08-2023,OR202308210000002871,1,8
DL202308210000003061,2,MAT-00108,5,21,A,23-08-2023,OR202308210000002871,2,8
DL202308210000007539,3,MAT-00696,1,37,A,23-08-2023,OR202308210000002871,3,8
DL202308210000002278,4,MAT-00557,4,23,A,23-08-2023,OR202308210000002871,4,8
DL202308210000009422,1,MAT-00825,2,6,B,24-08-2023,OR202308210000007022,1,8
DL202308210000001971,1,MAT-01164,4,14,A,24-08-2023,OR202308210000005178,1,8
DL202308210000006289,2,MAT-01497,5,19,A,22-08-2023,OR202308210000005178,2,8
DL202308210000004774,3,MAT-01049,3,30,A,23-08-2023,OR202308210000005178,3,8
DL202308210000001981,4,MAT-00795,4,46,A,24-08-2023,OR202308210000005178,4,8
DL202308210000006819,1,MAT-00105,5,0,A,24-08-2023,OR202308210000009907,1,8
DL202308210000002397,2,MAT-00012,4,43,A,24-08-2023,OR202308210000009907,2,8
DL202308210000002714,3,MAT-01311,3,41,A,23-08-2023,OR202308210000009907,3,8
DL202308210000005589,4,MAT-00278,1,21,A,24-08-2023,OR202308210000009907,4,8
DL202308210000007575,5,MAT-01004,2,30,A,24-08-2023,OR202308210000009907,5,8
DL202308210000006808,1,MAT-00059,5,40,A,22-08-2023,OR202308210000002793,1,8
DL202308210000002693,2,MAT-00637,4,18,A,24-08-2023,OR202308210000002793,2,8
DL202308210000006828,1,MAT-00113,3,1,A,24-08-2023,OR202308210000009622,1,8
DL202308210000003024,2,MAT-00773,3,1,A,23-08-2023,OR202308210000009622,2,8
DL202308210000001171,1,MAT-00815,3,36,A,24-08-2023,OR202308210000006808,1,8
DL202308210000008199,2,MAT-00042,2,14,A,23-08-2023,OR202308210000006808,2,8
DL202308210000008036,3,MAT-00018,2,16,A,22-08-2023,OR202308210000006808,3,8
DL202308210000005905,1,MAT-00511,2,42,A,22-08-2023,OR202308210000005743,1,8
DL202308220000003412,1,MAT-01394,2,7,A,24-08-2023,OR202308220000008487,1,8
DL202308220000007773,2,MAT-01349,1,32,A,25-08-2023,OR202308220000008487,2,8
DL202308220000007765,1,MAT-00290,5,32,A,23-08-2023,OR202308220000007425,1,8
DL202308220000002143,2,MAT-00939,1,21,A,23-08-2023,OR202308220000007425,2,8
DL202308220000007605,3,MAT-00089,2,30,A,23-08-2023,OR202308220000007425,3,8
DL202308220000007284,4,MAT-00576,2,22,A,23-08-2023,OR202308220000007425,4,8
DL202308220000004290,1,MAT-01406,4,30,B,25-08-2023,OR202308220000009768,1,8
DL202308220000009412,2,MAT-01342,4,31,A,25-08-2023,OR202308220000009768,2,8
DL202308220000002433,3,MAT-00644,5,44,A,24-08-2023,OR202308220000009768,3,8
DL202308220000006787,4,MAT-00467,2,38,A,25-08-2023,OR202308220000009768,4,8
DL202308220000007359,5,MAT-00919,5,5,B,24-08-2023,OR202308220000009768,5,8
DL202308220000005197,1,MAT-00324,1,7,B,23-08-2023,OR202308220000005628,1,8
DL202308220000003689,2,MAT-00623,1,17,A,24-08-2023,OR202308220000005628,2,8
DL202308220000008097,1,MAT-00179,1,12,A,25-08-2023,OR202308220000005414,1,8
DL202308220000007522,2,MAT-00902,4,19,A,24-08-2023,OR202308220000005414,2,8
DL202308220000005016,3,MAT-00840,1,8,A,24-08-2023,OR202308220000005414,3,8
DL202308220000005150,4,MAT-01346,3,0,C,24-08-2023,OR202308220000005414,4,8
DL202308220000003075,1,MAT-00938,1,25,A,24-08-2023,OR202308220000009912,1,8
DL202308220000001409,2,MAT-00502,5,0,C,24-08-2023,OR202308220000009912,2,8
DL202308220000005409,3,MAT-00734,2,8,A,24-08-2023,OR202308220000009912,3,8
DL202308220000001450,4,MAT-01268,3,44,A,23-08-2023,OR202308220000009912,4,8
DL202308220000006802,1,MAT-00215,3,0,C,24-08-2023,OR202308220000002361,1,8
DL202308220000008903,2,MAT-01214,3,5,B,23-08-2023,OR202308220000002361,2,8
DL202308220000006692,1,MAT-01406,3,12,A,25-08-2023,OR202308220000008592,1,8
DL202308220000002133,1,MAT-00922,2,25,A,24-08-2023,OR202308220000001208,1,8
DL202308220000008908,2,MAT-01488,4,9,A,24-08-2023,OR202308220000001208,2,8
DL202308220000004532,3,MAT-00568,2,19,A,23-08-2023,OR202308220000001208,3,8
DL202308220000005899,4,MAT-00628,3,17,A,24-08-2023,OR202308220000001208,4,8
DL202308220000001583,5,MAT-01357,4,36,A,24-08-2023,OR202308220000001208,5,8
DL202308220000003809,1,MAT-00779,4,44,A,24-08-2023,OR202308220000009208,1,8
DL202308220000006965,2,MAT-00831,1,50,A,23-08-2023,OR202308220000009208,2,8
DL202308220000009691,1,MAT-00047,3,32,A,25-08-2023,OR202308220000009709,1,8
DL202308220000009516,2,MAT-00150,1,48,A,23-08-2023,OR202308220000009709,2,8
DL202308220000003906,1,MAT-01288,5,24,A,25-08-2023,OR202308220000001812,1,8
DL202308220000009780,2,MAT-00798,4,49,A,23-08-2023,OR202308220000001812,2,8
DL202308220000004335,1,MAT-01041,3,37,A,25-08-2023,OR202308220000002655,1,8
DL202308220000001954,2,MAT-00977,4,15,A,25-08-2023,OR202308220000002655,2,8
DL202308220000007115,3,MAT-00628,1,50,A,25-08-2023,OR202308220000002655,3,8
DL202308220000006824,1,MAT-01202,4,44,A,24-08-2023,OR202308220000008478,1,8
DL202308220000006257,1,MAT-00338,5,5,A,24-08-2023,OR202308220000001470,1,8
DL202308220000005922,2,MAT-00577,5,27,A,23-08-2023,OR202308220000001470,2,8
DL202308220000001534,1,MAT-01490,5,35,A,25-08-2023,OR202308220000006794,1,8
DL202308220000008309,2,MAT-00044,4,35,A,23-08-2023,OR202308220000006794,2,8
DL202308220000004143,3,MAT-01381,3,40,A,25-08-2023,OR202308220000006794,3,8
DL202308220000004448,4,MAT-00028,3,36,A,25-08-2023,OR202308220000006794,4,8
DL202308220000008209,5,MAT-00171,5,41,A,24-08-2023,OR202308220000006794,5,8
DL202308220000001214,1,MAT-01325,4,49,A,25-08-2023,OR202308220000005762,1,8
DL202308220000002521,1,MAT-00784,1,42,A,23-08-2023,OR202308220000004174,1,8
DL202308230000001428,1,MAT-00821,5,38,A,25-08-2023,OR202308230000002261,1,8
DL202308230000003539,2,MAT-00939,4,23,A,25-08-2023,OR202308230000002261,2,8
DL202308230000005609,3,MAT-00969,4,23,A,24-08-2023,OR202308230000002261,3,8
DL202308230000001147,4,MAT-00486,5,16,A,26-08-2023,OR202308230000002261,4,8
DL202308230000008063,5,MAT-00734,5,48,A,25-08-2023,OR202308230000002261,5,8
DL202308230000005929,1,MAT-00730,5,15,A,24-08-2023,OR202308230000006866,1,8
DL202308230000009136,2,MAT-00575,1,37,A,26-08-2023,OR202308230000006866,2,8
DL202308230000001019,1,MAT-00392,3,22,A,26-08-2023,OR202308230000007907,1,8
DL202308230000009905,2,MAT-00731,3,34,A,25-08-2023,OR202308230000007907,2,8
DL202308230000004908,1,MAT-01089,3,14,A,25-08-2023,OR202308230000002898,1,8
DL202308230000006027,2,MAT-00875,5,29,A,24-08-2023,OR202308230000002898,2,8
DL202308230000006954,1,MAT-00802,1,7,A,26-08-2023,OR202308230000006386,1,8
DL202308230000009332,2,MAT-00900,2,10,A,24-08-2023,OR202308230000006386,2,8
DL202308230000001578,3,MAT-01010,1,21,A,26-08-2023,OR202308230000006386,3,8
DL202308230000002258,4,MAT-00335,3,44,A,26-08-2023,OR202308230000006386,4,8
DL202308230000001525,5,MAT-00643,1,5,A,25-08-2023,OR202308230000006386,5,8
DL202308230000001405,1,MAT-01339,4,18,A,26-08-2023,OR202308230000003779,1,8
DL202308230000006954,1,MAT-00715,2,38,A,25-08-2023,OR202308230000005235,1,8
DL202308230000004318,2,MAT-01368,5,43,A,26-08-2023,OR202308230000005235,2,8
DL202308230000005939,3,MAT-01224,4,0,C,26-08-2023,OR202308230000005235,3,8
DL202308230000003833,1,MAT-00015,4,44,A,26-08-2023,OR202308230000002014,1,8
DL202308230000001367,2,MAT-00813,4,9,A,24-08-2023,OR202308230000002014,2,8
DL202308230000006558,1,MAT-00284,2,12,A,26-08-2023,OR202308230000001317,1,8
DL202308230000009285,1,MAT-00805,2,22,A,25-08-2023,OR202308230000007807,1,8
DL202308230000009095,2,MAT-01242,2,22,A,26-08-2023,OR202308230000007807,2,8
DL202308230000006888,1,MAT-00507,4,4,A,26-08-2023,OR202308230000007593,1,8
DL202308230000001798,2,MAT-01360,4,44,A,26-08-2023,OR202308230000007593,2,8
DL202308230000001482,3,MAT-01007,2,49,A,24-08-2023,OR202308230000007593,3,8
DL202308230000002549,4,MAT-00742,2,3,A,26-08-2023,OR202308230000007593,4,8
DL202308230000004224,1,MAT-00102,2,1,A,26-08-2023,OR202308230000006831,1,8
DL202308230000006890,2,MAT-00241,1,10,B,24-08-2023,OR202308230000006831,2,8
DL202308230000003475,1,MAT-00325,5,0,B,26-08-2023,OR202308230000004584,1,8
DL202308230000006908,2,MAT-00008,2,50,A,26-08-2023,OR202308230000004584,2,8
DL202308230000008754,1,MAT-00105,1,38,A,24-08-2023,OR202308230000002083,1,8
DL202308230000002376,1,MAT-00476,2,44,A,26-08-2023,OR202308230000006801,1,8
DL202308230000008063,1,MAT-01054,3,28,A,26-08-2023,OR202308230000002331,1,8
DL202308230000002372,2,MAT-01396,2,0,C,24-08-2023,OR202308230000002331,2,8
DL202308230000009299,3,MAT-00244,2,4,A,25-08-2023,OR202308230000002331,3,8
DL202308230000008047,4,MAT-00955,4,42,A,26-08-2023,OR202308230000002331,4,8
DL202308230000007292,1,MAT-01449,1,37,A,26-08-2023,OR202308230000007774,1,8
DL202308230000007512,2,MAT-00518,2,2,A,26-08-2023,OR202308230000007774,2,8
DL202308230000003223,1,MAT-01323,3,6,A,26-08-2023,OR202308230000007658,1,8
DL202308230000009772,2,MAT-00701,2,30,A,25-08-2023,OR202308230000007658,2,8
DL202308230000003883,3,MAT-00380,1,42,A,26-08-2023,OR202308230000007658,3,8
DL202308230000004535,1,MAT-00789,2,6,A,26-08-2023,OR202308230000004535,1,8
DL202308230000006984,2,MAT-01080,3,5,A,24-08-2023,OR202308230000004535,2,8
DL202308230000003585,3,MAT-00735,2,8,A,25-08-2023,OR202308230000004535,3,8
DL202308230000001271,4,MAT-01102,1,6,A,26-08-2023,OR202308230000004535,4,8
DL202308230000008374,5,MAT-00303,4,3,A,24-08-2023,OR202308230000004535,5,8
DL202308230000007548,1,MAT-00225,5,28,A,26-08-2023,OR202308230000008980,1,8
DL202308230000003307,2,MAT-00467,3,40,A,26-08-2023,OR202308230000008980,2,8
