sales_order,sales_order_item,material_id,order_quantity,plant_id,net_value,currency
OR202303280000002696,3,MAT-00567,4,2,1658.496,USD
OR202303280000002696,4,MAT-00210,34,2,4816.44,USD
OR202303280000001017,1,MAT-00614,21,5,2222.136,USD
OR202303280000001343,1,MAT-00232,44,2,10474.992,USD
OR202303280000001343,2,MAT-00755,11,5,3154.8,USD
OR202303280000007416,1,MAT-00247,49,3,24925.32,USD
OR202303280000007416,2,MAT-00930,43,5,2157.396,USD
OR202303280000005751,1,MAT-00186,24,1,6656.544,USD
OR202303280000005751,2,MAT-01410,41,4,581.544,USD
OR202303280000004496,1,MAT-00590,24,1,7226.784,USD
OR202303280000004496,2,MAT-00475,20,5,11372.4,USD
OR202303280000004496,3,MAT-01108,41,3,18874.104,USD
OR202303280000004496,4,MAT-01319,12,4,4440.096,USD
OR202303280000006161,1,MAT-00495,22,4,7103.976,USD
OR202303280000006161,2,MAT-00983,1,3,216.048,USD
OR202303280000006161,3,MAT-00284,34,3,6544.32,USD
OR202303280000006161,4,MAT-00325,18,2,9863.856,USD
OR202303280000006161,5,MAT-00540,15,2,3992.04,USD
OR202303280000009593,1,MAT-00605,44,3,21076.704,USD
OR202303280000009593,2,MAT-00016,40,5,2513.28,USD
OR202303280000009593,3,MAT-00013,29,5,1100.376,USD
OR202303280000009593,4,MAT-00132,29,2,12578.46,USD
OR202303280000009951,1,MAT-01417,46,5,12516.6,USD
OR202303280000009951,2,MAT-01258,47,5,9760.02,USD
OR202303280000009951,3,MAT-00764,35,4,11966.22,USD
OR202303280000003597,1,MAT-00816,40,2,16756.8,USD
OR202303280000003597,2,MAT-00674,49,3,687.96,USD
OR202303280000003597,3,MAT-00657,19,5,10871.724,USD
OR202303280000006929,1,MAT-01152,16,5,4672.32,USD
OR202303280000006929,2,MAT-00141,3,3,1455.3,USD
OR202303280000006929,3,MAT-01479,16,4,7464,USD
OR202303280000006929,4,MAT-01022,12,1,296.928,USD
OR202303280000006929,5,MAT-00986,30,3,12924.72,USD
OR202303280000002226,1,MAT-00381,41,1,614.016,USD
OR202303280000002226,2,MAT-01444,44,5,4845.984,USD
OR202303280000002226,3,MAT-00319,28,3,9137.856,USD
OR202303280000002226,4,MAT-00147,34,4,4992.696,USD
OR202303280000002226,5,MAT-01349,16,5,3415.296,USD
OR202303280000006198,1,MAT-00235,12,3,6492.816,USD
OR202303280000006198,2,MAT-00193,50,5,1131,USD
OR202303280000006198,3,MAT-01386,28,5,10639.44,USD
OR202303280000006198,4,MAT-00097,2,4,673.296,USD
OR202303280000006198,5,MAT-00062,38,5,13842.336,USD
OR202303280000003677,1,MAT-00852,36,3,1540.512,USD
OR202303280000003677,2,MAT-00413,35,1,4946.34,USD
OR202303280000003677,3,MAT-00934,25,1,3015,USD
OR202303280000003677,4,MAT-00747,12,2,4544.64,USD
OR202303280000001512,1,MAT-01054,35,1,19655.58,USD
OR202303280000001512,2,MAT-00217,6,1,667.152,USD
OR202303280000001512,3,MAT-01354,21,1,3483.396,USD
OR202303280000001512,4,MAT-00081,25,4,1273.5,USD
OR202303280000007429,1,MAT-00956,26,5,15500.16,USD
OR202303280000007429,2,MAT-01034,28,2,15437.184,USD
OR202303280000007429,3,MAT-00574,49,5,17042.004,USD
OR202303280000007429,4,MAT-00492,33,3,9685.368,USD
OR202303280000004288,1,MAT-00219,1,3,528.372,USD
OR202303290000004539,1,MAT-01229,35,5,14999.04,USD
OR202303290000004539,2,MAT-01338,7,2,1399.188,USD
OR202303290000001734,1,MAT-00846,37,1,16128.744,USD
OR202303290000001734,2,MAT-00523,33,1,6537.96,USD
OR202303290000008391,1,MAT-00321,23,3,10077.864,USD
OR202303290000001839,1,MAT-01341,14,4,4164.048,USD
OR202303290000001839,2,MAT-00195,46,4,17443.2,USD
OR202303290000002812,1,MAT-00850,42,4,15949.08,USD
OR202303290000002812,2,MAT-00349,47,5,23966.052,USD
OR202303290000009735,1,MAT-00422,38,5,12772.104,USD
OR202303290000009735,2,MAT-00458,48,3,24734.016,USD
OR202303290000009735,3,MAT-00632,26,5,1986.504,USD
OR202303290000009735,4,MAT-00228,4,1,1471.344,USD
OR202303290000009735,5,MAT-00164,27,1,7225.2,USD
OR202303290000009704,1,MAT-00466,50,4,25827,USD
OR202303290000009704,2,MAT-00431,22,3,2890.272,USD
OR202303290000001103,1,MAT-00844,22,5,10812.912,USD
OR202303290000001103,2,MAT-00857,35,1,11177.46,USD
OR202303290000001103,3,MAT-01061,18,5,9701.856,USD
OR202303290000001103,4,MAT-00469,7,5,3993.276,USD
OR202303290000001924,1,MAT-00837,41,3,1982.76,USD
OR202303290000001924,2,MAT-01206,14,1,4040.232,USD
OR202303290000001924,3,MAT-00979,6,5,2443.896,USD
OR202303290000001924,4,MAT-00700,43,1,17108.496,USD
OR202303290000001924,5,MAT-00479,23,3,2823.48,USD
OR202303290000006832,1,MAT-00247,49,2,8415.456,USD
OR202303290000006832,2,MAT-00828,1,5,369.684,USD
OR202303290000006832,3,MAT-00510,49,5,20496.504,USD
OR202303290000006832,4,MAT-00461,8,4,326.304,USD
OR202303290000002322,1,MAT-01325,26,1,1105.104,USD
OR202303290000002322,2,MAT-01307,18,2,3869.208,USD
OR202303290000002322,3,MAT-01240,50,5,24050.4,USD
OR202303290000002322,4,MAT-00502,50,1,29810.4,USD
OR202303290000002322,5,MAT-01477,4,5,974.544,USD
OR202303290000001211,1,MAT-01039,23,1,7115.004,USD
OR202303290000001211,2,MAT-00496,2,3,529.968,USD
OR202303290000006971,1,MAT-00579,15,2,5159.16,USD
OR202303290000001546,1,MAT-00085,36,3,12956.976,USD
OR202303290000001546,2,MAT-00284,25,1,6530.7,USD
OR202303290000001546,3,MAT-00623,44,3,21837.024,USD
OR202303290000001546,4,MAT-00238,3,4,1310.364,USD
OR202303290000005683,1,MAT-00908,38,5,11830.008,USD
OR202303290000005683,2,MAT-01356,46,1,25204.872,USD
OR202303290000002655,1,MAT-00359,28,1,2035.152,USD
OR202303290000002655,2,MAT-00213,5,4,322.2,USD
OR202303290000002655,3,MAT-01180,12,1,6938.064,USD
OR202303290000002655,4,MAT-01189,38,2,17409.168,USD
OR202303290000002655,5,MAT-00893,38,4,9639.84,USD
OR202303290000003334,1,MAT-01489,24,2,8584.128,USD
OR202303290000005484,1,MAT-00782,27,5,5059.26,USD
OR202303290000005484,2,MAT-00293,15,4,4254.3,USD
OR202303290000005484,3,MAT-00201,38,3,12079.44,USD
OR202303290000005484,4,MAT-00068,38,3,3939.84,USD
OR202303290000004441,1,MAT-00668,27,4,14172.408,USD
OR202303290000004441,2,MAT-00011,39,2,985.14,USD
OR202303290000009707,1,MAT-01400,1,1,97.116,USD
OR202303290000005214,1,MAT-01194,46,5,12629.208,USD
OR202303290000005214,2,MAT-01002,29,4,3350.892,USD
OR202303290000005214,3,MAT-00241,8,3,3295.2,USD
OR202303290000005214,4,MAT-00910,45,1,6540.48,USD
OR202303290000005214,5,MAT-01222,47,5,9056.712,USD
OR202303300000004279,1,MAT-00194,45,4,25279.02,USD
OR202303300000004279,2,MAT-01419,36,1,7506,USD
OR202303300000004279,3,MAT-01084,28,4,11926.656,USD
OR202303300000004279,4,MAT-00633,39,5,21870.108,USD
OR202303300000004279,5,MAT-00046,23,3,4989.252,USD
OR202303300000008398,1,MAT-00893,16,4,4058.88,USD
OR202303300000008398,2,MAT-00019,18,1,8931.384,USD
OR202303300000008398,3,MAT-01420,7,3,2059.848,USD
OR202303300000008398,4,MAT-01126,50,3,4977.6,USD
OR202303300000008398,5,MAT-00564,46,5,1596.384,USD
OR202303300000008913,1,MAT-00813,37,3,13589.064,USD
OR202303300000008913,2,MAT-00962,41,3,16347.684,USD
OR202303300000009363,1,MAT-01432,31,4,1970.856,USD
OR202303300000009363,2,MAT-00733,41,2,13279.08,USD
OR202303300000009363,3,MAT-00862,19,2,6837.036,USD
OR202303300000007693,1,MAT-00876,37,4,7767.78,USD
OR202303300000007693,2,MAT-00461,22,1,3195.72,USD
OR202303300000007693,3,MAT-00294,25,5,664.5,USD
OR202303300000003791,1,MAT-01076,29,3,14168.472,USD
OR202303300000003791,2,MAT-00902,28,2,4948.608,USD
OR202303300000003791,3,MAT-01374,22,1,9901.056,USD
OR202303300000005630,1,MAT-01084,16,2,602.112,USD
OR202303300000005630,2,MAT-00003,32,3,12640.896,USD
OR202303300000003313,1,MAT-00611,26,4,9561.864,USD
OR202303300000003313,2,MAT-00392,47,4,26020.704,USD
OR202303300000003313,3,MAT-01061,1,1,537.924,USD
OR202303300000002626,1,MAT-00328,30,2,17563.68,USD
OR202303300000002626,2,MAT-00625,34,1,19967.52,USD
OR202303300000001660,1,MAT-00072,41,5,878.712,USD
OR202303300000001660,2,MAT-00552,1,4,411.672,USD
OR202303300000001660,3,MAT-00477,43,2,3849.876,USD
OR202303300000001660,4,MAT-01468,36,5,20834.496,USD
OR202303300000009406,1,MAT-00734,22,1,10464.432,USD
OR202303300000009205,1,MAT-01303,17,5,8946.828,USD
OR202303300000009205,2,MAT-00215,28,2,3026.016,USD
OR202303300000009205,3,MAT-00778,12,1,279.792,USD
OR202303300000003615,1,MAT-00588,49,2,23487.66,USD
OR202303300000009828,1,MAT-00888,28,2,12271.392,USD
OR202303300000009828,2,MAT-00011,49,1,20609.988,USD
OR202303300000009828,3,MAT-01301,30,1,13048.92,USD
OR202303300000008627,1,MAT-01423,37,2,11219.88,USD
OR202303300000008627,2,MAT-00133,17,1,8888.484,USD
OR202303300000003862,1,MAT-01028,8,5,3403.68,USD
OR202303300000003862,2,MAT-01073,10,3,1367.04,USD
OR202303300000007431,1,MAT-01453,46,5,5526.072,USD
OR202303300000007431,2,MAT-00128,49,1,15656.088,USD
OR202303300000007431,3,MAT-00880,31,3,14274.756,USD
OR202303300000007431,4,MAT-00047,37,3,3474.3,USD
OR202303300000007431,5,MAT-00829,6,3,1721.304,USD
OR202303300000007181,1,MAT-00913,1,4,249.84,USD
OR202303300000007181,2,MAT-00824,10,3,897.72,USD
OR202303300000004327,1,MAT-00725,27,2,8400.024,USD
OR202303300000004327,2,MAT-00654,8,2,4288.224,USD
OR202303300000004327,3,MAT-00384,28,4,13786.08,USD
OR202303300000004327,4,MAT-00565,32,5,3738.24,USD
OR202303310000003753,1,MAT-00793,26,3,4915.248,USD
OR202303310000003753,2,MAT-00513,22,5,12516.504,USD
OR202303310000003753,3,MAT-00916,33,3,3337.092,USD
OR202303310000003753,4,MAT-00229,24,3,9171.648,USD
OR202303310000002394,1,MAT-00468,3,3,1430.172,USD
OR202303310000002394,2,MAT-00893,27,3,4508.46,USD
OR202303310000002394,3,MAT-00846,11,3,1673.364,USD
OR202303310000007363,1,MAT-01350,3,4,631.44,USD
OR202303310000007363,2,MAT-01032,4,5,1001.664,USD
OR202303310000007363,3,MAT-00408,18,5,4205.952,USD
OR202303310000005722,1,MAT-01241,1,2,571.032,USD
OR202303310000005722,2,MAT-01090,38,3,7272.744,USD
OR202303310000006591,1,MAT-00118,26,3,1614.912,USD
OR202303310000006591,2,MAT-00601,28,3,15386.112,USD
OR202303310000006591,3,MAT-00309,17,5,7779.336,USD
OR202303310000006591,4,MAT-00892,6,1,813.312,USD
OR202303310000006591,5,MAT-00476,26,2,6518.616,USD
OR202303310000009684,1,MAT-01173,5,4,736.44,USD
OR202303310000005953,1,MAT-00578,25,5,7394.7,USD
OR202303310000005953,2,MAT-00814,11,4,3454.836,USD
OR202303310000005953,3,MAT-00451,1,3,508.356,USD
OR202303310000005953,4,MAT-01004,12,5,4211.424,USD
OR202303310000003706,1,MAT-01054,25,5,6218.7,USD
OR202303310000006425,1,MAT-00387,13,1,4689.672,USD
OR202303310000006425,2,MAT-00263,14,3,7424.928,USD
OR202303310000006425,3,MAT-00428,6,5,322.632,USD
OR202303310000006425,4,MAT-00972,23,4,5773.644,USD
OR202303310000007357,1,MAT-00290,3,3,801.9,USD
OR202303310000007357,2,MAT-00799,10,3,3472.92,USD
OR202303310000009412,1,MAT-00021,24,4,12062.304,USD
OR202303310000009412,2,MAT-00103,16,4,9127.872,USD
OR202303310000002844,1,MAT-01473,30,4,15334.2,USD
OR202303310000002844,2,MAT-00294,38,4,4365.744,USD
OR202303310000006864,1,MAT-00739,35,3,4416.72,USD
OR202303310000006864,2,MAT-01467,22,3,4395.072,USD
OR202303310000006864,3,MAT-00010,45,2,21516.3,USD
OR202303310000006864,4,MAT-00150,5,3,2297.64,USD
OR202303310000003405,1,MAT-00591,49,4,11260.2,USD
OR202303310000003405,2,MAT-00392,35,5,13398,USD
OR202303310000003405,3,MAT-00279,48,5,13427.712,USD
OR202303310000009554,1,MAT-01067,5,2,2155.56,USD
OR202303310000009554,2,MAT-00421,50,2,11637.6,USD
OR202303310000005552,1,MAT-00980,36,1,17455.392,USD
OR202303310000008451,1,MAT-00556,6,1,3552.696,USD
OR202303310000008451,2,MAT-00448,8,5,1159.104,USD
OR202303310000008451,3,MAT-00870,27,5,11171.844,USD
OR202303310000004437,1,MAT-01496,31,1,11898.048,USD
OR202303310000004437,2,MAT-01147,9,5,1167.048,USD
OR202304030000003345,1,MAT-00218,48,5,14678.208,USD
OR202304030000003345,2,MAT-01481,36,1,18417.456,USD
OR202304030000003345,3,MAT-01297,27,2,6248.664,USD
OR202304030000003345,4,MAT-01139,11,1,1750.584,USD
OR202304030000003345,5,MAT-00202,37,2,9308.904,USD
OR202304030000006253,1,MAT-00376,14,1,5177.592,USD
OR202304030000006253,2,MAT-00480,1,2,83.184,USD
OR202304030000006253,3,MAT-00145,16,5,1071.744,USD
OR202304030000002522,1,MAT-01295,39,1,1836.432,USD
OR202304030000002522,2,MAT-01435,44,1,18024.336,USD
OR202304030000006577,1,MAT-00563,17,2,1432.284,USD
OR202304030000006577,2,MAT-01370,7,4,230.496,USD
OR202304030000006577,3,MAT-00319,38,5,20126.016,USD
OR202304030000006577,4,MAT-00387,22,1,7936.368,USD
OR202304030000006577,5,MAT-00468,28,2,4324.32,USD
OR202304030000004608,1,MAT-01382,38,4,11980.032,USD
OR202304030000004608,2,MAT-01378,34,3,12281.208,USD
OR202304030000004608,3,MAT-01332,7,2,466.872,USD
OR202304030000004608,4,MAT-00696,48,4,17615.808,USD
OR202304030000004608,5,MAT-00843,37,1,13573.08,USD
OR202304030000003696,1,MAT-00343,29,1,16027.836,USD
OR202304030000003696,2,MAT-00601,33,3,18133.632,USD
OR202304030000008500,1,MAT-00666,24,1,14302.368,USD
OR202304030000009049,1,MAT-00066,48,2,6090.624,USD
OR202304030000003091,1,MAT-01271,25,1,14156.1,USD
OR202304030000003091,2,MAT-00952,10,4,143.88,USD
OR202304030000003091,3,MAT-00100,37,4,11036.952,USD
OR202304030000003091,4,MAT-00377,14,5,3021.312,USD
OR202304030000003091,5,MAT-00928,14,4,2776.032,USD
OR202304030000009817,1,MAT-00855,8,4,3211.776,USD
OR202304030000009817,2,MAT-00307,34,4,11834.856,USD
OR202304030000009817,3,MAT-01491,40,5,7348.32,USD
OR202304030000003187,1,MAT-00371,45,3,1350.54,USD
OR202304030000003187,2,MAT-00793,49,4,15719.592,USD
OR202304030000003187,3,MAT-00176,31,3,1056.48,USD
OR202304030000005354,1,MAT-00301,48,2,8976.384,USD
OR202304030000004425,1,MAT-00862,35,1,3249.12,USD
OR202304030000004425,2,MAT-00745,11,5,6052.728,USD
OR202304030000004425,3,MAT-00063,44,2,9960.192,USD
OR202304030000001003,1,MAT-00507,47,4,23116.668,USD
OR202304030000001003,2,MAT-00634,44,2,16256.592,USD
OR202304030000004561,1,MAT-01092,16,5,2060.736,USD
OR202304030000004561,2,MAT-01361,24,5,9582.912,USD
OR202304030000004561,3,MAT-00280,22,5,9099.816,USD
OR202304030000004561,4,MAT-00201,15,1,6023.7,USD
OR202304030000004561,5,MAT-00218,6,2,3007.296,USD
OR202304030000001228,1,MAT-00777,30,3,13949.64,USD
OR202304030000008733,1,MAT-00854,46,2,13352.328,USD
OR202304030000008733,2,MAT-01491,13,1,4918.68,USD
OR202304030000008733,3,MAT-00348,23,5,691.38,USD
OR202304030000001729,1,MAT-01368,50,3,11080.8,USD
OR202304030000007443,1,MAT-00202,30,2,7547.76,USD
OR202304030000007443,2,MAT-01153,4,1,888.288,USD
OR202304030000004108,1,MAT-01319,28,3,12819.072,USD
OR202304030000004108,2,MAT-01096,25,1,12488.1,USD
OR202304030000004108,3,MAT-01204,41,3,17112.744,USD
OR202304030000004108,4,MAT-00295,17,5,1408.416,USD
OR202304030000004108,5,MAT-01025,24,1,12546.72,USD
OR202304030000009901,1,MAT-00368,2,3,746.208,USD
OR202304030000009901,2,MAT-00748,9,4,1694.412,USD
OR202304030000009901,3,MAT-01401,22,4,12079.848,USD
OR202304030000009958,1,MAT-00527,11,3,4312.308,USD
OR202304030000005123,1,MAT-01437,2,5,246.96,USD
OR202304030000009459,1,MAT-00217,28,3,5176.752,USD
OR202304030000009459,2,MAT-00462,40,2,3321.12,USD
OR202304030000008604,1,MAT-00362,24,1,8163.936,USD
OR202304040000006643,1,MAT-00772,22,5,1708.344,USD
OR202304040000006643,2,MAT-00236,48,4,5817.024,USD
OR202304040000002013,1,MAT-01248,8,5,1647.168,USD
OR202304040000002013,2,MAT-00711,6,3,378.936,USD
OR202304040000002013,3,MAT-00403,16,1,6683.712,USD
OR202304040000002268,1,MAT-00919,13,1,6645.912,USD
OR202304040000005935,1,MAT-01151,6,5,3026.952,USD
OR202304040000005935,2,MAT-01471,13,1,1539.876,USD
OR202304040000009298,1,MAT-00264,29,2,9737.736,USD
OR202304040000009298,2,MAT-00450,17,4,3830.1,USD
OR202304040000009298,3,MAT-00259,3,2,1424.124,USD
OR202304040000009298,4,MAT-00331,21,4,4134.06,USD
OR202304040000009298,5,MAT-00339,9,5,5253.984,USD
OR202304040000005585,1,MAT-00257,19,4,3634.092,USD
OR202304040000005585,2,MAT-01263,28,1,10370.976,USD
OR202304040000005585,3,MAT-01317,30,4,8899.92,USD
OR202304040000005585,4,MAT-01146,9,4,647.784,USD
OR202304040000005585,5,MAT-00433,17,3,3234.828,USD
OR202304040000007743,1,MAT-01346,43,1,11732.808,USD
OR202304040000007743,2,MAT-01156,36,5,21418.992,USD
OR202304040000007743,3,MAT-01054,36,1,20217.168,USD
OR202304040000007743,4,MAT-00745,4,3,281.184,USD
OR202304040000003796,1,MAT-00428,28,1,4136.16,USD
OR202304040000003796,2,MAT-00141,48,1,3637.44,USD
OR202304040000009224,1,MAT-00914,46,4,19459.656,USD
OR202304040000009224,2,MAT-00845,19,1,10235.604,USD
OR202304040000009224,3,MAT-01259,13,1,7228.104,USD
OR202304040000009224,4,MAT-00411,35,3,1077.3,USD
OR202304040000007186,1,MAT-00966,18,1,10039.464,USD
OR202304040000007186,2,MAT-00117,5,1,1198.62,USD
OR202304040000003974,1,MAT-01082,45,4,15665.94,USD
OR202304040000009705,1,MAT-00777,44,4,22323.84,USD
OR202304040000006362,1,MAT-01392,19,5,2723.916,USD
OR202304040000006362,2,MAT-00427,50,4,20656.2,USD
OR202304040000003658,1,MAT-01306,42,3,22369.536,USD
OR202304040000003658,2,MAT-00444,35,4,19462.38,USD
OR202304040000003331,1,MAT-01158,9,4,4192.452,USD
OR202304040000003331,2,MAT-00510,44,1,24234.144,USD
OR202304040000003331,3,MAT-00583,9,3,4895.208,USD
OR202304040000003331,4,MAT-01344,17,4,2180.352,USD
OR202304040000003331,5,MAT-01318,17,5,4076.532,USD
OR202304040000009541,1,MAT-00913,20,1,5437.44,USD
OR202304040000009541,2,MAT-00769,47,3,2971.152,USD
OR202304040000009541,3,MAT-00396,5,1,2350.02,USD
OR202304040000009541,4,MAT-01245,41,5,5755.416,USD
OR202304040000009541,5,MAT-00010,27,5,7551.468,USD
OR202304040000002942,1,MAT-00718,11,2,1595.352,USD
OR202304040000002942,2,MAT-00562,50,4,19496.4,USD
OR202304040000002942,3,MAT-00461,9,1,1307.34,USD
OR202304040000002942,4,MAT-00696,32,2,18577.152,USD
OR202304040000001046,1,MAT-00097,25,3,9771.3,USD
OR202304040000001046,2,MAT-01141,27,1,9478.944,USD
OR202304040000001046,3,MAT-00753,7,5,1842.96,USD
OR202304040000001718,1,MAT-00683,36,5,11087.712,USD
OR202304040000001718,2,MAT-00704,25,5,8805.3,USD
OR202304040000001718,3,MAT-01265,44,5,17680.08,USD
OR202304050000009618,1,MAT-00719,39,5,19955.52,USD
OR202304050000009618,2,MAT-01450,41,4,13886.7,USD
OR202304050000009618,3,MAT-00170,11,5,3828,USD
OR202304050000009618,4,MAT-00942,33,1,13397.076,USD
OR202304050000007225,1,MAT-01104,11,1,2591.82,USD
OR202304050000007225,2,MAT-00267,42,5,6591.312,USD
OR202304050000007225,3,MAT-01158,42,2,10125.864,USD
OR202304050000007225,4,MAT-00016,25,4,6294.9,USD
OR202304050000001596,1,MAT-01118,19,3,2614.704,USD
OR202304050000001596,2,MAT-00640,18,5,7974.72,USD
OR202304050000001596,3,MAT-00328,46,4,25714.92,USD
OR202304050000001596,4,MAT-01218,2,1,233.112,USD
OR202304050000001596,5,MAT-01333,23,3,6822.168,USD
OR202304050000006682,1,MAT-01253,41,1,20623.656,USD
OR202304050000006682,2,MAT-00211,18,5,1190.376,USD
OR202304050000004570,1,MAT-01032,24,2,8420.256,USD
OR202304050000004570,2,MAT-00330,23,2,5162.304,USD
OR202304050000004570,3,MAT-01387,8,2,3481.728,USD
OR202304050000004570,4,MAT-01452,40,1,15473.76,USD
OR202304050000004570,5,MAT-00892,35,3,10589.04,USD
OR202304050000007780,1,MAT-00562,10,3,2895.96,USD
OR202304050000007780,2,MAT-01284,44,4,19341.696,USD
OR202304050000007780,3,MAT-00498,16,5,4496.256,USD
OR202304050000008514,1,MAT-01270,6,3,2411.784,USD
OR202304050000008514,2,MAT-00397,33,4,16260.156,USD
OR202304050000008514,3,MAT-00576,38,1,18052.128,USD
OR202304050000008514,4,MAT-00689,17,5,8321.772,USD
OR202304050000005379,1,MAT-01032,4,5,1001.664,USD
OR202304050000005379,2,MAT-00039,35,3,20740.02,USD
OR202304050000006723,1,MAT-00986,49,4,9268.644,USD
OR202304050000006723,2,MAT-00049,38,5,3725.976,USD
OR202304050000006723,3,MAT-00626,4,3,381.792,USD
OR202304050000002142,1,MAT-00193,35,4,8046.36,USD
OR202304050000001330,1,MAT-00256,48,5,23616.576,USD
OR202304050000001330,2,MAT-00097,11,4,3703.128,USD
OR202304050000001330,3,MAT-00265,32,1,4207.104,USD
OR202304050000001330,4,MAT-01488,4,5,804.288,USD
OR202304050000002200,1,MAT-00321,20,5,9822.72,USD
OR202304050000002200,2,MAT-01135,25,2,1747.2,USD
OR202304050000002200,3,MAT-00644,18,5,2747.52,USD
OR202304050000002200,4,MAT-01278,2,5,70.224,USD
OR202304050000002200,5,MAT-00261,45,2,10925.28,USD
OR202304050000006440,1,MAT-00336,13,1,376.896,USD
OR202304050000006440,2,MAT-00529,45,1,3036.96,USD
OR202304050000006440,3,MAT-00106,17,4,9720.192,USD
OR202304050000006440,4,MAT-00707,37,4,19766.88,USD
OR202304050000006440,5,MAT-00337,50,2,12256.8,USD
OR202304050000004433,1,MAT-00614,30,3,12522.24,USD
OR202304050000004433,2,MAT-01201,9,2,1389.528,USD
OR202304050000007592,1,MAT-00323,6,4,3269.88,USD
OR202304050000007592,2,MAT-01141,17,4,1339.668,USD
OR202304050000007592,3,MAT-00744,39,4,753.012,USD
OR202304050000005900,1,MAT-00326,33,1,11004.444,USD
OR202304050000007335,1,MAT-01415,16,2,2747.52,USD
OR202304050000007335,2,MAT-01100,20,3,692.16,USD
OR202304050000007335,3,MAT-00563,49,1,12911.892,USD
OR202304050000007335,4,MAT-01210,2,4,386.592,USD
OR202304050000005773,1,MAT-01083,45,2,9825.3,USD
OR202304050000005773,2,MAT-01282,20,4,3416.16,USD
OR202304050000005773,3,MAT-00609,25,1,14781.3,USD
OR202304050000005773,4,MAT-00810,23,3,7827.084,USD
OR202304050000002800,1,MAT-00684,11,2,4909.212,USD
OR202304050000002688,1,MAT-00401,38,2,19326.192,USD
OR202304050000002688,2,MAT-01442,46,5,24140.616,USD
OR202304050000002688,3,MAT-01256,5,4,771.54,USD
OR202304050000002438,1,MAT-01166,27,2,5897.124,USD
OR202304050000002438,2,MAT-01124,47,1,20429.772,USD
OR202304050000002438,3,MAT-00777,49,4,24860.64,USD
OR202304050000002438,4,MAT-01481,2,3,349.392,USD
OR202304050000002438,5,MAT-01267,49,3,13032.432,USD
OR202304050000003364,1,MAT-00223,36,1,15251.76,USD
OR202304050000003364,2,MAT-00697,10,3,297.6,USD
OR202304050000003364,3,MAT-00065,34,3,19477.104,USD
OR202304050000005888,1,MAT-00703,39,4,18341.856,USD
OR202304050000005888,2,MAT-01074,47,5,12231.468,USD
OR202304050000005888,3,MAT-00224,7,1,2309.16,USD
OR202304050000004231,1,MAT-00653,47,3,7873.44,USD
OR202304050000004231,2,MAT-00429,3,1,321.588,USD
OR202304050000004231,3,MAT-00957,15,1,5842.8,USD
OR202304050000004231,4,MAT-00892,21,2,4607.568,USD
OR202304050000009176,1,MAT-00439,14,1,8117.592,USD
OR202304050000009176,2,MAT-00637,29,5,7225.176,USD
OR202304050000009176,3,MAT-00232,42,1,12726,USD
OR202304050000009176,4,MAT-00551,24,3,11081.376,USD
OR202304060000007646,1,MAT-01351,10,4,4605.84,USD
OR202304060000001914,1,MAT-00890,5,1,1905.42,USD
OR202304060000001914,2,MAT-00704,35,3,1086.54,USD
OR202304060000001067,1,MAT-00319,47,3,15338.544,USD
OR202304060000001067,2,MAT-00024,21,1,5461.848,USD
OR202304060000001067,3,MAT-00448,41,2,7939.896,USD
OR202304060000001067,4,MAT-00922,48,2,4530.816,USD
OR202304060000001067,5,MAT-01379,34,1,5267.688,USD
OR202304060000009589,1,MAT-00398,19,5,9969.072,USD
OR202304060000009589,2,MAT-01420,37,5,8280.156,USD
OR202304060000009589,3,MAT-00538,16,4,1880.448,USD
OR202304060000009589,4,MAT-00370,21,2,9944.172,USD
OR202304060000009589,5,MAT-01088,18,4,2985.552,USD
OR202304060000001605,1,MAT-01178,17,2,4250.952,USD
OR202304060000002627,1,MAT-01006,22,3,9551.256,USD
OR202304060000002627,2,MAT-01288,28,3,13675.872,USD
OR202304060000002627,3,MAT-00017,32,1,2973.696,USD
OR202304060000002627,4,MAT-01228,5,2,2779.68,USD
OR202304060000008779,1,MAT-00214,1,1,559.2,USD
OR202304060000008779,2,MAT-00182,30,5,5363.64,USD
OR202304060000008779,3,MAT-01148,29,4,13193.028,USD
OR202304060000008779,4,MAT-01202,32,5,17608.704,USD
OR202304060000008779,5,MAT-00102,46,3,14105.256,USD
OR202304060000007070,1,MAT-00695,1,3,233.82,USD
OR202304060000007070,2,MAT-00607,13,2,3629.028,USD
OR202304060000007070,3,MAT-00389,31,4,4414.524,USD
OR202304060000007070,4,MAT-00515,33,3,16061.76,USD
OR202304060000003494,1,MAT-01174,1,4,267.576,USD
OR202304060000003494,2,MAT-00371,29,1,11979.552,USD
OR202304060000003494,3,MAT-00784,49,3,7788.648,USD
OR202304060000003494,4,MAT-01399,20,1,2517.84,USD
OR202304060000004856,1,MAT-00934,35,4,19814.34,USD
OR202304060000005209,1,MAT-01311,38,5,19062.624,USD
OR202304060000007223,1,MAT-00257,45,2,5836.86,USD
OR202304060000009612,1,MAT-01355,32,2,13155.84,USD
OR202304060000009612,2,MAT-01318,45,5,10790.82,USD
OR202304060000003669,1,MAT-01182,8,2,4569.888,USD
OR202304060000003669,2,MAT-01236,36,5,17477.856,USD
OR202304060000003669,3,MAT-01406,27,3,11498.76,USD
OR202304060000003669,4,MAT-00690,26,1,3783.624,USD
OR202304060000003669,5,MAT-00632,11,4,6447.54,USD
