preceding_doc,preceding_item,subsequent_doc,subsequent_item,document_category,quantity,date
OR202305300000008188,3,DL202305300000002721,3,C,6,30-05-2023
OR202305300000008188,4,DL202305300000005398,4,C,43,30-05-2023
OR202305300000008188,5,DL202305300000002085,5,C,20,30-05-2023
OR202305300000006157,1,DL202305300000009098,1,C,46,30-05-2023
OR202305300000006157,2,DL202305300000004299,2,C,29,30-05-2023
OR202305300000006157,3,DL202305300000004422,3,C,50,30-05-2023
OR202305300000008623,1,DL202305300000002238,1,C,33,30-05-2023
OR202305300000008623,2,DL202305300000002478,2,C,41,30-05-2023
OR202305300000008623,3,DL202305300000008271,3,C,20,30-05-2023
OR202305300000008623,4,DL202305300000007403,4,C,41,30-05-2023
DL202305300000007403,4,BODL202305300000007403,4,N,17,31-05-2023
OR202305300000008623,5,DL202305300000003037,5,C,35,30-05-2023
OR202305300000005105,1,DL202305300000005318,1,C,10,30-05-2023
OR202305300000005105,2,DL202305300000008480,2,C,1,30-05-2023
DL202305300000008480,2,BODL202305300000008480,2,N,1,31-05-2023
OR202305300000005105,3,DL202305300000007758,3,C,14,30-05-2023
OR202305300000005105,4,DL202305300000006877,4,C,7,30-05-2023
OR202305300000005105,5,DL202305300000005067,5,C,12,30-05-2023
OR202305300000007519,1,DL202305300000009422,1,C,29,30-05-2023
OR202305300000007519,2,DL202305300000003516,2,C,24,30-05-2023
OR202305300000007519,3,DL202305300000006260,3,C,5,30-05-2023
DL202305300000006260,3,BODL202305300000006260,3,N,2,31-05-2023
OR202305300000007519,4,DL202305300000003200,4,C,26,30-05-2023
OR202305300000007519,5,DL202305300000006699,5,C,15,30-05-2023
OR202305300000009844,1,DL202305300000001188,1,C,21,30-05-2023
OR202305300000009844,2,DL202305300000005842,2,C,14,30-05-2023
OR202305300000009844,3,DL202305300000009935,3,C,36,30-05-2023
DL202305300000009935,3,BODL202305300000009935,3,N,15,31-05-2023
OR202305300000009844,4,DL202305300000008015,4,C,14,30-05-2023
DL202305300000008015,4,BODL202305300000008015,4,N,1,31-05-2023
OR202305300000009844,5,DL202305300000008869,5,C,25,30-05-2023
OR202305300000009775,1,DL202305300000005744,1,C,44,30-05-2023
DL202305300000005744,1,BODL202305300000005744,1,N,23,31-05-2023
OR202305300000009775,2,DL202305300000005774,2,C,10,30-05-2023
OR202305300000006258,1,DL202305300000003312,1,C,40,30-05-2023
OR202305300000006258,2,DL202305300000003227,2,C,45,30-05-2023
DL202305300000003227,2,BODL202305300000003227,2,N,45,31-05-2023
OR202305300000006258,3,DL202305300000001395,3,C,6,30-05-2023
OR202305300000006258,4,DL202305300000008966,4,C,23,30-05-2023
OR202305300000003430,1,DL202305300000008676,1,C,14,30-05-2023
OR202305300000005842,1,DL202305300000004040,1,C,35,30-05-2023
OR202305300000005842,2,DL202305300000005966,2,C,48,30-05-2023
DL202305300000005966,2,BODL202305300000005966,2,N,48,31-05-2023
OR202305300000005842,3,DL202305300000004015,3,C,38,30-05-2023
OR202305300000005842,4,DL202305300000001506,4,C,29,30-05-2023
DL202305300000001506,4,BODL202305300000001506,4,N,24,31-05-2023
OR202305300000005842,5,DL202305300000002941,5,C,47,30-05-2023
DL202305300000002941,5,BODL202305300000002941,5,N,24,31-05-2023
OR202305300000005086,1,DL202305300000008890,1,C,40,30-05-2023
OR202305300000005086,2,DL202305300000001466,2,C,13,30-05-2023
DL202305300000001466,2,BODL202305300000001466,2,N,4,31-05-2023
OR202305300000005086,3,DL202305300000002975,3,C,28,30-05-2023
OR202305300000005086,4,DL202305300000004544,4,C,15,30-05-2023
OR202305300000005086,5,DL202305300000007373,5,C,40,30-05-2023
OR202305300000008003,1,DL202305300000005130,1,C,42,30-05-2023
OR202305300000008003,2,DL202305300000002195,2,C,20,30-05-2023
OR202305300000008726,1,DL202305300000003796,1,C,28,30-05-2023
OR202305300000008726,2,DL202305300000007639,2,C,12,30-05-2023
OR202305300000008726,3,DL202305300000006434,3,C,9,30-05-2023
OR202305300000008726,4,DL202305300000001878,4,C,10,30-05-2023
OR202305310000008027,1,DL202305310000001555,1,C,47,31-05-2023
OR202305310000008027,2,DL202305310000004651,2,C,19,31-05-2023
OR202305310000002229,1,DL202305310000003548,1,C,27,31-05-2023
OR202305310000002229,2,DL202305310000005956,2,C,11,31-05-2023
DL202305310000005956,2,BODL202305310000005956,2,N,11,01-06-2023
OR202305310000002229,3,DL202305310000002247,3,C,21,31-05-2023
OR202305310000002229,4,DL202305310000009037,4,C,37,31-05-2023
OR202305310000005400,1,DL202305310000001122,1,C,50,31-05-2023
OR202305310000005400,2,DL202305310000008736,2,C,43,31-05-2023
OR202305310000005400,3,DL202305310000007135,3,C,35,31-05-2023
OR202305310000005400,4,DL202305310000006492,4,C,11,31-05-2023
OR202305310000001346,1,DL202305310000005438,1,C,33,31-05-2023
DL202305310000005438,1,BODL202305310000005438,1,N,33,01-06-2023
OR202305310000006595,1,DL202305310000006339,1,C,20,31-05-2023
DL202305310000006339,1,BODL202305310000006339,1,N,12,01-06-2023
OR202305310000006595,2,DL202305310000009302,2,C,27,31-05-2023
OR202305310000003814,1,DL202305310000003021,1,C,16,31-05-2023
DL202305310000003021,1,BODL202305310000003021,1,N,11,01-06-2023
OR202305310000003814,2,DL202305310000002834,2,C,15,31-05-2023
OR202305310000007280,1,DL202305310000002160,1,C,41,31-05-2023
OR202305310000007280,2,DL202305310000003188,2,C,45,31-05-2023
OR202305310000001512,1,DL202305310000002917,1,C,29,31-05-2023
OR202305310000001512,2,DL202305310000005336,2,C,7,31-05-2023
OR202305310000001512,3,DL202305310000001632,3,C,13,31-05-2023
OR202305310000001512,4,DL202305310000007724,4,C,5,31-05-2023
OR202305310000007441,1,DL202305310000008753,1,C,31,31-05-2023
OR202305310000007441,2,DL202305310000008879,2,C,43,31-05-2023
OR202305310000007441,3,DL202305310000005961,3,C,39,31-05-2023
OR202305310000007441,4,DL202305310000008029,4,C,38,31-05-2023
DL202305310000008029,4,BODL202305310000008029,4,N,20,01-06-2023
OR202305310000007441,5,DL202305310000007266,5,C,30,31-05-2023
OR202305310000001381,1,DL202305310000003416,1,C,2,31-05-2023
OR202305310000001381,2,DL202305310000006891,2,C,13,31-05-2023
OR202305310000001381,3,DL202305310000008193,3,C,40,31-05-2023
OR202305310000008460,1,DL202305310000008034,1,C,7,31-05-2023
OR202305310000008460,2,DL202305310000001074,2,C,20,31-05-2023
OR202305310000006981,1,DL202305310000008129,1,C,50,31-05-2023
OR202305310000006981,2,DL202305310000003744,2,C,23,31-05-2023
OR202305310000002871,1,DL202305310000002608,1,C,31,31-05-2023
OR202305310000002871,2,DL202305310000001836,2,C,34,31-05-2023
OR202305310000002871,3,DL202305310000003125,3,C,32,31-05-2023
OR202305310000002871,4,DL202305310000004426,4,C,35,31-05-2023
OR202305310000008682,1,DL202305310000009629,1,C,24,31-05-2023
OR202305310000008682,2,DL202305310000007743,2,C,26,31-05-2023
DL202305310000007743,2,BODL202305310000007743,2,N,22,01-06-2023
OR202305310000008682,3,DL202305310000009582,3,C,21,31-05-2023
OR202305310000008682,4,DL202305310000007636,4,C,36,31-05-2023
OR202305310000007938,1,DL202305310000003200,1,C,8,31-05-2023
OR202305310000002705,1,DL202305310000004543,1,C,27,31-05-2023
OR202305310000002705,2,DL202305310000006516,2,C,30,31-05-2023
OR202305310000002705,3,DL202305310000009220,3,C,24,31-05-2023
OR202306010000004281,1,DL202306010000007767,1,C,46,01-06-2023
OR202306010000004281,2,DL202306010000001542,2,C,13,01-06-2023
OR202306010000004281,3,DL202306010000003697,3,C,41,01-06-2023
OR202306010000004281,4,DL202306010000006286,4,C,33,01-06-2023
OR202306010000004281,5,DL202306010000005945,5,C,10,01-06-2023
DL202306010000005945,5,BODL202306010000005945,5,N,6,02-06-2023
OR202306010000009167,1,DL202306010000003311,1,C,4,01-06-2023
OR202306010000009167,2,DL202306010000003291,2,C,7,01-06-2023
OR202306010000009167,3,DL202306010000005086,3,C,42,01-06-2023
OR202306010000009167,4,DL202306010000007160,4,C,16,01-06-2023
OR202306010000009167,5,DL202306010000006384,5,C,12,01-06-2023
OR202306010000002798,1,DL202306010000005150,1,C,25,01-06-2023
OR202306010000002798,2,DL202306010000008714,2,C,35,01-06-2023
OR202306010000002798,3,DL202306010000005649,3,C,30,01-06-2023
DL202306010000005649,3,BODL202306010000005649,3,N,7,02-06-2023
OR202306010000002798,4,DL202306010000002312,4,C,50,01-06-2023
OR202306010000009035,1,DL202306010000008519,1,C,42,01-06-2023
OR202306010000009035,2,DL202306010000001051,2,C,38,01-06-2023
DL202306010000001051,2,BODL202306010000001051,2,N,19,02-06-2023
OR202306010000009035,3,DL202306010000008375,3,C,9,01-06-2023
OR202306010000006738,1,DL202306010000005600,1,C,49,01-06-2023
OR202306010000002935,1,DL202306010000007718,1,C,24,01-06-2023
DL202306010000007718,1,BODL202306010000007718,1,N,16,02-06-2023
OR202306010000002935,2,DL202306010000005894,2,C,48,01-06-2023
OR202306010000002935,3,DL202306010000008354,3,C,13,01-06-2023
OR202306010000002935,4,DL202306010000006257,4,C,13,01-06-2023
OR202306010000002935,5,DL202306010000009136,5,C,15,01-06-2023
OR202306010000008362,1,DL202306010000004830,1,C,23,01-06-2023
OR202306010000008362,2,DL202306010000004630,2,C,22,01-06-2023
OR202306010000004041,1,DL202306010000004644,1,C,23,01-06-2023
DL202306010000004644,1,BODL202306010000004644,1,N,18,02-06-2023
OR202306010000004041,2,DL202306010000005527,2,C,47,01-06-2023
OR202306010000004041,3,DL202306010000003100,3,C,40,01-06-2023
OR202306010000004041,4,DL202306010000004840,4,C,22,01-06-2023
OR202306010000007232,1,DL202306010000004186,1,C,6,01-06-2023
OR202306010000007232,2,DL202306010000006453,2,C,42,01-06-2023
OR202306010000007740,1,DL202306010000005980,1,C,19,01-06-2023
OR202306010000007740,2,DL202306010000008827,2,C,10,01-06-2023
OR202306010000007740,3,DL202306010000005974,3,C,21,01-06-2023
OR202306010000007740,4,DL202306010000004518,4,C,26,01-06-2023
OR202306010000004332,1,DL202306010000008984,1,C,28,01-06-2023
OR202306010000004332,2,DL202306010000005438,2,C,24,01-06-2023
OR202306010000004332,3,DL202306010000009345,3,C,5,01-06-2023
DL202306010000009345,3,BODL202306010000009345,3,N,4,02-06-2023
OR202306010000004332,4,DL202306010000003570,4,C,43,01-06-2023
OR202306010000007248,1,DL202306010000006944,1,C,16,01-06-2023
OR202306010000007248,2,DL202306010000008941,2,C,26,01-06-2023
OR202306010000007248,3,DL202306010000004771,3,C,27,01-06-2023
OR202306010000007248,4,DL202306010000006486,4,C,17,01-06-2023
DL202306010000006486,4,BODL202306010000006486,4,N,1,02-06-2023
OR202306010000003067,1,DL202306010000002978,1,C,16,01-06-2023
OR202306010000003067,2,DL202306010000007981,2,C,44,01-06-2023
DL202306010000007981,2,BODL202306010000007981,2,N,20,02-06-2023
OR202306010000003067,3,DL202306010000005706,3,C,12,01-06-2023
OR202306010000003067,4,DL202306010000001718,4,C,34,01-06-2023
OR202306010000005184,1,DL202306010000009921,1,C,16,01-06-2023
OR202306010000005184,2,DL202306010000003130,2,C,31,01-06-2023
DL202306010000003130,2,BODL202306010000003130,2,N,31,02-06-2023
OR202306010000005184,3,DL202306010000006965,3,C,37,01-06-2023
OR202306010000005184,4,DL202306010000005350,4,C,46,01-06-2023
DL202306010000005350,4,BODL202306010000005350,4,N,46,02-06-2023
OR202306010000005184,5,DL202306010000001689,5,C,9,01-06-2023
OR202306010000001079,1,DL202306010000005421,1,C,20,01-06-2023
OR202306010000009349,1,DL202306010000007767,1,C,46,01-06-2023
OR202306010000009349,2,DL202306010000005768,2,C,43,01-06-2023
OR202306010000002015,1,DL202306010000004167,1,C,3,01-06-2023
OR202306010000002015,2,DL202306010000002902,2,C,27,01-06-2023
OR202306010000002015,3,DL202306010000002327,3,C,8,01-06-2023
OR202306010000002015,4,DL202306010000006440,4,C,48,01-06-2023
DL202306010000006440,4,BODL202306010000006440,4,N,48,02-06-2023
OR202306010000008386,1,DL202306010000006379,1,C,22,01-06-2023
OR202306010000008386,2,DL202306010000008416,2,C,42,01-06-2023
OR202306010000008386,3,DL202306010000004515,3,C,2,01-06-2023
OR202306010000008386,4,DL202306010000003674,4,C,27,01-06-2023
OR202306010000008386,5,DL202306010000002884,5,C,22,01-06-2023
DL202306010000002884,5,BODL202306010000002884,5,N,19,02-06-2023
OR202306010000009804,1,DL202306010000006094,1,C,21,01-06-2023
DL202306010000006094,1,BODL202306010000006094,1,N,5,02-06-2023
OR202306020000002272,1,DL202306020000006685,1,C,41,02-06-2023
OR202306020000002272,2,DL202306020000007442,2,C,19,02-06-2023
OR202306020000002272,3,DL202306020000008100,3,C,21,02-06-2023
OR202306020000002272,4,DL202306020000002002,4,C,11,02-06-2023
OR202306020000001831,1,DL202306020000006331,1,C,45,02-06-2023
OR202306020000001831,2,DL202306020000005406,2,C,46,02-06-2023
OR202306020000001831,3,DL202306020000001175,3,C,20,02-06-2023
OR202306020000001831,4,DL202306020000007529,4,C,21,02-06-2023
OR202306020000003535,1,DL202306020000003428,1,C,8,02-06-2023
OR202306020000003535,2,DL202306020000003532,2,C,1,02-06-2023
OR202306020000003535,3,DL202306020000006049,3,C,30,02-06-2023
OR202306020000002866,1,DL202306020000004461,1,C,15,02-06-2023
OR202306020000002866,2,DL202306020000001451,2,C,31,02-06-2023
DL202306020000001451,2,BODL202306020000001451,2,N,31,03-06-2023
OR202306020000002866,3,DL202306020000004023,3,C,44,02-06-2023
OR202306020000002866,4,DL202306020000008471,4,C,27,02-06-2023
OR202306020000003832,1,DL202306020000001218,1,C,11,02-06-2023
OR202306020000003832,2,DL202306020000008244,2,C,32,02-06-2023
OR202306020000008342,1,DL202306020000005603,1,C,39,02-06-2023
OR202306020000008342,2,DL202306020000002722,2,C,9,02-06-2023
OR202306020000008342,3,DL202306020000003001,3,C,2,02-06-2023
DL202306020000003001,3,BODL202306020000003001,3,N,2,03-06-2023
OR202306020000008342,4,DL202306020000003753,4,C,15,02-06-2023
OR202306020000005840,1,DL202306020000005261,1,C,29,02-06-2023
OR202306020000005840,2,DL202306020000007282,2,C,17,02-06-2023
DL202306020000007282,2,BODL202306020000007282,2,N,14,03-06-2023
OR202306020000002775,1,DL202306020000009141,1,C,18,02-06-2023
OR202306020000002775,2,DL202306020000006777,2,C,34,02-06-2023
OR202306020000002775,3,DL202306020000003159,3,C,49,02-06-2023
OR202306020000002585,1,DL202306020000002976,1,C,26,02-06-2023
OR202306020000002585,2,DL202306020000008938,2,C,17,02-06-2023
OR202306020000002585,3,DL202306020000002817,3,C,3,02-06-2023
DL202306020000002817,3,BODL202306020000002817,3,N,1,03-06-2023
OR202306020000002585,4,DL202306020000002563,4,C,22,02-06-2023
OR202306020000002585,5,DL202306020000008316,5,C,22,02-06-2023
OR202306020000009158,1,DL202306020000008749,1,C,25,02-06-2023
OR202306020000009158,2,DL202306020000006993,2,C,8,02-06-2023
DL202306020000006993,2,BODL202306020000006993,2,N,2,03-06-2023
OR202306020000009158,3,DL202306020000007993,3,C,7,02-06-2023
OR202306020000002096,1,DL202306020000001998,1,C,21,02-06-2023
OR202306020000002096,2,DL202306020000006513,2,C,19,02-06-2023
OR202306020000004610,1,DL202306020000008126,1,C,47,02-06-2023
OR202306020000004610,2,DL202306020000007668,2,C,26,02-06-2023
OR202306020000004610,3,DL202306020000007461,3,C,18,02-06-2023
OR202306020000004610,4,DL202306020000007488,4,C,22,02-06-2023
OR202306020000008045,1,DL202306020000004377,1,C,27,02-06-2023
OR202306020000002094,1,DL202306020000004146,1,C,28,02-06-2023
OR202306020000007676,1,DL202306020000009278,1,C,27,02-06-2023
DL202306020000009278,1,BODL202306020000009278,1,N,25,03-06-2023
OR202306020000007676,2,DL202306020000009140,2,C,46,02-06-2023
OR202306020000007676,3,DL202306020000006610,3,C,42,02-06-2023
OR202306020000007676,4,DL202306020000007843,4,C,42,02-06-2023
OR202306020000007676,5,DL202306020000005936,5,C,4,02-06-2023
OR202306020000002539,1,DL202306020000007289,1,C,35,02-06-2023
OR202306020000002539,2,DL202306020000006258,2,C,46,02-06-2023
DL202306020000006258,2,BODL202306020000006258,2,N,18,03-06-2023
OR202306020000002539,3,DL202306020000006478,3,C,15,02-06-2023
OR202306020000006494,1,DL202306020000003320,1,C,1,02-06-2023
DL202306020000003320,1,BODL202306020000003320,1,N,1,03-06-2023
OR202306020000006494,2,DL202306020000003764,2,C,22,02-06-2023
OR202306020000006494,3,DL202306020000009271,3,C,21,02-06-2023
OR202306020000006494,4,DL202306020000007923,4,C,32,02-06-2023
OR202306020000002091,1,DL202306020000005405,1,C,1,02-06-2023
OR202306020000002091,2,DL202306020000008617,2,C,9,02-06-2023
DL202306020000008617,2,BODL202306020000008617,2,N,2,03-06-2023
OR202306020000002091,3,DL202306020000007363,3,C,17,02-06-2023
OR202306020000001159,1,DL202306020000005155,1,C,40,02-06-2023
OR202306020000001159,2,DL202306020000002859,2,C,6,02-06-2023
OR202306020000001159,3,DL202306020000001839,3,C,35,02-06-2023
OR202306020000001159,4,DL202306020000001102,4,C,36,02-06-2023
OR202306020000009522,1,DL202306020000004828,1,C,2,02-06-2023
OR202306020000009522,2,DL202306020000002733,2,C,31,02-06-2023
OR202306020000009522,3,DL202306020000007841,3,C,39,02-06-2023
OR202306020000009623,1,DL202306020000003652,1,C,49,02-06-2023
OR202306020000009623,2,DL202306020000007469,2,C,40,02-06-2023
OR202306020000009623,3,DL202306020000005225,3,C,30,02-06-2023
OR202306020000004301,1,DL202306020000006297,1,C,34,02-06-2023
OR202306020000004301,2,DL202306020000006521,2,C,48,02-06-2023
OR202306020000004301,3,DL202306020000008389,3,C,14,02-06-2023
DL202306020000008389,3,BODL202306020000008389,3,N,14,03-06-2023
OR202306020000004301,4,DL202306020000009443,4,C,33,02-06-2023
DL202306020000009443,4,BODL202306020000009443,4,N,22,03-06-2023
OR202306020000007348,1,DL202306020000007795,1,C,7,02-06-2023
OR202306020000007348,2,DL202306020000008118,2,C,4,02-06-2023
DL202306020000008118,2,BODL202306020000008118,2,N,3,03-06-2023
OR202306020000007348,3,DL202306020000008414,3,C,21,02-06-2023
OR202306020000004373,1,DL202306020000002434,1,C,9,02-06-2023
DL202306020000002434,1,BODL202306020000002434,1,N,9,03-06-2023
OR202306020000004373,2,DL202306020000002288,2,C,37,02-06-2023
DL202306020000002288,2,BODL202306020000002288,2,N,29,03-06-2023
OR202306020000004373,3,DL202306020000001244,3,C,27,02-06-2023
OR202306020000004373,4,DL202306020000003922,4,C,31,02-06-2023
OR202306020000008804,1,DL202306020000001242,1,C,44,02-06-2023
DL202306020000001242,1,BODL202306020000001242,1,N,44,03-06-2023
OR202306020000008804,2,DL202306020000007514,2,C,5,02-06-2023
OR202306020000001193,1,DL202306020000006789,1,C,41,02-06-2023
OR202306020000001193,2,DL202306020000005823,2,C,37,02-06-2023
OR202306020000001193,3,DL202306020000007941,3,C,30,02-06-2023
OR202306020000001193,4,DL202306020000005351,4,C,41,02-06-2023
OR202306020000001193,5,DL202306020000008556,5,C,32,02-06-2023
OR202306020000001049,1,DL202306020000002694,1,C,50,02-06-2023
DL202306020000002694,1,BODL202306020000002694,1,N,44,03-06-2023
OR202306020000001049,2,DL202306020000002912,2,C,27,02-06-2023
OR202306020000001049,3,DL202306020000005271,3,C,13,02-06-2023
OR202306020000001049,4,DL202306020000004549,4,C,25,02-06-2023
DL202306020000004549,4,BODL202306020000004549,4,N,21,03-06-2023
OR202306020000007117,1,DL202306020000004592,1,C,32,02-06-2023
OR202306020000007117,2,DL202306020000003215,2,C,33,02-06-2023
OR202306020000007117,3,DL202306020000008088,3,C,1,02-06-2023
OR202306020000007117,4,DL202306020000005449,4,C,25,02-06-2023
DL202306020000005449,4,BODL202306020000005449,4,N,16,03-06-2023
OR202306020000007117,5,DL202306020000008596,5,C,29,02-06-2023
OR202306020000005960,1,DL202306020000007044,1,C,22,02-06-2023
OR202306020000005960,2,DL202306020000009300,2,C,21,02-06-2023
OR202306050000002478,1,DL202306050000009061,1,C,7,05-06-2023
OR202306050000003935,1,DL202306050000002888,1,C,22,05-06-2023
OR202306050000003935,2,DL202306050000003649,2,C,10,05-06-2023
OR202306050000003935,3,DL202306050000006391,3,C,25,05-06-2023
OR202306050000003935,4,DL202306050000002441,4,C,25,05-06-2023
OR202306050000001280,1,DL202306050000008535,1,C,49,05-06-2023
DL202306050000008535,1,BODL202306050000008535,1,N,41,06-06-2023
OR202306050000001280,2,DL202306050000004421,2,C,2,05-06-2023
OR202306050000009833,1,DL202306050000003318,1,C,21,05-06-2023
DL202306050000003318,1,BODL202306050000003318,1,N,15,06-06-2023
OR202306050000009833,2,DL202306050000009148,2,C,21,05-06-2023
OR202306050000009833,3,DL202306050000002747,3,C,35,05-06-2023
OR202306050000009833,4,DL202306050000009830,4,C,37,05-06-2023
OR202306050000009833,5,DL202306050000009263,5,C,20,05-06-2023
OR202306050000007398,1,DL202306050000007841,1,C,45,05-06-2023
OR202306050000007398,2,DL202306050000007318,2,C,29,05-06-2023
OR202306050000003355,1,DL202306050000002474,1,C,38,05-06-2023
OR202306050000003355,2,DL202306050000006866,2,C,9,05-06-2023
OR202306050000005405,1,DL202306050000009898,1,C,27,05-06-2023
OR202306050000002807,1,DL202306050000008888,1,C,47,05-06-2023
OR202306050000002807,2,DL202306050000005787,2,C,23,05-06-2023
OR202306050000002807,3,DL202306050000008102,3,C,5,05-06-2023
OR202306050000002807,4,DL202306050000002377,4,C,21,05-06-2023
OR202306050000009730,1,DL202306050000001338,1,C,3,05-06-2023
OR202306050000009730,2,DL202306050000004465,2,C,1,05-06-2023
OR202306050000009730,3,DL202306050000004717,3,C,2,05-06-2023
OR202306050000009730,4,DL202306050000006601,4,C,6,05-06-2023
DL202306050000006601,4,BODL202306050000006601,4,N,3,06-06-2023
OR202306050000009730,5,DL202306050000005700,5,C,47,05-06-2023
DL202306050000005700,5,BODL202306050000005700,5,N,31,06-06-2023
OR202306050000004000,1,DL202306050000008789,1,C,43,05-06-2023
OR202306050000004000,2,DL202306050000003746,2,C,10,05-06-2023
OR202306050000004000,3,DL202306050000003380,3,C,4,05-06-2023
OR202306050000002149,1,DL202306050000006513,1,C,24,05-06-2023
OR202306050000002149,2,DL202306050000008814,2,C,21,05-06-2023
OR202306050000003979,1,DL202306050000002139,1,C,33,05-06-2023
OR202306050000009133,1,DL202306050000005341,1,C,10,05-06-2023
OR202306050000009133,2,DL202306050000005965,2,C,29,05-06-2023
OR202306050000009133,3,DL202306050000006689,3,C,27,05-06-2023
OR202306050000009133,4,DL202306050000005053,4,C,30,05-06-2023
OR202306050000009133,5,DL202306050000001421,5,C,6,05-06-2023
OR202306050000005137,1,DL202306050000004565,1,C,26,05-06-2023
OR202306050000005096,1,DL202306050000001459,1,C,25,05-06-2023
DL202306050000001459,1,BODL202306050000001459,1,N,19,06-06-2023
OR202306050000005096,2,DL202306050000003999,2,C,22,05-06-2023
OR202306050000005096,3,DL202306050000007855,3,C,3,05-06-2023
DL202306050000007855,3,BODL202306050000007855,3,N,1,06-06-2023
OR202306050000005096,4,DL202306050000008284,4,C,29,05-06-2023
OR202306050000005096,5,DL202306050000001037,5,C,9,05-06-2023
DL202306050000001037,5,BODL202306050000001037,5,N,6,06-06-2023
OR202306050000009510,1,DL202306050000009674,1,C,4,05-06-2023
OR202306050000009510,2,DL202306050000007054,2,C,16,05-06-2023
OR202306050000009510,3,DL202306050000003920,3,C,35,05-06-2023
DL202306050000003920,3,BODL202306050000003920,3,N,25,06-06-2023
OR202306050000009510,4,DL202306050000008012,4,C,14,05-06-2023
DL202306050000008012,4,BODL202306050000008012,4,N,3,06-06-2023
OR202306050000001909,1,DL202306050000004088,1,C,19,05-06-2023
OR202306050000001909,2,DL202306050000001276,2,C,20,05-06-2023
DL202306050000001276,2,BODL202306050000001276,2,N,20,06-06-2023
OR202306050000001909,3,DL202306050000005372,3,C,14,05-06-2023
OR202306050000001909,4,DL202306050000001904,4,C,13,05-06-2023
OR202306050000001909,5,DL202306050000006146,5,C,32,05-06-2023
OR202306050000006896,1,DL202306050000001896,1,C,28,05-06-2023
OR202306050000006896,2,DL202306050000008604,2,C,19,05-06-2023
OR202306050000006896,3,DL202306050000005536,3,C,21,05-06-2023
OR202306050000006896,4,DL202306050000002869,4,C,35,05-06-2023
OR202306050000006896,5,DL202306050000004260,5,C,46,05-06-2023
DL202306050000004260,5,BODL202306050000004260,5,N,11,06-06-2023
OR202306050000001276,1,DL202306050000003154,1,C,22,05-06-2023
OR202306050000001276,2,DL202306050000009587,2,C,35,05-06-2023
OR202306050000001276,3,DL202306050000009857,3,C,45,05-06-2023
OR202306050000001276,4,DL202306050000002448,4,C,30,05-06-2023
OR202306050000002131,1,DL202306050000008658,1,C,44,05-06-2023
OR202306050000002131,2,DL202306050000001480,2,C,50,05-06-2023
OR202306050000002131,3,DL202306050000003566,3,C,42,05-06-2023
OR202306050000002131,4,DL202306050000007830,4,C,44,05-06-2023
OR202306050000006475,1,DL202306050000002978,1,C,45,05-06-2023
OR202306050000006475,2,DL202306050000003657,2,C,30,05-06-2023
OR202306050000006475,3,DL202306050000003926,3,C,2,05-06-2023
DL202306050000003926,3,BODL202306050000003926,3,N,1,06-06-2023
OR202306050000006475,4,DL202306050000008950,4,C,18,05-06-2023
OR202306050000008578,1,DL202306050000005171,1,C,3,05-06-2023
OR202306050000008578,2,DL202306050000005574,2,C,11,05-06-2023
OR202306050000008578,3,DL202306050000007094,3,C,40,05-06-2023
OR202306050000008578,4,DL202306050000005721,4,C,7,05-06-2023
OR202306050000008578,5,DL202306050000005772,5,C,41,05-06-2023
OR202306050000005273,1,DL202306050000006877,1,C,40,05-06-2023
DL202306050000006877,1,BODL202306050000006877,1,N,38,06-06-2023
OR202306050000005273,2,DL202306050000002968,2,C,5,05-06-2023
DL202306050000002968,2,BODL202306050000002968,2,N,5,06-06-2023
OR202306050000005273,3,DL202306050000008572,3,C,48,05-06-2023
OR202306050000005273,4,DL202306050000001076,4,C,14,05-06-2023
DL202306050000001076,4,BODL202306050000001076,4,N,9,06-06-2023
OR202306050000005273,5,DL202306050000006963,5,C,5,05-06-2023
OR202306060000004672,1,DL202306060000007329,1,C,36,06-06-2023
OR202306060000004672,2,DL202306060000002200,2,C,29,06-06-2023
OR202306060000008062,1,DL202306060000008791,1,C,24,06-06-2023
DL202306060000008791,1,BODL202306060000008791,1,N,24,07-06-2023
OR202306060000008062,2,DL202306060000005036,2,C,38,06-06-2023
OR202306060000008062,3,DL202306060000001164,3,C,25,06-06-2023
OR202306060000008062,4,DL202306060000004145,4,C,21,06-06-2023
OR202306060000008062,5,DL202306060000001896,5,C,29,06-06-2023
OR202306060000004853,1,DL202306060000005185,1,C,20,06-06-2023
DL202306060000005185,1,BODL202306060000005185,1,N,12,07-06-2023
OR202306060000004853,2,DL202306060000007685,2,C,27,06-06-2023
OR202306060000004853,3,DL202306060000009656,3,C,22,06-06-2023
OR202306060000004853,4,DL202306060000001362,4,C,30,06-06-2023
DL202306060000001362,4,BODL202306060000001362,4,N,15,07-06-2023
OR202306060000003383,1,DL202306060000005443,1,C,27,06-06-2023
OR202306060000003383,2,DL202306060000006260,2,C,43,06-06-2023
OR202306060000002315,1,DL202306060000001663,1,C,45,06-06-2023
DL202306060000001663,1,BODL202306060000001663,1,N,28,07-06-2023
OR202306060000006729,1,DL202306060000007747,1,C,28,06-06-2023
OR202306060000006729,2,DL202306060000009253,2,C,26,06-06-2023
OR202306060000009863,1,DL202306060000006022,1,C,28,06-06-2023
OR202306060000009863,2,DL202306060000002838,2,C,19,06-06-2023
OR202306060000003136,1,DL202306060000009039,1,C,25,06-06-2023
OR202306060000003752,1,DL202306060000003008,1,C,35,06-06-2023
